Serial Number:    1277064     --     Series: Temperature (*C) c:1
Serial Number:    1277064     --     Series: High-Res Temp (*C) c:1 2
Serial Number:    1277064     --     Series: Dew Point (*C) c:1 3
Serial Number:    1277064     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:    1277064     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	23.63	23.65	7.32	7.5	35.1
07/02/09 18:30:00.0	22.86	23.03	6.65	7.2	35.1
07/02/09 19:00:00.0	22.48	22.36	6.31	7	35.1
07/02/09 19:30:00.0	21.33	21.47	5.9	6.8	36.6
07/02/09 20:00:00.0	20.57	20.61	5.62	6.7	37.6
07/02/09 20:30:00.0	19.42	19.28	6.77	7.3	43.7
07/02/09 21:00:00.0	16.76	16.81	8.49	8.3	58.1
07/02/09 21:30:00.0	14.85	14.73	7.84	8	62.8
07/02/09 22:00:00.0	13.32	13.36	7.41	7.8	67.4
07/02/09 22:30:00.0	12.55	12.42	8	8.1	73.8
07/02/09 23:00:00.0	11.77	11.62	8.01	8.2	77.7
07/02/09 23:30:00.0	10.99	10.94	7.7	8	80.1
07/03/09 00:00:00.0	10.6	10.48	7.41	7.9	80.6
07/03/09 00:30:00.0	9.82	10.01	5.56	6.9	74.8
07/03/09 01:00:00.0	9.82	9.94	5.1	6.7	72.4
07/03/09 01:30:00.0	9.82	9.86	5.47	6.9	74.3
07/03/09 02:00:00.0	10.21	10.28	4.66	6.5	68.4
07/03/09 02:30:00.0	10.21	10.21	5.17	6.7	70.9
07/03/09 03:00:00.0	9.42	9.57	5.64	7	77.2
07/03/09 03:30:00.0	9.42	9.37	5.28	6.8	75.3
07/03/09 04:00:00.0	9.42	9.52	5.73	7	77.7
07/03/09 04:30:00.0	10.21	10.04	4.66	6.5	68.4
07/03/09 05:00:00.0	9.82	9.74	6.11	7.2	77.7
07/03/09 05:30:00.0	10.99	10.99	4.19	6.3	62.8
07/03/09 06:00:00.0	9.42	9.54	5.92	7.1	78.7
07/03/09 06:30:00.0	9.03	8.88	6.59	7.5	84.7
07/03/09 07:00:00.0	8.63	8.55	6.12	7.2	84.2
07/03/09 07:30:00.0	8.63	8.48	7.07	7.7	89.9
07/03/09 08:00:00.0	9.42	9.42	8.55	8.5	94.3
07/03/09 08:30:00.0	12.16	12.16	10.69	9.8	90.7
07/03/09 09:00:00.0	14.47	14.47	9.86	9.2	73.8
07/03/09 09:30:00.0	16.38	16.4	9.4	8.8	63.3
07/03/09 10:00:00.0	18.66	18.64	6.24	7.1	44.2
07/03/09 10:30:00.0	20.19	20.21	5.47	6.7	38.1
07/03/09 11:00:00.0	21.33	21.33	1.33	4.9	26.5
07/03/09 11:30:00.0	22.48	22.52	0.58	4.7	23.4
07/03/09 12:00:00.0	23.24	23.19	2.75	5.4	26.1
07/03/09 12:30:00.0	23.63	23.68	3.55	5.7	27
07/03/09 13:00:00.0	24.4	24.4	4.67	6.2	27.9
07/03/09 13:30:00.0	25.17	25.12	5.34	6.5	27.9
07/03/09 14:00:00.0	25.56	25.63	7.1	7.3	30.8
07/03/09 14:30:00.0	25.56	25.73	7.1	7.3	30.8
07/03/09 15:00:00.0	25.95	25.78	8.54	8.1	33.2
07/03/09 15:30:00.0	25.56	25.49	7.75	7.6	32.2
07/03/09 16:00:00.0	25.17	25.05	7.86	7.7	33.2
07/03/09 16:30:00.0	24.79	24.81	7.52	7.5	33.2
07/03/09 17:00:00.0	24.4	24.45	7.4	7.5	33.7
07/03/09 17:30:00.0	24.01	23.99	6.18	6.9	31.7
07/03/09 18:00:00.0	23.24	23.36	5.73	6.7	32.2
07/03/09 18:30:00.0	22.86	22.88	5.4	6.6	32.2
07/03/09 19:00:00.0	22.09	22.09	5.39	6.6	33.7
07/03/09 19:30:00.0	21.33	21.38	4.93	6.4	34.2
07/03/09 20:00:00.0	20.57	20.49	3.62	5.8	32.7
07/03/09 20:30:00.0	19.04	19.16	3.13	5.7	34.7
07/03/09 21:00:00.0	16.38	16.4	6.06	7	50.4
07/03/09 21:30:00.0	14.09	14.16	4.93	6.5	54
07/03/09 22:00:00.0	12.93	12.81	7.58	7.9	69.9
