Serial Number:    1277066     --     Series: Temperature (*C) c:1
Serial Number:    1277066     --     Series: High-Res Temp (*C) c:1 2
Serial Number:    1277066     --     Series: Dew Point (*C) c:1 3
Serial Number:    1277066     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:    1277066     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/01/10 18:00:00.0	8.63	8.55	7.8	8.1	94.5
07/01/10 18:30:00.0	8.23	8.33	7.34	7.9	94.1
07/01/10 19:00:00.0	8.23	8.41	7.45	8	94.8
07/01/10 19:30:00.0	8.23	8.06	7.51	8	95.2
07/01/10 20:00:00.0	7.43	7.5	6.61	7.5	94.5
07/01/10 20:30:00.0	7.03	7.08	6.43	7.4	96
07/01/10 21:00:00.0	6.62	6.75	6.03	7.3	96
07/01/10 21:30:00.0	6.62	6.57	6.2	7.3	97.1
07/01/10 22:00:00.0	6.62	6.49	6.24	7.4	97.4
07/01/10 22:30:00.0	6.22	6.39	5.9	7.2	97.8
07/01/10 23:00:00.0	6.62	6.44	6.3	7.4	97.8
07/01/10 23:30:00.0	6.22	6.39	6	7.2	98.5
07/02/10 00:00:00.0	6.22	6.39	6	7.2	98.5
07/02/10 00:30:00.0	6.22	6.34	6	7.2	98.5
07/02/10 01:00:00.0	6.22	6.27	6	7.2	98.5
07/02/10 01:30:00.0	6.22	6.27	6	7.2	98.5
07/02/10 02:00:00.0	6.22	6.32	6	7.2	98.5
07/02/10 02:30:00.0	6.22	6.24	6.04	7.3	98.8
07/02/10 03:00:00.0	6.22	6.19	6	7.2	98.5
07/02/10 03:30:00.0	5.4	5.42	5.18	6.9	98.5
07/02/10 04:00:00.0	5.81	5.63	5.63	7.1	98.8
07/02/10 04:30:00.0	5.81	5.73	5.69	7.1	99.2
07/02/10 05:00:00.0	5.81	5.63	5.69	7.1	99.2
07/02/10 05:30:00.0	5.81	5.65	5.69	7.1	99.2
07/02/10 06:00:00.0	5.4	5.6	5.28	6.9	99.2
07/02/10 06:30:00.0	5.4	5.52	5.22	6.9	98.8
07/02/10 07:00:00.0	5.4	5.42	5.18	6.9	98.5
07/02/10 07:30:00.0	5.81	5.65	5.59	7.1	98.5
07/02/10 08:00:00.0	5.81	5.86	5.59	7.1	98.5
07/02/10 08:30:00.0	6.22	6.34	5.9	7.2	97.8
07/02/10 09:00:00.0	6.62	6.72	6.24	7.4	97.4
07/02/10 09:30:00.0	6.62	6.75	6.08	7.3	96.3
07/02/10 10:00:00.0	7.03	6.98	6.31	7.4	95.2
07/02/10 10:30:00.0	7.43	7.35	6.42	7.4	93.3
07/02/10 11:00:00.0	7.83	7.78	6.3	7.4	90
07/02/10 11:30:00.0	7.83	7.76	6.02	7.2	88.3
07/02/10 12:00:00.0	7.83	7.68	6.51	7.5	91.3
07/02/10 12:30:00.0	8.23	8.31	6.69	7.5	90
07/02/10 13:00:00.0	9.03	8.9	7.35	7.9	89.2
07/02/10 13:30:00.0	9.42	9.3	6.62	7.5	82.6
07/02/10 14:00:00.0	8.63	8.75	7.23	7.8	90.9
07/02/10 14:30:00.0	9.42	9.3	7.15	7.8	85.7
07/02/10 15:00:00.0	9.03	9.1	6.54	7.4	84.4
07/02/10 15:30:00.0	9.82	9.86	7	7.7	82.6
07/02/10 16:00:00.0	9.03	9.17	7.62	8	90.9
07/02/10 16:30:00.0	9.03	9.05	7.88	8.2	92.5
07/02/10 17:00:00.0	9.03	9.2	7.62	8	90.9
07/02/10 17:30:00.0	8.23	8.41	7.34	7.9	94.1
07/02/10 18:00:00.0	7.83	7.98	7.05	7.7	94.8
07/02/10 18:30:00.0	7.83	7.81	7.24	7.8	96
07/02/10 19:00:00.0	7.83	7.88	7.28	7.9	96.3
07/02/10 19:30:00.0	7.83	7.76	7.4	7.9	97.1
07/02/10 20:00:00.0	7.43	7.48	7.11	7.8	97.8
07/02/10 20:30:00.0	7.43	7.48	7.21	7.8	98.5
07/02/10 21:00:00.0	7.43	7.4	7.25	7.9	98.8
07/02/10 21:30:00.0	7.43	7.38	7.31	7.9	99.2
07/02/10 22:00:00.0	7.43	7.28	7.31	7.9	99.2
07/02/10 22:30:00.0	7.03	7	6.91	7.7	99.2
07/02/10 23:00:00.0	6.62	6.7	6.51	7.5	99.2
07/02/10 23:30:00.0	6.22	6.11	6.04	7.3	98.8
07/03/10 00:00:00.0	5.81	5.7	5.59	7.1	98.5
07/03/10 00:30:00.0	5.4	5.32	5.18	6.9	98.5
07/03/10 01:00:00.0	4.99	4.96	4.77	6.7	98.5
07/03/10 01:30:00.0	4.99	4.8	4.87	6.7	99.2
07/03/10 02:00:00.0	4.57	4.62	4.46	6.5	99.2
07/03/10 02:30:00.0	4.57	4.41	4.46	6.5	99.2
07/03/10 03:00:00.0	4.15	4.34	4.04	6.4	99.2
07/03/10 03:30:00.0	4.15	4	4.04	6.4	99.2
07/03/10 04:00:00.0	3.74	3.6	3.56	6.2	98.8
07/03/10 04:30:00.0	3.31	3.34	3.14	6	98.8
07/03/10 05:00:00.0	3.31	3.26	3.14	6	98.8
07/03/10 05:30:00.0	3.31	3.21	3.14	6	98.8
07/03/10 06:00:00.0	3.31	3.21	3.1	6	98.5
07/03/10 06:30:00.0	3.31	3.23	3.1	6	98.5
07/03/10 07:00:00.0	3.31	3.23	3.1	6	98.5
07/03/10 07:30:00.0	3.31	3.29	3.04	6	98.1
07/03/10 08:00:00.0	3.31	3.39	3	5.9	97.8
07/03/10 08:30:00.0	3.74	3.63	3.1	6	95.6
07/03/10 09:00:00.0	4.15	4.31	3.74	6.2	97.1
07/03/10 09:30:00.0	4.99	5.04	4.4	6.5	96
07/03/10 10:00:00.0	5.4	5.35	3.89	6.3	90
07/03/10 10:30:00.0	6.22	6.27	5.34	6.9	94.1
07/03/10 11:00:00.0	6.22	6.14	5.16	6.8	92.9
07/03/10 11:30:00.0	6.22	6.34	4	6.3	85.7
07/03/10 12:00:00.0	7.43	7.38	4.82	6.7	83.5
07/03/10 12:30:00.0	7.83	7.93	6.17	7.3	89.2
07/03/10 13:00:00.0	7.43	7.38	4.82	6.7	83.5
07/03/10 13:30:00.0	8.23	8.18	5.45	6.9	82.6
07/03/10 14:00:00.0	9.82	9.74	5.96	7.1	76.9
