Serial Number:     399740     --     Series: Temperature (*C) c:1
Serial Number:     399740     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     399740     --     Series: Dew Point (*C) c:1 3
Serial Number:     399740     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     399740     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/01/10 18:00:00.0	8.63	8.63	5.88	7.1	82.8
07/01/10 18:30:00.0	8.63	8.48	5.96	7.2	83.3
07/01/10 19:00:00.0	8.23	8.08	5.57	7	83.3
07/01/10 19:30:00.0	7.83	7.66	5.71	7.1	86.4
07/01/10 20:00:00.0	7.03	7.2	5.8	7.1	91.9
07/01/10 20:30:00.0	7.03	6.85	6.05	7.3	93.5
07/01/10 21:00:00.0	6.62	6.65	5.84	7.2	94.7
07/01/10 21:30:00.0	6.22	6.39	5.49	7	95.1
07/01/10 22:00:00.0	6.22	6.32	5.6	7	95.8
07/01/10 22:30:00.0	6.22	6.29	5.6	7	95.8
07/01/10 23:00:00.0	6.22	6.32	5.66	7.1	96.2
07/01/10 23:30:00.0	6.22	6.29	5.66	7.1	96.2
07/02/10 00:00:00.0	6.22	6.29	5.72	7.1	96.6
07/02/10 00:30:00.0	6.22	6.27	5.72	7.1	96.6
07/02/10 01:00:00.0	6.22	6.16	5.76	7.1	96.9
07/02/10 01:30:00.0	6.22	6.06	5.72	7.1	96.6
07/02/10 02:00:00.0	5.81	6.01	5.31	6.9	96.6
07/02/10 02:30:00.0	6.22	6.06	5.76	7.1	96.9
07/02/10 03:00:00.0	6.22	6.06	5.76	7.1	96.9
07/02/10 03:30:00.0	5.81	5.96	5.36	6.9	96.9
07/02/10 04:00:00.0	5.81	5.88	5.36	6.9	96.9
07/02/10 04:30:00.0	5.81	5.7	5.36	6.9	96.9
07/02/10 05:00:00.0	5.4	5.4	4.9	6.7	96.6
07/02/10 05:30:00.0	4.99	5.06	4.49	6.6	96.6
07/02/10 06:00:00.0	4.99	4.88	4.49	6.6	96.6
07/02/10 06:30:00.0	4.99	5.14	4.54	6.6	96.9
07/02/10 07:00:00.0	5.4	5.42	5.01	6.8	97.3
07/02/10 07:30:00.0	5.81	5.86	5.41	7	97.3
07/02/10 08:00:00.0	6.22	6.32	5.6	7	95.8
07/02/10 08:30:00.0	6.62	6.77	5.84	7.2	94.7
07/02/10 09:00:00.0	7.03	7.05	6.05	7.3	93.5
07/02/10 09:30:00.0	7.43	7.3	6.2	7.3	91.9
07/02/10 10:00:00.0	7.03	7.08	5.99	7.2	93.1
07/02/10 10:30:00.0	7.03	7.18	6.18	7.3	94.3
07/02/10 11:00:00.0	7.43	7.48	6.39	7.4	93.1
07/02/10 11:30:00.0	8.63	8.63	7.33	7.9	91.5
07/02/10 12:00:00.0	9.42	9.52	7.35	7.9	86.9
07/02/10 12:30:00.0	10.6	10.43	6.5	7.4	75.7
07/02/10 13:00:00.0	10.21	10.33	6.66	7.5	78.6
07/02/10 13:30:00.0	12.16	12.13	6.92	7.6	70.3
07/02/10 14:00:00.0	11.38	11.58	6.18	7.2	70.3
07/02/10 14:30:00.0	11.38	11.36	5.53	6.9	67.2
07/02/10 15:00:00.0	11.77	11.94	6.44	7.3	69.8
07/02/10 15:30:00.0	11.38	11.5	5.86	7.1	68.8
07/02/10 16:00:00.0	11.77	11.62	6	7.1	67.7
07/02/10 16:30:00.0	11.77	11.79	4.88	6.6	62.6
07/02/10 17:00:00.0	10.6	10.5	7.55	7.9	81.4
07/02/10 17:30:00.0	10.21	10.31	6.75	7.5	79.1
07/02/10 18:00:00.0	10.6	10.65	6.95	7.6	78.1
07/02/10 18:30:00.0	10.21	10.13	6.75	7.5	79.1
07/02/10 19:00:00.0	9.82	9.64	7.12	7.7	83.3
07/02/10 19:30:00.0	8.63	8.83	7.07	7.7	89.9
07/02/10 20:00:00.0	8.23	8.38	7.12	7.8	92.7
07/02/10 20:30:00.0	7.83	8.01	6.85	7.6	93.5
07/02/10 21:00:00.0	7.83	7.66	6.97	7.7	94.3
07/02/10 21:30:00.0	7.43	7.4	6.76	7.6	95.5
07/02/10 22:00:00.0	7.03	7.08	6.3	7.4	95.1
07/02/10 22:30:00.0	6.62	6.82	5.96	7.2	95.5
07/02/10 23:00:00.0	6.62	6.72	5.9	7.2	95.1
07/02/10 23:30:00.0	6.62	6.52	5.9	7.2	95.1
07/03/10 00:00:00.0	6.62	6.44	5.96	7.2	95.5
07/03/10 00:30:00.0	6.22	6.37	5.6	7	95.8
07/03/10 01:00:00.0	6.22	6.14	5.43	7	94.7
07/03/10 01:30:00.0	5.81	5.73	4.66	6.6	92.3
07/03/10 02:00:00.0	5.4	5.29	4.5	6.5	93.9
07/03/10 02:30:00.0	4.99	5.04	4.15	6.4	94.3
07/03/10 03:00:00.0	4.99	4.93	4.09	6.4	93.9
07/03/10 03:30:00.0	4.99	4.85	4.21	6.4	94.7
07/03/10 04:00:00.0	3.74	3.89	2.79	5.8	93.5
07/03/10 04:30:00.0	2.89	2.7	2.07	5.6	94.3
07/03/10 05:00:00.0	2.03	2.14	1.28	5.3	94.7
07/03/10 05:30:00.0	1.6	1.71	0.9	5.1	95.1
07/03/10 06:00:00.0	2.03	2.14	1.55	5.4	96.6
07/03/10 06:30:00.0	2.03	2.03	1.49	5.4	96.2
07/03/10 07:00:00.0	2.89	2.7	2.4	5.7	96.6
07/03/10 07:30:00.0	3.74	3.63	2.85	5.9	93.9
07/03/10 08:00:00.0	4.57	4.57	2.58	5.7	86.9
07/03/10 08:30:00.0	4.99	5.01	2.76	5.8	85.5
07/03/10 09:00:00.0	5.4	5.52	2.65	5.7	82.4
07/03/10 09:30:00.0	5.81	5.93	2.88	5.8	81.4
07/03/10 10:00:00.0	6.62	6.44	3.43	6	80
07/03/10 10:30:00.0	6.62	6.82	3.09	5.9	78.1
07/03/10 11:00:00.0	6.62	6.7	3.36	6	79.6
07/03/10 11:30:00.0	7.43	7.58	4.05	6.3	79.1
07/03/10 12:00:00.0	7.43	7.63	3.8	6.2	77.7
07/03/10 12:30:00.0	7.83	7.73	3.91	6.2	76.2
07/03/10 13:00:00.0	7.83	7.93	4.1	6.3	77.2
07/03/10 13:30:00.0	8.63	8.75	3.74	6.1	71.3
07/03/10 14:00:00.0	9.03	9.15	3.61	6.1	68.8
07/03/10 14:30:00.0	10.6	10.45	4.02	6.2	63.7
07/03/10 15:00:00.0	10.99	11.19	3.54	6	60
07/03/10 15:30:00.0	12.93	12.83	4.07	6.2	54.8
07/03/10 16:00:00.0	10.99	11.04	3.68	6.1	60.6
07/03/10 16:30:00.0	10.99	10.97	4.94	6.6	66.2
07/03/10 17:00:00.0	10.21	10.06	4.95	6.6	69.8
07/03/10 17:30:00.0	9.42	9.45	4.99	6.7	73.8
07/03/10 18:00:00.0	9.03	9.15	4.88	6.6	75.2
07/03/10 18:30:00.0	9.03	9.03	5.16	6.8	76.7
07/03/10 19:00:00.0	8.63	8.83	5.04	6.7	78.1
07/03/10 19:30:00.0	8.63	8.78	5.56	7	81
07/03/10 20:00:00.0	8.63	8.45	5.81	7.1	82.4
07/03/10 20:30:00.0	8.23	8.13	5.95	7.2	85.5
07/03/10 21:00:00.0	7.83	7.68	5.86	7.1	87.3
07/03/10 21:30:00.0	6.62	6.65	5.09	6.8	89.9
07/03/10 22:00:00.0	5.4	5.58	4.13	6.4	91.5
07/03/10 22:30:00.0	4.99	4.98	4.09	6.4	93.9
07/03/10 23:00:00.0	4.57	4.67	3.92	6.3	95.5
07/03/10 23:30:00.0	4.99	4.85	4.43	6.5	96.2
07/04/10 00:00:00.0	4.57	4.65	4.02	6.4	96.2
07/04/10 00:30:00.0	4.57	4.52	4.08	6.4	96.6
07/04/10 01:00:00.0	4.15	4.21	3.66	6.2	96.6
