Serial Number:    1277064     --     Series: Temperature (*C) c:1
Serial Number:    1277064     --     Series: High-Res Temp (*C) c:1 2
Serial Number:    1277064     --     Series: Dew Point (*C) c:1 3
Serial Number:    1277064     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:    1277064     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/01/10 18:00:00.0	7.43	7.35	5.67	7.1	88.6
07/01/10 18:30:00.0	7.43	7.25	5.67	7.1	88.6
07/01/10 19:00:00.0	7.03	7.08	5.07	6.8	87.3
07/01/10 19:30:00.0	7.03	6.9	5.55	7	90.3
07/01/10 20:00:00.0	6.62	6.67	5.53	7	92.7
07/01/10 20:30:00.0	6.62	6.52	5.71	7.1	93.9
07/01/10 21:00:00.0	6.22	6.32	5.43	7	94.7
07/01/10 21:30:00.0	6.22	6.22	5.54	7	95.4
07/01/10 22:00:00.0	6.22	6.14	5.66	7.1	96.2
07/01/10 22:30:00.0	6.22	6.16	5.66	7.1	96.2
07/01/10 23:00:00.0	6.22	6.14	5.6	7	95.8
07/01/10 23:30:00.0	6.22	6.14	5.66	7.1	96.2
07/02/10 00:00:00.0	6.22	6.09	5.72	7.1	96.6
07/02/10 00:30:00.0	6.22	6.09	5.76	7.1	96.9
07/02/10 01:00:00.0	6.22	6.04	5.76	7.1	96.9
07/02/10 01:30:00.0	5.81	5.99	5.36	6.9	96.9
07/02/10 02:00:00.0	5.81	5.88	5.41	7	97.3
07/02/10 02:30:00.0	5.81	5.93	5.41	7	97.3
07/02/10 03:00:00.0	5.81	5.91	5.41	7	97.3
07/02/10 03:30:00.0	5.81	5.81	5.36	6.9	96.9
07/02/10 04:00:00.0	5.4	5.6	4.9	6.7	96.6
07/02/10 04:30:00.0	5.4	5.45	4.9	6.7	96.6
07/02/10 05:00:00.0	5.4	5.22	4.9	6.7	96.6
07/02/10 05:30:00.0	4.99	5.04	4.49	6.6	96.6
07/02/10 06:00:00.0	4.99	4.91	4.49	6.6	96.6
07/02/10 06:30:00.0	4.99	5.04	4.59	6.6	97.3
07/02/10 07:00:00.0	4.99	5.19	4.59	6.6	97.3
07/02/10 07:30:00.0	5.4	5.45	4.9	6.7	96.6
07/02/10 08:00:00.0	5.81	5.81	5.19	6.9	95.8
07/02/10 08:30:00.0	6.22	6.11	5.37	6.9	94.3
07/02/10 09:00:00.0	6.22	6.19	5.06	6.8	92.3
07/02/10 09:30:00.0	6.62	6.55	5.65	7.1	93.5
07/02/10 10:00:00.0	6.62	6.57	5.77	7.1	94.3
07/02/10 10:30:00.0	6.62	6.57	5.84	7.2	94.7
07/02/10 11:00:00.0	7.03	6.93	6.3	7.4	95.1
07/02/10 11:30:00.0	7.43	7.58	6.2	7.3	91.9
07/02/10 12:00:00.0	7.83	7.86	6.54	7.5	91.5
07/02/10 12:30:00.0	8.63	8.58	6.12	7.2	84.2
07/02/10 13:00:00.0	9.03	8.98	6.81	7.6	86
07/02/10 13:30:00.0	9.42	9.5	6.26	7.3	80.6
07/02/10 14:00:00.0	9.03	8.95	5.25	6.8	77.2
07/02/10 14:30:00.0	9.03	9.22	4.99	6.7	75.8
07/02/10 15:00:00.0	9.82	9.86	5.85	7.1	76.3
07/02/10 15:30:00.0	9.82	9.74	5.37	6.9	73.8
07/02/10 16:00:00.0	9.82	9.64	5.85	7.1	76.3
07/02/10 16:30:00.0	9.82	9.82	5.37	6.9	73.8
07/02/10 17:00:00.0	9.42	9.27	6.98	7.7	84.7
07/02/10 17:30:00.0	9.03	9.1	6.75	7.6	85.6
07/02/10 18:00:00.0	9.03	9.2	6.44	7.4	83.8
07/02/10 18:30:00.0	8.63	8.73	6.49	7.4	86.4
07/02/10 19:00:00.0	8.63	8.6	7	7.7	89.5
07/02/10 19:30:00.0	8.23	8.13	7.12	7.8	92.7
07/02/10 20:00:00.0	7.83	7.78	6.91	7.7	93.9
07/02/10 20:30:00.0	7.43	7.53	6.58	7.5	94.3
07/02/10 21:00:00.0	7.43	7.33	6.74	7.6	95.4
07/02/10 21:30:00.0	7.03	7.18	6.4	7.4	95.8
07/02/10 22:00:00.0	7.03	6.95	6.4	7.4	95.8
07/02/10 22:30:00.0	6.62	6.7	6.06	7.3	96.2
07/02/10 23:00:00.0	6.62	6.55	6	7.2	95.8
07/02/10 23:30:00.0	6.22	6.37	5.6	7	95.8
07/03/10 00:00:00.0	6.22	6.22	5.54	7	95.4
07/03/10 00:30:00.0	6.22	6.11	5.43	7	94.7
07/03/10 01:00:00.0	5.81	5.81	4.97	6.8	94.3
07/03/10 01:30:00.0	5.4	5.45	4.56	6.6	94.3
07/03/10 02:00:00.0	4.99	5.16	4.09	6.4	93.9
07/03/10 02:30:00.0	4.99	4.91	4.15	6.4	94.3
07/03/10 03:00:00.0	4.99	4.83	4.09	6.4	93.9
07/03/10 03:30:00.0	4.57	4.73	3.74	6.2	94.3
07/03/10 04:00:00.0	4.15	3.97	3.2	6	93.5
07/03/10 04:30:00.0	3.31	3.23	2.55	5.7	94.7
07/03/10 05:00:00.0	2.46	2.65	1.7	5.4	94.7
07/03/10 05:30:00.0	2.46	2.41	1.52	5.4	93.5
07/03/10 06:00:00.0	2.46	2.57	1.7	5.4	94.7
07/03/10 06:30:00.0	2.46	2.49	1.64	5.4	94.3
07/03/10 07:00:00.0	2.89	2.99	2.13	5.6	94.7
07/03/10 07:30:00.0	3.31	3.44	1.68	5.4	89
07/03/10 08:00:00.0	4.15	4	2.17	5.6	86.9
