Serial Number:     492646     --     Series: Temperature (*C) c:1
Serial Number:     492646     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     492646     --     Series: Dew Point (*C) c:1 3
Serial Number:     492646     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     492646     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/01/10 18:00:00.0	7.83	7.88	7.48	8	97.6
07/01/10 18:30:00.0	7.43	7.5	7.28	7.9	99
07/01/10 19:00:00.0	7.43	7.48	7.39	7.9	99.7
07/01/10 19:30:00.0	7.43	7.43	7.24	7.9	98.7
07/01/10 20:00:00.0	7.03	7	6.94	7.7	99.4
07/01/10 20:30:00.0	6.62	6.55	6.62	7.6	101
07/01/10 21:00:00.0	6.22	6.32	6.22	7.4	101.7
07/01/10 21:30:00.0	6.22	6.27	6.22	7.4	102
07/01/10 22:00:00.0	6.62	6.49	6.62	7.6	102.6
07/01/10 22:30:00.0	6.22	6.09	6.22	7.4	102.6
07/01/10 23:00:00.0	6.22	6.04	6.22	7.4	102.9
07/01/10 23:30:00.0	6.22	6.32	6.22	7.4	103.2
07/02/10 00:00:00.0	6.62	6.44	6.62	7.6	103.2
07/02/10 00:30:00.0	6.22	6.14	6.22	7.4	103.2
07/02/10 01:00:00.0	6.22	6.04	6.22	7.4	103.2
07/02/10 01:30:00.0	5.81	6.01	5.81	7.2	103.2
07/02/10 02:00:00.0	6.22	6.09	6.22	7.4	103.5
07/02/10 02:30:00.0	6.22	6.16	6.22	7.4	103.5
07/02/10 03:00:00.0	5.81	5.63	5.81	7.2	103.5
07/02/10 03:30:00.0	5.81	5.63	5.81	7.2	103.2
07/02/10 04:00:00.0	5.81	5.65	5.81	7.2	103.5
07/02/10 04:30:00.0	5.4	5.58	5.4	7	103.5
07/02/10 05:00:00.0	5.4	5.42	5.4	7	103.2
07/02/10 05:30:00.0	5.4	5.24	5.4	7	103.5
07/02/10 06:00:00.0	5.4	5.42	5.4	7	103.5
07/02/10 06:30:00.0	5.4	5.35	5.4	7	103.2
07/02/10 07:00:00.0	5.4	5.32	5.4	7	103.5
07/02/10 07:30:00.0	5.81	5.99	5.81	7.2	103.2
07/02/10 08:00:00.0	6.22	6.11	6.22	7.4	103.2
07/02/10 08:30:00.0	6.22	6.06	6.22	7.4	103.5
07/02/10 09:00:00.0	6.22	6.39	6.22	7.4	103.5
07/02/10 09:30:00.0	6.62	6.44	6.62	7.6	103.5
07/02/10 10:00:00.0	7.43	7.61	7.43	8	103.5
07/02/10 10:30:00.0	7.03	7.13	6.88	7.7	99
07/02/10 11:00:00.0	7.83	7.76	7.83	8.2	101.7
07/02/10 11:30:00.0	7.83	7.91	7.79	8.1	99.7
07/02/10 12:00:00.0	8.63	8.63	7.33	7.9	91.5
07/02/10 12:30:00.0	9.03	9.12	7.72	8.1	91.5
07/02/10 13:00:00.0	10.6	10.55	7.8	8.1	82.8
07/02/10 13:30:00.0	9.42	9.59	7.2	7.8	86
07/02/10 14:00:00.0	8.23	8.36	7.5	8	95.1
07/02/10 14:30:00.0	9.03	9.2	7.91	8.2	92.7
07/02/10 15:00:00.0	8.63	8.7	7.58	8	93.1
07/02/10 15:30:00.0	8.63	8.53	8.48	8.5	99
07/02/10 16:00:00.0	8.23	8.38	8.19	8.4	99.7
07/02/10 16:30:00.0	8.63	8.73	8.63	8.6	101.4
07/02/10 17:00:00.0	8.23	8.21	8.23	8.4	102
07/02/10 17:30:00.0	8.23	8.16	8.23	8.4	102.9
07/02/10 18:00:00.0	8.23	8.36	8.23	8.4	102.3
07/02/10 18:30:00.0	8.23	8.13	8.23	8.4	101
07/02/10 19:00:00.0	7.83	7.86	7.83	8.2	102.6
07/02/10 19:30:00.0	7.83	7.71	7.83	8.2	103.5
07/02/10 20:00:00.0	7.43	7.58	7.43	8	103.5
07/02/10 20:30:00.0	7.43	7.38	7.43	8	104
07/02/10 21:00:00.0	7.43	7.38	7.43	8	103.8
07/02/10 21:30:00.0	7.03	7.03	7.03	7.8	104
07/02/10 22:00:00.0	6.62	6.75	6.62	7.6	103.8
07/02/10 22:30:00.0	6.62	6.62	6.62	7.6	103.8
07/02/10 23:00:00.0	6.62	6.44	6.62	7.6	103.8
07/02/10 23:30:00.0	6.22	6.09	6.22	7.4	103.8
07/03/10 00:00:00.0	5.81	5.83	5.81	7.2	103.5
07/03/10 00:30:00.0	5.4	5.55	5.4	7	103.8
07/03/10 01:00:00.0	4.99	5.16	4.99	6.8	103.8
