Serial Number:    1277065     --     Series: Temperature (*C) c:1
Serial Number:    1277065     --     Series: High-Res Temp (*C) c:1 2
Serial Number:    1277065     --     Series: Dew Point (*C) c:1 3
Serial Number:    1277065     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:    1277065     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	25.17	25.22	7.23	7.4	31.8
07/02/09 18:30:00.0	24.79	24.74	6.66	7.1	31.3
07/02/09 19:00:00.0	24.4	24.33	6.14	6.9	30.9
07/02/09 19:30:00.0	24.01	23.89	5.57	6.6	30.4
07/02/09 20:00:00.0	22.48	22.64	5.11	6.4	32.3
07/02/09 20:30:00.0	21.71	21.54	6.28	7	36.7
07/02/09 21:00:00.0	19.42	19.38	6.63	7.2	43.3
07/02/09 21:30:00.0	18.28	18.35	6.41	7.2	45.8
07/02/09 22:00:00.0	17.52	17.54	6.85	7.4	49.5
07/02/09 22:30:00.0	16	16	7.29	7.7	56.2
07/02/09 23:00:00.0	14.85	14.75	7.24	7.7	60.3
07/02/09 23:30:00.0	14.85	14.92	6.09	7.1	55.7
07/03/09 00:00:00.0	14.47	14.56	5.31	6.7	54.1
07/03/09 00:30:00.0	14.47	14.49	4.04	6.1	49.5
07/03/09 01:00:00.0	13.7	13.75	4.73	6.5	54.6
07/03/09 01:30:00.0	14.09	14.16	2.44	5.5	45.3
07/03/09 02:00:00.0	14.09	14.23	2.29	5.4	44.8
07/03/09 02:30:00.0	13.32	13.39	3.98	6.1	53.1
07/03/09 03:00:00.0	13.32	13.17	4.66	6.4	55.7
07/03/09 03:30:00.0	12.93	13	4.68	6.5	57.2
07/03/09 04:00:00.0	12.93	13.05	3.75	6	53.6
07/03/09 04:30:00.0	13.7	13.53	4.33	6.3	53.1
07/03/09 05:00:00.0	13.7	13.77	3.76	6	51
07/03/09 05:30:00.0	13.32	13.32	3.54	6	51.5
07/03/09 06:00:00.0	12.93	12.83	4.17	6.2	55.2
07/03/09 06:30:00.0	15.62	15.45	4.33	6.2	46.9
07/03/09 07:00:00.0	17.14	17.21	2.8	5.6	38.2
07/03/09 07:30:00.0	17.9	17.85	9.06	8.6	56.2
07/03/09 08:00:00.0	19.42	19.35	8.41	8.2	48.9
07/03/09 08:30:00.0	21.71	21.59	6.67	7.2	37.7
07/03/09 09:00:00.0	23.24	23.39	5.55	6.6	31.8
07/03/09 09:30:00.0	24.79	24.64	2.27	5.2	23
07/03/09 10:00:00.0	25.95	25.88	-3.01	3.5	14.6
07/03/09 10:30:00.0	26.73	26.78	0.31	4.5	17.8
07/03/09 11:00:00.0	27.12	27.2	-1.71	3.9	15
07/03/09 11:30:00.0	28.31	28.48	-1.14	4	14.6
07/03/09 12:00:00.0	29.1	29.05	0.57	4.6	15.8
07/03/09 12:30:00.0	29.1	28.95	2.23	5.1	17.8
07/03/09 13:00:00.0	28.7	28.63	4.7	6.1	21.7
07/03/09 13:30:00.0	28.31	28.33	5.46	6.5	23.4
07/03/09 14:00:00.0	27.91	28.01	6.76	7.1	26.2
07/03/09 14:30:00.0	27.91	28.06	7.25	7.3	27.1
07/03/09 15:00:00.0	27.91	27.79	7.73	7.6	28
07/03/09 15:30:00.0	27.12	27.32	7.31	7.4	28.5
07/03/09 16:00:00.0	27.52	27.37	7.65	7.5	28.5
07/03/09 16:30:00.0	27.12	27	7.57	7.5	29
07/03/09 17:00:00.0	26.34	26.32	6.89	7.2	29
07/03/09 17:30:00.0	25.56	25.75	5.72	6.6	28
07/03/09 18:00:00.0	25.17	25.12	5.64	6.6	28.5
07/03/09 18:30:00.0	24.79	24.83	5.56	6.6	29
07/03/09 19:00:00.0	24.4	24.35	5.23	6.5	29
07/03/09 19:30:00.0	23.63	23.77	4.07	6	28
07/03/09 20:00:00.0	22.86	22.88	2.95	5.5	27.1
07/03/09 20:30:00.0	21.33	21.45	2.59	5.4	29
