"survey_id","site_id","site_description","zone","decimal_longitude","decimal_latitude","geodetic_datum","terrestrial","year_deployed","year_retrieved","serial","sensor_type","sensor_part","interval","height","deployment_datetime","retrieval_datetime","status","hobo"
1,"CURTLK_LIT2","Curtis Lake, littoral zone 2","blowdown",-122.065236996721,46.2798131510983,"EPSG:4326",FALSE,1997,1997,"94758","pro series","H08-001-02",15,-5,1997-05-24 13:58:00,1997-06-06 23:00:00,"clean",TRUE
2,"CURTLK_RIP2","Curtis Lake, riparian zone 2","blowdown",-122.065276850013,46.2797594772162,"EPSG:4326",TRUE,1997,1997,"94739","pro series","H08-001-02",15,100,1997-05-24 13:58:00,1997-06-06 23:00:00,"clean",TRUE
3,"CURTLK_LIT1","Curtis Lake, littoral zone 1","blowdown",-122.065106906995,46.2798300872958,"EPSG:4326",FALSE,1997,1997,"94723","pro series","H08-001-02",15,-7,1997-05-24 14:19:00,1997-06-06 23:00:00,"clean",TRUE
4,"CURTLK_LIT3","Curtis Lake, littoral zone 3","blowdown",-122.065416551599,46.2799406183786,"EPSG:4326",FALSE,1997,1997,"94741","pro series","H08-001-02",15,-9,1997-05-24 14:29:00,1997-06-06 23:00:00,"clean",TRUE
5,"CURTLK_RIP3","Curtis Lake, riparian zone 3","blowdown",-122.065561302764,46.2798248021734,"EPSG:4326",TRUE,1997,1997,"94738","pro series","H08-001-02",15,100,1997-05-24 14:40:00,1997-06-06 23:00:00,"clean",TRUE
6,"CURTLK_RIP1","Curtis Lake, riparian zone 1","blowdown",-122.06502949604,46.2798024543952,"EPSG:4326",TRUE,1997,1997,"94720","pro series","H08-001-02",15,100,1997-05-24 14:45:00,1997-06-06 23:00:00,"lost",FALSE
7,"METALK_LIT2","Meta Lake, littoral zone 2","blowdown",-122.081032049642,46.2962220929004,"EPSG:4326",FALSE,1997,1997,"94760","pro series","H08-001-02",15,-5,1997-05-24 17:00:00,1997-06-03 23:00:00,"clean",TRUE
8,"METALK_LIT3","Meta Lake, littoral zone 3","blowdown",-122.081077957421,46.2965824589431,"EPSG:4326",FALSE,1997,1997,"94740","pro series","H08-001-02",15,-4,1997-05-24 17:07:00,1997-06-03 23:00:00,"clean",TRUE
9,"METALK_RIP1","Meta Lake, riparian zone 1","blowdown",-122.081037619648,46.2958891403741,"EPSG:4326",TRUE,1997,1997,"94759","pro series","H08-001-02",15,100,1997-05-24 17:10:00,1997-06-03 23:00:00,"clean",TRUE
10,"METALK_LIT1","Meta Lake, littoral zone 1","blowdown",-122.081049548101,46.2959522357411,"EPSG:4326",FALSE,1997,1997,"94722","pro series","H08-001-02",15,-8,1997-05-24 17:24:00,1997-06-03 23:00:00,"clean",TRUE
