site_id,site_description,latitude,longitude,zone,terrestrial,year_deployed,year_retrieved,serial,sensor_part,interval_min,height,deployment_datetime,retrieval_datetime,compromised,status,hobo
METALK_LIT1,"Meta Lake, littoral zone 1",46.295952,-122.081045,blowdown,FALSE,1997,1997,94722,H08-001-02,15,-8,5/24/97 17:24,6/3/97 23:00,FALSE,clean,TRUE
METALK_LIT2,"Meta Lake, littoral zone 2",46.296223,-122.081027,blowdown,FALSE,1997,1997,94760,H08-001-02,15,-5,5/24/97 17:00,6/3/97 23:00,FALSE,clean,TRUE
METALK_LIT3,"Meta Lake, littoral zone 3",46.296578,-122.08108,blowdown,FALSE,1997,1997,94740,H08-001-02,15,-4,5/24/97 17:07,6/3/97 23:00,FALSE,clean,TRUE
METALK_RIP1,"Meta Lake, riparian zone 1",46.295887,-122.081043,blowdown,TRUE,1997,1997,94759,H08-001-02,15,100,5/24/97 17:10,6/3/97 23:00,FALSE,clean,TRUE
CURTLK_LIT1,"Curtis Lake, littoral zone 1",46.279829,-122.065107,blowdown,FALSE,1997,1997,94723,H08-001-02,15,-7,5/24/97 14:19,6/6/97 23:00,FALSE,clean,TRUE
CURTLK_LIT2,"Curtis Lake, littoral zone 2",46.279813,-122.065239,blowdown,FALSE,1997,1997,94758,H08-001-02,15,-5,5/24/97 13:58,6/6/97 23:00,FALSE,clean,TRUE
CURTLK_LIT3,"Curtis Lake, littoral zone 3",46.279941,-122.065422,blowdown,FALSE,1997,1997,94741,H08-001-02,15,-9,5/24/97 14:29,6/6/97 23:00,FALSE,clean,TRUE
CURTLK_RIP1,"Curtis Lake, riparian zone 1",46.279804,-122.065023,blowdown,TRUE,1997,1997,94720,H08-001-02,15,100,5/24/97 14:45,6/6/97 23:00,FALSE,clean,FALSE
CURTLK_RIP2,"Curtis Lake, riparian zone 2",46.279757,-122.065277,blowdown,TRUE,1997,1997,94739,H08-001-02,15,100,5/24/97 13:58,6/6/97 23:00,FALSE,clean,TRUE
CURTLK_RIP3,"Curtis Lake, riparian zone 3",46.279823,-122.065566,blowdown,TRUE,1997,1997,94738,H08-001-02,15,100,5/24/97 14:40,6/6/97 23:00,FALSE,clean,TRUE
METALK_LIT1,"Meta Lake, littoral zone 1",46.295952,-122.081045,blowdown,FALSE,1998,1998,94758,H08-001-02,24,-25,5/20/98 17:30,8/28/98 9:30,FALSE,clean,TRUE
METALK_LIT2,"Meta Lake, littoral zone 2",46.296223,-122.081027,blowdown,FALSE,1998,1998,94759,H08-001-02,24,-22,5/20/98 17:47,8/28/98 9:30,FALSE,clean,TRUE
METALK_LIT3,"Meta Lake, littoral zone 3",46.296578,-122.08108,blowdown,FALSE,1998,1998,94740,H08-001-02,24,-29,5/20/98 18:12,8/28/98 9:30,FALSE,clean,TRUE
METALK_RIP1,"Meta Lake, riparian zone 1",46.295887,-122.081043,blowdown,TRUE,1998,1998,94738,H08-001-02,24,100,5/20/98 17:38,8/28/98 9:30,FALSE,clean,TRUE
METALK_RIP2,"Meta Lake, riparian zone 2",46.296241,-122.080876,blowdown,TRUE,1998,1998,94723,H08-001-02,24,100,5/20/98 17:54,8/28/98 9:30,FALSE,clean,TRUE
CURTLK_LIT1,"Curtis Lake, littoral zone 1",46.279829,-122.065107,blowdown,FALSE,1998,1998,94742,H08-001-02,24,-24,5/20/98 14:27,8/28/98 8:00,FALSE,clean,TRUE
CURTLK_LIT2,"Curtis Lake, littoral zone 2",46.279813,-122.065239,blowdown,FALSE,1998,1998,94721,H08-001-02,24,-20,5/20/98 14:42,8/28/98 8:00,FALSE,clean,TRUE
CURTLK_LIT3,"Curtis Lake, littoral zone 3",46.279941,-122.065422,blowdown,FALSE,1998,1998,94720,H08-001-02,24,-29,5/20/98 14:30,8/28/98 8:00,FALSE,clean,TRUE
CURTLK_RIP1,"Curtis Lake, riparian zone 1",46.279804,-122.065023,blowdown,TRUE,1998,1998,94722,H08-001-02,24,100,5/20/98 14:47,8/28/98 8:00,FALSE,clean,TRUE
CURTLK_RIP2,"Curtis Lake, riparian zone 2",46.279757,-122.065277,blowdown,TRUE,1998,1998,94739,H08-001-02,24,100,5/20/98 14:53,8/28/98 8:00,FALSE,clean,TRUE
METALK_LIT1,"Meta Lake, littoral zone 1",46.295952,-122.081045,blowdown,FALSE,1999,1999,94742,H08-001-02,24,-26,6/23/99 18:26,7/6/99 14:33,FALSE,clean,TRUE
METALK_LIT2,"Meta Lake, littoral zone 2",46.296223,-122.081027,blowdown,FALSE,1999,1999,94740,H08-001-02,24,-32,6/23/99 18:30,7/6/99 14:43,FALSE,clean,TRUE
METALK_LIT3,"Meta Lake, littoral zone 3",46.296578,-122.08108,blowdown,FALSE,1999,1999,94720,H08-001-02,24,-39,6/23/99 18:37,7/6/99 14:39,FALSE,clean,TRUE
METALK_RIP1,"Meta Lake, riparian zone 1",46.295887,-122.081043,blowdown,TRUE,1999,1999,94721,H08-001-02,24,100,6/23/99 18:44,7/6/99 14:49,FALSE,clean,TRUE
METALK_RIP2,"Meta Lake, riparian zone 2",46.296241,-122.080876,blowdown,TRUE,1999,1999,94759,H08-001-02,24,100,6/23/99 18:48,7/6/99 14:53,FALSE,clean,TRUE
METALK_RIP3,"Meta Lake, riparian zone 3",46.296539,-122.080954,blowdown,TRUE,1999,1999,94741,H08-001-02,24,100,6/23/99 18:51,7/6/99 15:05,FALSE,clean,TRUE
CURTLK_LIT1,"Curtis Lake, littoral zone 1",46.279829,-122.065107,blowdown,FALSE,1999,1999,94723,H08-001-02,24,-27,6/23/99 15:03,7/6/99 16:41,FALSE,clean,TRUE
CURTLK_LIT2,"Curtis Lake, littoral zone 2",46.279813,-122.065239,blowdown,FALSE,1999,1999,94738,H08-001-02,24,-25,6/23/99 15:07,7/6/99 16:48,FALSE,clean,TRUE
CURTLK_LIT3,"Curtis Lake, littoral zone 3",46.279941,-122.065422,blowdown,FALSE,1999,1999,94739,H08-001-02,24,-24,6/23/99 15:16,7/6/99 17:14,FALSE,clean,TRUE
CURTLK_RIP1,"Curtis Lake, riparian zone 1",46.279804,-122.065023,blowdown,TRUE,1999,1999,94758,H08-001-02,24,100,6/23/99 15:20,7/6/99 16:43,FALSE,clean,TRUE
