"Plot Title: PLVA_Bean_5_2002"
#,Date Time,H08 High Res. Temp. (°C) LGR S/N: 492644 c:1,GCap. RH (%) LGR S/N: 492644 c:3
1,06/10/02 15:37:51,23.15,43.10
2,06/10/02 15:47:51,23.53,41.60
3,06/10/02 15:57:51,23.46,41.60
4,06/10/02 16:07:51,22.81,39.10
5,06/10/02 16:17:51,22.28,40.60
6,06/10/02 16:27:51,21.88,41.10
7,06/10/02 16:37:51,21.54,41.60
8,06/10/02 16:47:51,21.28,42.60
9,06/10/02 16:57:51,21.04,44.10
10,06/10/02 17:07:51,21.69,47.20
11,06/10/02 17:17:51,20.95,46.70
12,06/10/02 17:27:51,20.64,48.80
13,06/10/02 17:37:51,20.40,50.30
14,06/10/02 17:47:51,20.26,50.30
15,06/10/02 17:57:51,20.16,50.80
16,06/10/02 18:07:51,20.49,60.60
17,06/10/02 18:17:51,20.99,54.40
18,06/10/02 18:27:51,21.71,51.30
19,06/10/02 18:37:51,22.28,49.30
20,06/10/02 18:47:51,22.74,49.80
21,06/10/02 18:57:51,23.19,48.80
22,06/10/02 19:07:51,23.58,49.30
23,06/10/02 19:17:51,23.87,47.70
24,06/10/02 19:27:51,24.11,47.70
25,06/10/02 19:37:51,24.28,46.70
26,06/10/02 19:47:51,24.33,44.60
27,06/10/02 19:57:51,24.23,42.60
28,06/10/02 20:07:51,24.13,41.60
29,06/10/02 20:17:51,23.99,42.60
30,06/10/02 20:27:51,23.80,42.10
31,06/10/02 20:37:51,23.60,42.10
32,06/10/02 20:47:51,23.36,42.10
33,06/10/02 20:57:51,23.07,41.60
34,06/10/02 21:07:51,22.79,41.60
35,06/10/02 21:17:51,22.45,41.60
36,06/10/02 21:27:51,22.12,41.60
37,06/10/02 21:37:51,21.78,42.10
38,06/10/02 21:47:51,21.45,42.60
39,06/10/02 21:57:51,21.16,43.60
40,06/10/02 22:07:51,20.80,44.60
41,06/10/02 22:17:51,20.54,45.20
42,06/10/02 22:27:51,20.28,45.70
43,06/10/02 22:37:51,19.97,46.20
44,06/10/02 22:47:51,19.73,46.70
45,06/10/02 22:57:51,19.45,47.20
46,06/10/02 23:07:51,19.11,48.20
47,06/10/02 23:17:51,18.85,48.80
48,06/10/02 23:27:51,18.64,48.80
49,06/10/02 23:37:51,18.38,49.30
50,06/10/02 23:47:51,18.12,49.80
51,06/10/02 23:57:51,17.81,51.30
52,06/11/02 00:07:51,17.45,51.90
53,06/11/02 00:17:51,17.14,52.40
54,06/11/02 00:27:51,16.85,53.40
55,06/11/02 00:37:51,16.57,53.90
56,06/11/02 00:47:51,16.28,53.90
57,06/11/02 00:57:51,16.00,55.00
58,06/11/02 01:07:51,15.78,55.00
59,06/11/02 01:17:51,15.52,55.50
60,06/11/02 01:27:51,15.28,56.00
61,06/11/02 01:37:51,14.99,56.50
62,06/11/02 01:47:51,14.73,57.00
63,06/11/02 01:57:51,14.47,57.50
64,06/11/02 02:07:51,14.23,58.10
65,06/11/02 02:17:51,13.99,58.10
66,06/11/02 02:27:51,13.80,58.60
67,06/11/02 02:37:51,13.56,59.60
68,06/11/02 02:47:51,13.32,60.60
69,06/11/02 02:57:51,13.05,61.20
70,06/11/02 03:07:51,12.93,59.60
71,06/11/02 03:17:51,12.81,59.60
72,06/11/02 03:27:51,12.59,61.20
73,06/11/02 03:37:51,12.50,59.60
74,06/11/02 03:47:51,12.25,61.70
75,06/11/02 03:57:51,11.99,62.70
76,06/11/02 04:07:51,11.82,62.20
77,06/11/02 04:17:51,11.72,60.60
78,06/11/02 04:27:51,11.53,63.20
79,06/11/02 04:37:51,11.38,62.20
80,06/11/02 04:47:51,11.28,61.70
81,06/11/02 04:57:51,11.16,61.20
82,06/11/02 05:07:51,11.04,62.70
83,06/11/02 05:17:51,10.84,63.70
84,06/11/02 05:27:51,10.67,64.20
85,06/11/02 05:37:51,10.53,64.70
86,06/11/02 05:47:51,10.38,64.20
87,06/11/02 05:57:51,10.31,63.20
88,06/11/02 06:07:51,10.18,63.70
89,06/11/02 06:17:51,10.09,63.20
90,06/11/02 06:27:51,9.99,62.20
91,06/11/02 06:37:51,9.89,60.60
92,06/11/02 06:47:51,9.82,62.20
93,06/11/02 06:57:51,9.72,61.20
94,06/11/02 07:07:51,9.64,60.60
95,06/11/02 07:17:51,9.57,62.70
96,06/11/02 07:27:51,9.52,60.60
97,06/11/02 07:37:51,9.47,60.60
98,06/11/02 07:47:51,9.45,61.70
99,06/11/02 07:57:51,9.42,60.10
100,06/11/02 08:07:51,9.42,60.60
101,06/11/02 08:17:51,9.42,64.20
102,06/11/02 08:27:51,9.72,77.20
103,06/11/02 08:37:51,9.99,78.10
104,06/11/02 08:47:51,10.18,75.20
105,06/11/02 08:57:51,10.38,74.30
106,06/11/02 09:07:51,10.58,74.30
107,06/11/02 09:17:51,10.84,75.70
108,06/11/02 09:27:51,11.16,79.50
109,06/11/02 09:37:51,11.60,79.10
110,06/11/02 09:47:51,12.13,72.80
111,06/11/02 09:57:51,12.62,68.80
112,06/11/02 10:07:51,13.10,67.80
113,06/11/02 10:17:51,13.53,67.30
114,06/11/02 10:27:51,14.90,60.60
115,06/11/02 10:37:51,16.19,62.70
116,06/11/02 10:47:51,16.97,64.70
117,06/11/02 10:57:51,17.76,60.10
118,06/11/02 11:07:51,18.47,60.10
119,06/11/02 11:17:51,19.14,58.10
120,06/11/02 11:27:51,19.73,55.00
121,06/11/02 11:37:51,20.30,54.40
122,06/11/02 11:47:51,20.85,52.90
123,06/11/02 11:57:51,21.40,49.30
124,06/11/02 12:07:51,21.93,46.20
125,06/11/02 12:17:51,22.45,44.10
126,06/11/02 12:27:51,22.95,42.60
127,06/11/02 12:37:51,23.41,41.60
128,06/11/02 12:47:51,23.82,39.10
129,06/11/02 12:57:51,24.18,39.10
130,06/11/02 13:07:51,24.52,36.10
131,06/11/02 13:17:51,24.81,37.10
132,06/11/02 13:27:51,25.10,35.60
133,06/11/02 13:37:51,25.34,36.60
134,06/11/02 13:47:51,25.58,29.30
135,06/11/02 13:57:51,25.83,29.30
136,06/11/02 14:07:51,26.05,33.60
137,06/11/02 14:17:51,26.27,32.20
138,06/11/02 14:27:51,26.46,31.20
139,06/11/02 14:37:51,26.68,35.10
140,06/11/02 14:47:51,26.88,36.60
141,06/11/02 14:57:51,27.07,36.10
142,06/11/02 15:07:51,27.25,20.30
143,06/11/02 15:17:51,26.93,18.20
144,06/11/02 15:27:51,26.39,23.30
145,06/11/02 15:37:51,25.61,19.90
146,06/11/02 15:47:51,22.83,30.30
147,06/11/02 15:57:51,22.88,30.30
148,06/11/02 16:07:51,22.93,30.70
149,06/11/02 16:17:51,22.95,28.80
150,06/11/02 16:27:51,25.71,24.70
151,06/11/02 16:37:51,26.46,26.50
152,06/11/02 16:47:51,25.24,39.10
153,06/11/02 16:57:51,25.24,36.10
154,06/11/02 17:07:51,24.04,37.60
155,06/11/02 17:17:51,22.76,37.60
156,06/11/02 17:27:51,23.89,48.20
157,06/11/02 17:37:51,23.56,32.20
158,06/11/02 17:47:51,21.61,36.10
159,06/11/02 17:57:51,20.21,39.10
160,06/11/02 18:07:51,18.99,48.20
161,06/11/02 18:17:51,17.31,56.00
162,06/11/02 18:27:51,15.95,61.20
163,06/11/02 18:37:51,14.49,65.30
164,06/11/02 18:47:51,13.17,71.30
165,06/11/02 18:57:51,13.10,72.80
166,06/11/02 19:07:51,12.21,76.70
167,06/11/02 19:17:51,11.87,78.10
168,06/11/02 19:27:51,11.55,79.10
169,06/11/02 19:37:51,11.45,80.50
170,06/11/02 19:47:51,11.28,81.40
171,06/11/02 19:57:51,11.02,81.40
172,06/11/02 20:07:51,10.62,82.80
173,06/11/02 20:17:51,10.26,84.10
174,06/11/02 20:27:51,10.16,83.20
175,06/11/02 20:37:51,9.86,83.70
176,06/11/02 20:47:51,9.74,85.90
177,06/11/02 20:57:51,9.57,85.00
178,06/11/02 21:07:51,9.59,85.50
179,06/11/02 21:17:51,9.52,85.00
180,06/11/02 21:27:51,9.37,85.50
181,06/11/02 21:37:51,9.05,85.90
182,06/11/02 21:47:51,8.63,88.10
183,06/11/02 21:57:51,8.50,88.10
184,06/11/02 22:07:51,8.68,88.50
185,06/11/02 22:17:51,8.70,88.10
186,06/11/02 22:27:51,8.38,89.80
187,06/11/02 22:37:51,8.78,88.50
188,06/11/02 22:47:51,8.93,87.20
189,06/11/02 22:57:51,8.93,86.40
190,06/11/02 23:07:51,8.93,85.50
191,06/11/02 23:17:51,8.73,86.40
192,06/11/02 23:27:51,8.45,87.70
193,06/11/02 23:37:51,8.48,88.10
194,06/11/02 23:47:51,8.65,85.00
195,06/11/02 23:57:51,8.70,83.20
196,06/12/02 00:07:51,8.68,82.30
197,06/12/02 00:17:51,8.38,83.70
198,06/12/02 00:27:51,8.18,85.00
199,06/12/02 00:37:51,8.16,85.50
200,06/12/02 00:47:51,8.13,86.40
201,06/12/02 00:57:51,8.01,87.20
202,06/12/02 01:07:51,7.93,87.70
203,06/12/02 01:17:51,7.88,88.50
204,06/12/02 01:27:51,7.86,88.90
205,06/12/02 01:37:51,7.93,89.80
206,06/12/02 01:47:51,7.86,89.80
207,06/12/02 01:57:51,7.91,90.60
208,06/12/02 02:07:51,7.86,90.20
209,06/12/02 02:17:51,7.91,89.80
210,06/12/02 02:27:51,7.88,90.20
211,06/12/02 02:37:51,7.81,90.20
212,06/12/02 02:47:51,7.73,90.20
213,06/12/02 02:57:51,7.68,90.20
214,06/12/02 03:07:51,7.76,90.20
215,06/12/02 03:17:51,7.76,90.20
216,06/12/02 03:27:51,7.63,90.20
217,06/12/02 03:37:51,7.48,90.60
218,06/12/02 03:47:51,7.43,91.40
219,06/12/02 03:57:51,7.48,91.00
220,06/12/02 04:07:51,7.48,90.60
221,06/12/02 04:17:51,7.45,90.60
222,06/12/02 04:27:51,7.38,90.60
223,06/12/02 04:37:51,7.25,90.60
224,06/12/02 04:47:51,7.23,90.20
225,06/12/02 04:57:51,7.20,89.80
226,06/12/02 05:07:51,7.25,89.40
227,06/12/02 05:17:51,7.23,88.50
228,06/12/02 05:27:51,7.18,88.50
229,06/12/02 05:37:51,7.10,89.40
230,06/12/02 05:47:51,7.30,89.40
231,06/12/02 05:57:51,7.43,88.50
232,06/12/02 06:07:51,7.73,87.70
233,06/12/02 06:17:51,7.96,87.20
234,06/12/02 06:27:51,8.11,86.40
235,06/12/02 06:37:51,8.16,86.40
236,06/12/02 06:47:51,7.96,88.10
237,06/12/02 06:57:51,7.81,88.50
238,06/12/02 07:07:51,7.76,89.40
239,06/12/02 07:17:51,7.83,88.90
240,06/12/02 07:27:51,8.08,88.10
241,06/12/02 07:37:51,7.96,88.50
242,06/12/02 07:47:51,7.83,88.90
243,06/12/02 07:57:51,7.81,88.90
244,06/12/02 08:07:51,7.76,89.40
245,06/12/02 08:17:51,7.81,88.90
246,06/12/02 08:27:51,8.01,88.50
247,06/12/02 08:37:51,8.06,88.10
248,06/12/02 08:47:51,8.60,85.90
249,06/12/02 08:57:51,8.85,87.20
250,06/12/02 09:07:51,9.12,86.40
251,06/12/02 09:17:51,10.11,83.20
252,06/12/02 09:27:51,11.77,78.10
253,06/12/02 09:37:51,14.16,63.70
254,06/12/02 09:47:51,15.76,57.50
255,06/12/02 09:57:51,17.00,54.40
256,06/12/02 10:07:51,17.38,55.50
257,06/12/02 10:17:51,17.69,52.90
258,06/12/02 10:27:51,18.66,48.20
259,06/12/02 10:37:51,19.14,45.70
260,06/12/02 10:47:51,19.16,49.30
261,06/12/02 10:57:51,19.52,45.70
262,06/12/02 11:07:51,19.92,41.10
263,06/12/02 11:17:51,20.04,43.10
264,06/12/02 11:27:51,20.35,40.60
265,06/12/02 11:37:51,20.42,40.60
266,06/12/02 11:47:51,20.30,39.10
267,06/12/02 11:57:51,20.52,37.10
268,06/12/02 12:07:51,20.59,39.10
269,06/12/02 12:17:51,19.90,43.10
270,06/12/02 12:27:51,20.16,41.10
