Serial Number:      94739     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
07/11/01 11:24:09,25.6
07/11/01 13:24:09,26.3
07/11/01 15:24:09,28.7
07/11/01 17:24:09,17.1
07/11/01 19:24:09,15.2
07/11/01 21:24:09,12.9
07/11/01 23:24:09,11.3
07/12/01 01:24:09,11.3
07/12/01 03:24:09,10.2
07/12/01 05:24:09,10.2
07/12/01 07:24:09,10.9
07/12/01 09:24:09,12.9
07/12/01 11:24:09,18.6
07/12/01 13:24:09,22.4
07/12/01 15:24:09,22.4
07/12/01 17:24:09,15.9
07/12/01 19:24:09,14.4
07/12/01 21:24:09,12.5
07/12/01 23:24:09,10.6
07/13/01 01:24:09,9.4
07/13/01 03:24:09,8.6
07/13/01 05:24:09,7.8
07/13/01 07:24:09,8.6
07/13/01 09:24:09,10.2
07/13/01 11:24:09,17.8
07/13/01 13:24:09,22.8
07/13/01 15:24:09,22.1
07/13/01 17:24:09,14.8
07/13/01 19:24:09,12.5
07/13/01 21:24:09,10.6
07/13/01 23:24:09,9
07/14/01 01:24:09,7.8
07/14/01 03:24:09,6.6
07/14/01 05:24:09,7.4
07/14/01 07:24:09,7.8
07/14/01 09:24:09,9
07/14/01 11:24:09,16.3
07/14/01 13:24:09,19
07/14/01 15:24:09,20.9
07/14/01 17:24:09,13.7
07/14/01 19:24:09,11.3
07/14/01 21:24:09,9
07/14/01 23:24:09,8.6
07/15/01 01:24:09,8.6
07/15/01 03:24:09,8.2
07/15/01 05:24:09,7.8
07/15/01 07:24:09,7
07/15/01 09:24:09,8.6
07/15/01 11:24:09,8.2
07/15/01 13:24:09,9
07/15/01 15:24:09,10.2
07/15/01 17:24:09,9
07/15/01 19:24:09,8.2
07/15/01 21:24:09,7.4
07/15/01 23:24:09,7.4
07/16/01 01:24:09,7
07/16/01 03:24:09,6.6
07/16/01 05:24:09,6.2
07/16/01 07:24:09,6.2
07/16/01 09:24:09,7
07/16/01 11:24:09,7.8
07/16/01 13:24:09,9.8
07/16/01 15:24:09,8.6
07/16/01 17:24:09,8.2
07/16/01 19:24:09,7.8
07/16/01 21:24:09,7
07/16/01 23:24:09,7
07/17/01 01:24:09,7
07/17/01 03:24:09,6.6
07/17/01 05:24:09,6.6
07/17/01 07:24:09,7
07/17/01 09:24:09,7.8
07/17/01 11:24:09,10.2
07/17/01 13:24:09,11.7
07/17/01 15:24:09,11.7
07/17/01 17:24:09,10.2
07/17/01 19:24:09,8.6
07/17/01 21:24:09,7.8
07/17/01 23:24:09,7.8
07/18/01 01:24:09,7.4
07/18/01 03:24:09,7.4
07/18/01 05:24:09,7.4
07/18/01 07:24:09,7.4
07/18/01 09:24:09,8.2
07/18/01 11:24:09,9.4
07/18/01 13:24:09,10.9
07/18/01 15:24:09,11.7
07/18/01 17:24:09,11.7
07/18/01 19:24:09,9.8
07/18/01 21:24:09,7.8
07/18/01 23:24:09,8.6
07/19/01 01:24:09,7.4
07/19/01 03:24:09,7.4
07/19/01 05:24:09,7.8
07/19/01 07:24:09,7.8
07/19/01 09:24:09,9
07/19/01 11:24:09,13.3
07/19/01 13:24:09,17.4
07/19/01 15:24:09,19.4
07/19/01 17:24:09,14.4
07/19/01 19:24:09,12.1
07/19/01 21:24:09,9.8
07/19/01 23:24:09,9.4
07/20/01 01:24:09,9.4
07/20/01 03:24:09,9
07/20/01 05:24:09,8.6
07/20/01 07:24:09,7.8
07/20/01 09:24:09,10.9
07/20/01 11:24:09,10.6
07/20/01 13:24:09,10.6
07/20/01 15:24:09,9.8
07/20/01 17:24:09,9.8
07/20/01 19:24:09,9.4
07/20/01 21:24:09,9
07/20/01 23:24:09,9
07/21/01 01:24:09,8.6
07/21/01 03:24:09,8.6
07/21/01 05:24:09,8.2
07/21/01 07:24:09,8.6
07/21/01 09:24:09,9.4
07/21/01 11:24:09,10.9
07/21/01 13:24:09,12.5
07/21/01 15:24:09,14.1
07/21/01 17:24:09,12.1
07/21/01 19:24:09,10.9
07/21/01 21:24:09,9.4
07/21/01 23:24:09,8.2
07/22/01 01:24:09,7.4
07/22/01 03:24:09,6.6
07/22/01 05:24:09,6.2
07/22/01 07:24:09,7
07/22/01 09:24:09,8.2
07/22/01 11:24:09,14.8
07/22/01 13:24:09,19.8
07/22/01 15:24:09,21.3
07/22/01 17:24:09,14.4
07/22/01 19:24:09,12.1
07/22/01 21:24:09,10.6
07/22/01 23:24:09,10.2
07/23/01 01:24:09,10.6
07/23/01 03:24:09,9.4
07/23/01 05:24:09,9.8
07/23/01 07:24:09,9.4
07/23/01 09:24:09,11.3
07/23/01 11:24:09,17.1
07/23/01 13:24:09,22.4
07/23/01 15:24:09,22.8
07/23/01 17:24:09,15.9
07/23/01 19:24:09,13.3
07/23/01 21:24:09,12.1
07/23/01 23:24:09,11.7
07/24/01 01:24:09,10.9
07/24/01 03:24:09,9.8
07/24/01 05:24:09,9
07/24/01 07:24:09,9.4
07/24/01 09:24:09,11.7
07/24/01 11:24:09,15.2
07/24/01 13:24:09,20.2
07/24/01 15:24:09,23.6
07/24/01 17:24:09,15.2
07/24/01 19:24:09,12.1
07/24/01 21:24:09,10.6
07/24/01 23:24:09,9.8
07/25/01 01:24:09,9
07/25/01 03:24:09,9
07/25/01 05:24:09,7.8
07/25/01 07:24:09,8.2
07/25/01 09:24:09,9.8
07/25/01 11:24:09,16.7
07/25/01 13:24:09,22.4
07/25/01 15:24:09,22.8
07/25/01 17:24:09,14.8
07/25/01 19:24:09,12.9
07/25/01 21:24:09,10.6
07/25/01 23:24:09,10.6
07/26/01 01:24:09,9.8
07/26/01 03:24:09,8.2
07/26/01 05:24:09,7.8
07/26/01 07:24:09,8.6
07/26/01 09:24:09,11.3
07/26/01 11:24:09,18.6
07/26/01 13:24:09,23.2
07/26/01 15:24:09,23.2
07/26/01 17:24:09,15.2
07/26/01 19:24:09,13.3
07/26/01 21:24:09,10.9
07/26/01 23:24:09,10.2
07/27/01 01:24:09,8.6
07/27/01 03:24:09,7.8
07/27/01 05:24:09,7
07/27/01 07:24:09,7.4
07/27/01 09:24:09,9.8
07/27/01 11:24:09,16.3
07/27/01 13:24:09,21.7
07/27/01 15:24:09,20.9
07/27/01 17:24:09,14.1
07/27/01 19:24:09,12.1
07/27/01 21:24:09,11.3
07/27/01 23:24:09,10.6
07/28/01 01:24:09,10.2
07/28/01 03:24:09,9.4
07/28/01 05:24:09,9
07/28/01 07:24:09,9
07/28/01 09:24:09,10.2
07/28/01 11:24:09,9.4
07/28/01 13:24:09,10.2
07/28/01 15:24:09,11.3
07/28/01 17:24:09,9.8
07/28/01 19:24:09,8.6
07/28/01 21:24:09,8.2
07/28/01 23:24:09,7.8
07/29/01 01:24:09,7
07/29/01 03:24:09,7
07/29/01 05:24:09,7
07/29/01 07:24:09,7.4
07/29/01 09:24:09,8.2
07/29/01 11:24:09,12.5
07/29/01 13:24:09,13.3
07/29/01 15:24:09,12.9
07/29/01 17:24:09,10.9
07/29/01 19:24:09,9.8
07/29/01 21:24:09,9.4
07/29/01 23:24:09,9
07/30/01 01:24:09,9
07/30/01 03:24:09,8.6
07/30/01 05:24:09,7.8
07/30/01 07:24:09,7.4
07/30/01 09:24:09,8.6
07/30/01 11:24:09,14.8
07/30/01 13:24:09,15.6
07/30/01 15:24:09,16.3
07/30/01 17:24:09,12.5
07/30/01 19:24:09,10.9
07/30/01 21:24:09,9.8
07/30/01 23:24:09,8.6
07/31/01 01:24:09,8.2
07/31/01 03:24:09,7.8
07/31/01 05:24:09,7.8
07/31/01 07:24:09,7.8
07/31/01 09:24:09,8.6
07/31/01 11:24:09,10.2
07/31/01 13:24:09,14.4
07/31/01 15:24:09,17.1
07/31/01 17:24:09,11.7
07/31/01 19:24:09,10.6
07/31/01 21:24:09,9.4
07/31/01 23:24:09,7
08/01/01 01:24:09,6.2
