Serial Number:      94722     --     Series: Temperature   (*C)

Date Time,Temperature   (*C)
08/17/00 14:26:39,22.8
08/17/00 15:38:39,21.7
08/17/00 16:50:39,22.1
08/17/00 18:02:39,22.1
08/17/00 19:14:39,22.1
08/17/00 20:26:39,21.3
08/17/00 21:38:39,20.9
08/17/00 22:50:39,20.5
08/18/00 00:02:39,20.2
08/18/00 01:14:39,19.8
08/18/00 02:26:39,19.4
08/18/00 03:38:39,19.4
08/18/00 04:50:39,19
08/18/00 06:02:39,18.6
08/18/00 07:14:39,18.6
08/18/00 08:26:39,18.2
08/18/00 09:38:39,18.2
08/18/00 10:50:39,18.2
08/18/00 12:02:39,18.6
08/18/00 13:14:39,18.6
08/18/00 14:26:39,19
08/18/00 15:38:39,19.4
08/18/00 16:50:39,19.4
08/18/00 18:02:39,19.4
08/18/00 19:14:39,19.8
08/18/00 20:26:39,19.8
08/18/00 21:38:39,19.8
08/18/00 22:50:39,19.8
08/19/00 00:02:39,19.4
08/19/00 01:14:39,19.4
08/19/00 02:26:39,19
08/19/00 03:38:39,19
08/19/00 04:50:39,18.6
08/19/00 06:02:39,18.6
08/19/00 07:14:39,18.6
08/19/00 08:26:39,18.2
08/19/00 09:38:39,18.2
08/19/00 10:50:39,18.2
08/19/00 12:02:39,19
08/19/00 13:14:39,19.8
08/19/00 14:26:39,20.5
08/19/00 15:38:39,20.9
08/19/00 16:50:39,20.9
08/19/00 18:02:39,20.9
08/19/00 19:14:39,20.9
08/19/00 20:26:39,20.9
08/19/00 21:38:39,20.9
08/19/00 22:50:39,20.5
08/20/00 00:02:39,20.2
08/20/00 01:14:39,20.2
08/20/00 02:26:39,19.8
08/20/00 03:38:39,19.4
08/20/00 04:50:39,19
08/20/00 06:02:39,18.6
08/20/00 07:14:39,18.2
08/20/00 08:26:39,18.2
08/20/00 09:38:39,17.8
08/20/00 10:50:39,18.2
08/20/00 12:02:39,18.2
08/20/00 13:14:39,18.6
08/20/00 14:26:39,19
08/20/00 15:38:39,19.8
08/20/00 16:50:39,20.2
08/20/00 18:02:39,20.5
08/20/00 19:14:39,20.9
08/20/00 20:26:39,20.9
08/20/00 21:38:39,21.3
08/20/00 22:50:39,20.9
