Serial Number:      94740     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
07/11/01 11:22:12,24.8
07/11/01 13:22:12,26.3
07/11/01 15:22:12,35.2
07/11/01 17:22:12,26.7
07/11/01 19:22:12,17.4
07/11/01 21:22:12,14.8
07/11/01 23:22:12,12.5
07/12/01 01:22:12,12.1
07/12/01 03:22:12,10.9
07/12/01 05:22:12,10.9
07/12/01 07:22:12,12.1
07/12/01 09:22:12,16.7
07/12/01 11:22:12,28.7
07/12/01 13:22:12,27.9
07/12/01 15:22:12,20.9
07/12/01 17:22:12,17.8
07/12/01 19:22:12,16.3
07/12/01 21:22:12,14.1
07/12/01 23:22:12,10.9
07/13/01 01:22:12,9.4
07/13/01 03:22:12,8.6
07/13/01 05:22:12,7.4
07/13/01 07:22:12,8.6
07/13/01 09:22:12,15.2
07/13/01 11:22:12,28.3
07/13/01 13:22:12,28.7
07/13/01 15:22:12,20.9
07/13/01 17:22:12,16.3
07/13/01 19:22:12,13.3
07/13/01 21:22:12,10.9
07/13/01 23:22:12,9
07/14/01 01:22:12,7.8
07/14/01 03:22:12,6.2
07/14/01 05:22:12,6.6
07/14/01 07:22:12,7.8
07/14/01 09:22:12,13.3
07/14/01 11:22:12,25.2
07/14/01 13:22:12,24
07/14/01 15:22:12,18.6
07/14/01 17:22:12,15.2
07/14/01 19:22:12,12.1
07/14/01 21:22:12,9.4
07/14/01 23:22:12,8.6
07/15/01 01:22:12,8.6
07/15/01 03:22:12,8.2
07/15/01 05:22:12,7.8
07/15/01 07:22:12,7
07/15/01 09:22:12,9.4
07/15/01 11:22:12,8.6
07/15/01 13:22:12,10.2
07/15/01 15:22:12,11.7
07/15/01 17:22:12,9.8
07/15/01 19:22:12,8.6
07/15/01 21:22:12,7.4
07/15/01 23:22:12,7
07/16/01 01:22:12,7
07/16/01 03:22:12,6.6
07/16/01 05:22:12,5.8
07/16/01 07:22:12,6.2
07/16/01 09:22:12,7.8
07/16/01 11:22:12,9
07/16/01 13:22:12,12.1
07/16/01 15:22:12,10.2
07/16/01 17:22:12,9
07/16/01 19:22:12,8.2
07/16/01 21:22:12,7
07/16/01 23:22:12,7
07/17/01 01:22:12,6.6
07/17/01 03:22:12,6.6
07/17/01 05:22:12,7
07/17/01 07:22:12,7
07/17/01 09:22:12,9.4
07/17/01 11:22:12,13.7
07/17/01 13:22:12,14.8
07/17/01 15:22:12,13.7
07/17/01 17:22:12,11.7
07/17/01 19:22:12,9.8
07/17/01 21:22:12,8.2
07/17/01 23:22:12,7.8
07/18/01 01:22:12,7.8
07/18/01 03:22:12,7.4
07/18/01 05:22:12,7.4
07/18/01 07:22:12,8.2
07/18/01 09:22:12,9.4
07/18/01 11:22:12,11.3
07/18/01 13:22:12,12.9
07/18/01 15:22:12,13.7
07/18/01 17:22:12,13.7
07/18/01 19:22:12,11.7
07/18/01 21:22:12,8.6
07/18/01 23:22:12,8.6
07/19/01 01:22:12,7.4
07/19/01 03:22:12,7.4
07/19/01 05:22:12,7.8
07/19/01 07:22:12,8.6
07/19/01 09:22:12,10.6
07/19/01 11:22:12,18.2
07/19/01 13:22:12,20.9
07/19/01 15:22:12,18.2
07/19/01 17:22:12,16.3
07/19/01 19:22:12,13.3
07/19/01 21:22:12,10.6
07/19/01 23:22:12,9.8
07/20/01 01:22:12,9.8
07/20/01 03:22:12,9.4
07/20/01 05:22:12,9
07/20/01 07:22:12,7.8
07/20/01 09:22:12,13.3
07/20/01 11:22:12,12.5
07/20/01 13:22:12,12.5
07/20/01 15:22:12,10.9
07/20/01 17:22:12,10.9
07/20/01 19:22:12,10.2
07/20/01 21:22:12,9.8
07/20/01 23:22:12,9.4
07/21/01 01:22:12,9.4
07/21/01 03:22:12,9
07/21/01 05:22:12,9
07/21/01 07:22:12,9
07/21/01 09:22:12,10.9
07/21/01 11:22:12,12.9
07/21/01 13:22:12,14.4
07/21/01 15:22:12,15.2
07/21/01 17:22:12,13.3
07/21/01 19:22:12,12.1
07/21/01 21:22:12,9.8
07/21/01 23:22:12,8.2
07/22/01 01:22:12,7.4
07/22/01 03:22:12,6.6
07/22/01 05:22:12,6.2
07/22/01 07:22:12,6.6
07/22/01 09:22:12,9.8
07/22/01 11:22:12,23.2
07/22/01 13:22:12,22.8
07/22/01 15:22:12,19.4
07/22/01 17:22:12,15.6
07/22/01 19:22:12,12.9
07/22/01 21:22:12,11.3
07/22/01 23:22:12,10.6
07/23/01 01:22:12,10.9
07/23/01 03:22:12,10.2
07/23/01 05:22:12,9.8
07/23/01 07:22:12,10.2
07/23/01 09:22:12,13.3
07/23/01 11:22:12,23.2
07/23/01 13:22:12,25.9
07/23/01 15:22:12,19.4
07/23/01 17:22:12,17.1
07/23/01 19:22:12,15.2
07/23/01 21:22:12,13.3
07/23/01 23:22:12,12.9
07/24/01 01:22:12,11.7
07/24/01 03:22:12,10.2
07/24/01 05:22:12,9.4
07/24/01 07:22:12,9.8
07/24/01 09:22:12,13.3
07/24/01 11:22:12,17.8
07/24/01 13:22:12,21.7
07/24/01 15:22:12,19.4
07/24/01 17:22:12,15.6
07/24/01 19:22:12,12.9
07/24/01 21:22:12,10.9
07/24/01 23:22:12,10.2
07/25/01 01:22:12,9
07/25/01 03:22:12,9
07/25/01 05:22:12,7.4
07/25/01 07:22:12,7.8
07/25/01 09:22:12,10.6
07/25/01 11:22:12,24
07/25/01 13:22:12,25.2
07/25/01 15:22:12,19
07/25/01 17:22:12,15.9
07/25/01 19:22:12,14.1
07/25/01 21:22:12,11.3
07/25/01 23:22:12,10.9
07/26/01 01:22:12,10.2
07/26/01 03:22:12,8.2
07/26/01 05:22:12,7.8
07/26/01 07:22:12,8.6
07/26/01 09:22:12,12.5
07/26/01 11:22:12,24.4
07/26/01 13:22:12,25.2
07/26/01 15:22:12,19.4
07/26/01 17:22:12,15.9
07/26/01 19:22:12,14.1
07/26/01 21:22:12,11.7
07/26/01 23:22:12,10.6
07/27/01 01:22:12,8.6
07/27/01 03:22:12,7.8
07/27/01 05:22:12,6.6
07/27/01 07:22:12,7
07/27/01 09:22:12,10.9
07/27/01 11:22:12,22.1
07/27/01 13:22:12,22.4
07/27/01 15:22:12,17.1
07/27/01 17:22:12,14.1
07/27/01 19:22:12,12.5
07/27/01 21:22:12,11.7
07/27/01 23:22:12,10.9
07/28/01 01:22:12,10.6
