Serial Number:      94739     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
07/06/97 16:48:56,25.6
07/06/97 17:03:56,27.9
07/06/97 17:18:56,27.5
07/06/97 17:33:56,26.7
07/06/97 17:48:56,26.3
07/06/97 18:03:56,26.3
07/06/97 18:18:56,26.3
07/06/97 18:33:56,26.7
07/06/97 18:48:56,26.7
07/06/97 19:03:56,26.7
07/06/97 19:18:56,25.6
07/06/97 19:33:56,24.8
07/06/97 19:48:56,23.6
07/06/97 20:03:56,22.8
07/06/97 20:18:56,22.1
07/06/97 20:33:56,21.3
07/06/97 20:48:56,20.9
07/06/97 21:03:56,20.2
07/06/97 21:18:56,19.8
07/06/97 21:33:56,19.4
07/06/97 21:48:56,18.6
07/06/97 22:03:56,18.2
07/06/97 22:18:56,18.2
07/06/97 22:33:56,18.6
07/06/97 22:48:56,19.4
07/06/97 23:03:56,20.5
07/06/97 23:18:56,21.7
07/06/97 23:33:56,22.1
07/06/97 23:48:56,22.4
07/07/97 00:03:56,22.8
07/07/97 00:18:56,23.6
07/07/97 00:33:56,23.6
07/07/97 00:48:56,23.6
07/07/97 01:03:56,23.2
07/07/97 01:18:56,22.8
07/07/97 01:33:56,22.4
07/07/97 01:48:56,22.1
07/07/97 02:03:56,21.7
07/07/97 02:18:56,21.7
07/07/97 02:33:56,21.3
07/07/97 02:48:56,20.9
07/07/97 03:03:56,20.5
07/07/97 03:18:56,20.2
07/07/97 03:33:56,19.8
07/07/97 03:48:56,19.8
07/07/97 04:03:56,19.4
07/07/97 04:18:56,19
07/07/97 04:33:56,19
07/07/97 04:48:56,18.6
07/07/97 05:03:56,18.6
07/07/97 05:18:56,18.2
07/07/97 05:33:56,18.2
07/07/97 05:48:56,18.2
07/07/97 06:03:56,18.6
07/07/97 06:18:56,19
07/07/97 06:33:56,19
07/07/97 06:48:56,19.4
07/07/97 07:03:56,19.8
07/07/97 07:18:56,19.8
07/07/97 07:33:56,19.4
07/07/97 07:48:56,19
07/07/97 08:03:56,19
07/07/97 08:18:56,19
07/07/97 08:33:56,19
07/07/97 08:48:56,19
07/07/97 09:03:56,19
07/07/97 09:18:56,19.4
07/07/97 09:33:56,20.2
07/07/97 09:48:56,20.5
07/07/97 10:03:56,21.3
07/07/97 10:18:56,21.3
07/07/97 10:33:56,21.3
07/07/97 10:48:56,20.9
07/07/97 11:03:56,20.2
07/07/97 11:18:56,19.8
07/07/97 11:33:56,19.8
07/07/97 11:48:56,19.8
07/07/97 12:03:56,20.5
07/07/97 12:18:56,20.9
07/07/97 12:33:56,21.7
07/07/97 12:48:56,22.8
07/07/97 13:03:56,39.6
07/07/97 13:18:56,41.9
07/07/97 13:33:56,32.3
07/07/97 13:48:56,38.7
07/07/97 14:03:56,46.3
07/07/97 14:18:56,31.9
07/07/97 14:33:56,25.9
07/07/97 14:48:56,24.8
07/07/97 15:03:56,24
07/07/97 15:18:56,24
07/07/97 15:33:56,24
07/07/97 15:48:56,25.2
07/07/97 16:03:56,25.9
07/07/97 16:18:56,16.7
07/07/97 16:33:56,9.8
07/07/97 16:48:56,8.6
07/07/97 17:03:56,8.2
07/07/97 17:18:56,8.2
07/07/97 17:33:56,8.6
07/07/97 17:48:56,8.6
07/07/97 18:03:56,8.6
07/07/97 18:18:56,8.6
07/07/97 18:33:56,8.6
07/07/97 18:48:56,8.6
07/07/97 19:03:56,8.6
07/07/97 19:18:56,8.6
07/07/97 19:33:56,8.6
07/07/97 19:48:56,8.6
07/07/97 20:03:56,8.2
07/07/97 20:18:56,7.8
07/07/97 20:33:56,7.8
07/07/97 20:48:56,7.8
07/07/97 21:03:56,7.4
07/07/97 21:18:56,7.4
07/07/97 21:33:56,7.4
07/07/97 21:48:56,7.4
07/07/97 22:03:56,7.4
07/07/97 22:18:56,7.4
07/07/97 22:33:56,7.4
07/07/97 22:48:56,7.4
07/07/97 23:03:56,7
07/07/97 23:18:56,7
07/07/97 23:33:56,7
07/07/97 23:48:56,7
07/08/97 00:03:56,7
07/08/97 00:18:56,7
07/08/97 00:33:56,7
07/08/97 00:48:56,7
07/08/97 01:03:56,7
07/08/97 01:18:56,7
07/08/97 01:33:56,7
07/08/97 01:48:56,7
07/08/97 02:03:56,7
