"Plot Title: PLVA_Clearwater1_2_2002"
#,Date Time,H08 High Res. Temp. (°C) LGR S/N: 492642 c:1,GCap. RH (%) LGR S/N: 492642 c:3
1,06/10/02 15:42:20,23.39,41.60
2,06/10/02 15:52:20,23.70,41.10
3,06/10/02 16:02:20,23.53,39.10
4,06/10/02 16:12:20,23.07,40.10
5,06/10/02 16:22:20,22.52,41.60
6,06/10/02 16:32:20,22.04,42.70
7,06/10/02 16:42:20,21.64,43.70
8,06/10/02 16:52:20,21.30,44.70
9,06/10/02 17:02:20,21.02,45.70
10,06/10/02 17:12:20,20.90,47.80
11,06/10/02 17:22:20,20.57,46.70
12,06/10/02 17:32:20,20.45,46.70
13,06/10/02 17:42:20,20.33,48.30
14,06/10/02 17:52:20,20.26,49.30
15,06/10/02 18:02:20,21.52,58.10
16,06/10/02 18:12:20,22.93,44.70
17,06/10/02 18:22:20,24.21,54.50
18,06/10/02 18:32:20,24.81,37.10
19,06/10/02 18:42:20,24.78,37.60
20,06/10/02 18:52:20,25.12,39.10
21,06/10/02 19:02:20,25.15,41.10
22,06/10/02 19:12:20,25.15,40.60
23,06/10/02 19:22:20,25.15,40.10
24,06/10/02 19:32:20,25.08,40.60
25,06/10/02 19:42:20,24.66,39.10
26,06/10/02 19:52:20,24.23,39.60
27,06/10/02 20:02:20,23.89,40.10
28,06/10/02 20:12:20,23.60,41.10
29,06/10/02 20:22:20,23.31,41.10
30,06/10/02 20:32:20,23.12,41.60
31,06/10/02 20:42:20,22.91,41.60
32,06/10/02 20:52:20,22.60,41.60
33,06/10/02 21:02:20,22.36,42.10
34,06/10/02 21:12:20,22.09,41.60
35,06/10/02 21:22:20,21.78,42.10
36,06/10/02 21:32:20,21.45,42.70
37,06/10/02 21:42:20,21.16,43.70
38,06/10/02 21:52:20,20.78,44.20
39,06/10/02 22:02:20,20.47,45.70
40,06/10/02 22:12:20,20.14,46.20
41,06/10/02 22:22:20,19.83,46.70
42,06/10/02 22:32:20,19.54,47.80
43,06/10/02 22:42:20,19.28,48.30
44,06/10/02 22:52:20,19.02,49.30
45,06/10/02 23:02:20,18.69,49.80
46,06/10/02 23:12:20,18.40,50.90
47,06/10/02 23:22:20,18.14,50.90
48,06/10/02 23:32:20,17.85,52.40
49,06/10/02 23:42:20,17.54,53.50
50,06/10/02 23:52:20,17.26,54.50
51,06/11/02 00:02:20,16.95,53.50
52,06/11/02 00:12:20,16.64,54.00
53,06/11/02 00:22:20,16.40,55.00
54,06/11/02 00:32:20,16.14,55.00
55,06/11/02 00:42:20,15.88,55.50
56,06/11/02 00:52:20,15.62,56.00
57,06/11/02 01:02:20,15.35,56.00
58,06/11/02 01:12:20,15.11,56.60
59,06/11/02 01:22:20,14.90,57.10
60,06/11/02 01:32:20,14.66,57.60
61,06/11/02 01:42:20,14.40,57.60
62,06/11/02 01:52:20,14.13,57.60
63,06/11/02 02:02:20,13.89,58.60
64,06/11/02 02:12:20,13.65,59.20
65,06/11/02 02:22:20,13.44,59.20
66,06/11/02 02:32:20,13.22,59.70
67,06/11/02 02:42:20,12.98,59.70
68,06/11/02 02:52:20,12.76,61.20
69,06/11/02 03:02:20,12.52,61.20
70,06/11/02 03:12:20,12.35,62.80
71,06/11/02 03:22:20,12.16,61.70
72,06/11/02 03:32:20,11.94,62.20
73,06/11/02 03:42:20,11.77,62.80
74,06/11/02 03:52:20,11.58,63.30
75,06/11/02 04:02:20,11.41,63.80
76,06/11/02 04:12:20,11.21,64.30
77,06/11/02 04:22:20,11.02,63.80
78,06/11/02 04:32:20,10.87,64.30
79,06/11/02 04:42:20,10.72,65.80
80,06/11/02 04:52:20,10.58,64.30
81,06/11/02 05:02:20,10.43,64.80
82,06/11/02 05:12:20,10.31,65.30
83,06/11/02 05:22:20,10.18,64.80
84,06/11/02 05:32:20,10.06,65.30
85,06/11/02 05:42:20,9.94,65.30
86,06/11/02 05:52:20,9.82,64.80
87,06/11/02 06:02:20,9.67,65.80
88,06/11/02 06:12:20,9.54,67.30
89,06/11/02 06:22:20,9.45,67.30
90,06/11/02 06:32:20,9.35,65.80
91,06/11/02 06:42:20,9.25,67.30
92,06/11/02 06:52:20,9.22,67.80
93,06/11/02 07:02:20,9.20,68.90
94,06/11/02 07:12:20,9.20,68.90
95,06/11/02 07:22:20,9.22,70.90
96,06/11/02 07:32:20,9.27,69.40
97,06/11/02 07:42:20,9.32,69.90
98,06/11/02 07:52:20,9.40,72.30
99,06/11/02 08:02:20,9.47,72.30
100,06/11/02 08:12:20,9.59,73.80
101,06/11/02 08:22:20,9.82,79.60
102,06/11/02 08:32:20,11.36,76.70
103,06/11/02 08:42:20,11.72,80.50
104,06/11/02 08:52:20,12.35,81.00
105,06/11/02 09:02:20,12.76,80.50
106,06/11/02 09:12:20,13.22,84.70
107,06/11/02 09:22:20,14.16,83.80
108,06/11/02 09:32:20,15.07,63.30
109,06/11/02 09:42:20,16.81,60.70
110,06/11/02 09:52:20,17.26,48.80
111,06/11/02 10:02:20,16.97,44.70
112,06/11/02 10:12:20,17.45,44.70
113,06/11/02 10:22:20,17.92,46.70
114,06/11/02 10:32:20,19.59,43.70
115,06/11/02 10:42:20,22.62,50.40
116,06/11/02 10:52:20,24.47,39.10
117,06/11/02 11:02:20,25.97,34.60
118,06/11/02 11:12:20,24.74,29.30
119,06/11/02 11:22:20,25.58,29.30
120,06/11/02 11:32:20,24.88,26.50
121,06/11/02 11:42:20,25.63,26.50
122,06/11/02 11:52:20,25.46,24.70
123,06/11/02 12:02:20,22.43,33.70
124,06/11/02 12:12:20,20.40,37.60
125,06/11/02 12:22:20,21.64,35.60
126,06/11/02 12:32:20,19.33,38.60
127,06/11/02 12:42:20,20.78,33.20
128,06/11/02 12:52:20,21.61,27.00
129,06/11/02 13:02:20,21.81,29.80
130,06/11/02 13:12:20,21.42,30.80
131,06/11/02 13:22:20,20.52,33.20
132,06/11/02 13:32:20,19.54,36.60
