Serial Number:      94759     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
06/01/02 12:26:41,21.3
06/01/02 12:56:41,21.7
06/01/02 13:26:41,23.2
06/01/02 13:56:41,24
06/01/02 14:26:41,25.2
06/01/02 14:56:41,25.6
06/01/02 15:26:41,25.6
06/01/02 15:56:41,25.9
06/01/02 16:26:41,26.3
06/01/02 16:56:41,26.3
06/01/02 17:26:41,25.9
06/01/02 17:56:41,25.6
06/01/02 18:26:41,24.4
06/01/02 18:56:41,20.5
06/01/02 19:26:41,17.4
06/01/02 19:56:41,15.2
06/01/02 20:26:41,13.7
06/01/02 20:56:41,12.5
06/01/02 21:26:41,11.3
06/01/02 21:56:41,10.2
06/01/02 22:26:41,9
06/01/02 22:56:41,8.2
06/01/02 23:26:41,7.8
06/01/02 23:56:41,7.4
06/02/02 00:26:41,7
06/02/02 00:56:41,6.6
06/02/02 01:26:41,6.6
06/02/02 01:56:41,6.2
06/02/02 02:26:41,6.2
06/02/02 02:56:41,5.8
06/02/02 03:26:41,5.8
06/02/02 03:56:41,5.8
06/02/02 04:26:41,6.2
06/02/02 04:56:41,6.2
06/02/02 05:26:41,6.2
06/02/02 05:56:41,6.2
06/02/02 06:26:41,5.8
06/02/02 06:56:41,5.8
06/02/02 07:26:41,5.3
06/02/02 07:56:41,5.3
06/02/02 08:26:41,5.3
06/02/02 08:56:41,5.3
06/02/02 09:26:41,5.8
06/02/02 09:56:41,6.6
06/02/02 10:26:41,7.4
06/02/02 10:56:41,7.8
06/02/02 11:26:41,8.2
06/02/02 11:56:41,9
06/02/02 12:26:41,11.7
06/02/02 12:56:41,13.7
06/02/02 13:26:41,14.4
06/02/02 13:56:41,15.2
06/02/02 14:26:41,16.7
06/02/02 14:56:41,17.8
06/02/02 15:26:41,17.8
06/02/02 15:56:41,18.2
06/02/02 16:26:41,18.6
06/02/02 16:56:41,18.2
06/02/02 17:26:41,17.8
06/02/02 17:56:41,18.2
06/02/02 18:26:41,18.6
06/02/02 18:56:41,19.4
06/02/02 19:26:41,19.8
06/02/02 19:56:41,19.8
06/02/02 20:26:41,19.4
06/02/02 20:56:41,17.1
06/02/02 21:26:41,14.1
06/02/02 21:56:41,10.9
06/02/02 22:26:41,9.8
06/02/02 22:56:41,9.4
06/02/02 23:26:41,8.6
06/02/02 23:56:41,7.8
06/03/02 00:26:41,7.4
06/03/02 00:56:41,7
06/03/02 01:26:41,6.2
06/03/02 01:56:41,5.8
06/03/02 02:26:41,5.3
06/03/02 02:56:41,4.9
06/03/02 03:26:41,4.5
06/03/02 03:56:41,4.5
06/03/02 04:26:41,4.9
06/03/02 04:56:41,5.3
06/03/02 05:26:41,5.8
06/03/02 05:56:41,6.2
06/03/02 06:26:41,6.2
06/03/02 06:56:41,6.6
06/03/02 07:26:41,7
06/03/02 07:56:41,7.8
06/03/02 08:26:41,7.8
06/03/02 08:56:41,8.2
06/03/02 09:26:41,8.6
06/03/02 09:56:41,9.4
06/03/02 10:26:41,10.2
06/03/02 10:56:41,11.7
06/03/02 11:26:41,12.5
06/03/02 11:56:41,13.3
06/03/02 12:26:41,14.1
06/03/02 12:56:41,15.2
06/03/02 13:26:41,16.3
06/03/02 13:56:41,17.1
06/03/02 14:26:41,17.4
06/03/02 14:56:41,18.2
06/03/02 15:26:41,18.6
06/03/02 15:56:41,19
06/03/02 16:26:41,19
06/03/02 16:56:41,18.6
06/03/02 17:26:41,17.4
06/03/02 17:56:41,16.7
06/03/02 18:26:41,16.7
06/03/02 18:56:41,16.3
06/03/02 19:26:41,8.2
06/03/02 19:56:41,5.8
06/03/02 20:26:41,5.3
06/03/02 20:56:41,4.9
06/03/02 21:26:41,4.9
06/03/02 21:56:41,4.5
06/03/02 22:26:41,4.5
06/03/02 22:56:41,4.5
06/03/02 23:26:41,4.5
06/03/02 23:56:41,4.5
06/04/02 00:26:41,4.1
06/04/02 00:56:41,4.1
06/04/02 01:26:41,4.1
06/04/02 01:56:41,3.7
06/04/02 02:26:41,3.7
06/04/02 02:56:41,3.7
06/04/02 03:26:41,3.7
06/04/02 03:56:41,3.7
06/04/02 04:26:41,3.7
06/04/02 04:56:41,3.7
06/04/02 05:26:41,3.7
06/04/02 05:56:41,3.7
06/04/02 06:26:41,3.7
06/04/02 06:56:41,3.7
06/04/02 07:26:41,3.7
06/04/02 07:56:41,3.7
06/04/02 08:26:41,3.7
06/04/02 08:56:41,3.7
06/04/02 09:26:41,3.7
06/04/02 09:56:41,4.1
06/04/02 10:26:41,4.5
06/04/02 10:56:41,4.5
06/04/02 11:26:41,4.9
06/04/02 11:56:41,4.5
06/04/02 12:26:41,4.5
06/04/02 12:56:41,4.5
06/04/02 13:26:41,4.5
06/04/02 13:56:41,4.5
06/04/02 14:26:41,4.9
06/04/02 14:56:41,5.3
06/04/02 15:26:41,5.3
06/04/02 15:56:41,5.3
06/04/02 16:26:41,6.2
06/04/02 16:56:41,5.8
06/04/02 17:26:41,6.2
06/04/02 17:56:41,5.8
06/04/02 18:26:41,5.8
06/04/02 18:56:41,5.3
06/04/02 19:26:41,4.9
06/04/02 19:56:41,4.9
06/04/02 20:26:41,4.9
06/04/02 20:56:41,4.5
06/04/02 21:26:41,4.5
06/04/02 21:56:41,4.1
06/04/02 22:26:41,4.1
06/04/02 22:56:41,4.1
06/04/02 23:26:41,4.1
06/04/02 23:56:41,4.1
06/05/02 00:26:41,4.1
06/05/02 00:56:41,4.1
06/05/02 01:26:41,4.1
06/05/02 01:56:41,3.7
06/05/02 02:26:41,3.3
06/05/02 02:56:41,3.7
06/05/02 03:26:41,3.7
06/05/02 03:56:41,3.7
06/05/02 04:26:41,3.3
06/05/02 04:56:41,3.7
06/05/02 05:26:41,3.3
06/05/02 05:56:41,3.3
06/05/02 06:26:41,3.7
06/05/02 06:56:41,3.7
06/05/02 07:26:41,3.7
06/05/02 07:56:41,4.1
06/05/02 08:26:41,4.1
06/05/02 08:56:41,4.5
06/05/02 09:26:41,5.8
06/05/02 09:56:41,6.6
06/05/02 10:26:41,7
06/05/02 10:56:41,8.6
06/05/02 11:26:41,7
06/05/02 11:56:41,7
06/05/02 12:26:41,7.8
06/05/02 12:56:41,8.6
06/05/02 13:26:41,6.6
06/05/02 13:56:41,7
06/05/02 14:26:41,7.4
06/05/02 14:56:41,7.4
06/05/02 15:26:41,7.4
06/05/02 15:56:41,7.8
06/05/02 16:26:41,8.2
06/05/02 16:56:41,7.4
06/05/02 17:26:41,7.8
06/05/02 17:56:41,7.8
06/05/02 18:26:41,7.4
06/05/02 18:56:41,7
06/05/02 19:26:41,6.6
06/05/02 19:56:41,5.8
06/05/02 20:26:41,5.3
06/05/02 20:56:41,4.9
