Serial Number:      94722     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
05/23/97 15:39:54,22.8
05/23/97 15:54:54,24.4
05/23/97 16:09:54,24
05/23/97 16:24:54,23.6
05/23/97 16:39:54,22.8
05/23/97 16:54:54,22.4
05/23/97 17:09:54,22.1
05/23/97 17:24:54,21.7
05/23/97 17:39:54,21.3
05/23/97 17:54:54,20.9
05/23/97 18:09:54,20.5
05/23/97 18:24:54,20.5
05/23/97 18:39:54,20.2
05/23/97 18:54:54,19.8
05/23/97 19:09:54,19.8
05/23/97 19:24:54,19.8
05/23/97 19:39:54,19.4
05/23/97 19:54:54,19
05/23/97 20:09:54,17.4
05/23/97 20:24:54,15.9
05/23/97 20:39:54,14.4
05/23/97 20:54:54,12.9
05/23/97 21:09:54,11.7
05/23/97 21:24:54,10.9
05/23/97 21:39:54,10.2
05/23/97 21:54:54,9.8
05/23/97 22:09:54,9
05/23/97 22:24:54,8.6
05/23/97 22:39:54,8.2
05/23/97 22:54:54,7.8
05/23/97 23:09:54,7.8
05/23/97 23:24:54,7.4
05/23/97 23:39:54,7
05/23/97 23:54:54,6.6
05/24/97 00:09:54,6.6
05/24/97 00:24:54,6.2
05/24/97 00:39:54,5.8
05/24/97 00:54:54,5.3
05/24/97 01:09:54,5.3
05/24/97 01:24:54,5.3
05/24/97 01:39:54,5.3
05/24/97 01:54:54,5.3
05/24/97 02:09:54,5.3
05/24/97 02:24:54,4.9
05/24/97 02:39:54,4.9
05/24/97 02:54:54,4.9
05/24/97 03:09:54,4.5
05/24/97 03:24:54,4.5
05/24/97 03:39:54,4.1
05/24/97 03:54:54,4.1
05/24/97 04:09:54,4.1
05/24/97 04:24:54,3.7
05/24/97 04:39:54,3.7
05/24/97 04:54:54,3.7
05/24/97 05:09:54,3.3
05/24/97 05:24:54,3.3
05/24/97 05:39:54,3.3
05/24/97 05:54:54,3.3
05/24/97 06:09:54,3.3
05/24/97 06:24:54,3.3
05/24/97 06:39:54,3.3
05/24/97 06:54:54,3.3
05/24/97 07:09:54,3.3
05/24/97 07:24:54,3.3
05/24/97 07:39:54,3.3
05/24/97 07:54:54,3.7
