Serial Number:      94741     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
06/01/02 12:23:16,23.6
06/01/02 12:53:16,21.7
06/01/02 13:23:16,21.7
06/01/02 13:53:16,25.6
06/01/02 14:23:16,26.3
06/01/02 14:53:16,25.9
06/01/02 15:23:16,26.3
06/01/02 15:53:16,26.7
06/01/02 16:23:16,26.7
06/01/02 16:53:16,26.3
06/01/02 17:23:16,26.3
06/01/02 17:53:16,26.3
06/01/02 18:23:16,25.2
06/01/02 18:53:16,21.7
06/01/02 19:23:16,18.2
06/01/02 19:53:16,15.9
06/01/02 20:23:16,14.1
06/01/02 20:53:16,12.9
06/01/02 21:23:16,11.7
06/01/02 21:53:16,10.6
06/01/02 22:23:16,9.8
06/01/02 22:53:16,9
06/01/02 23:23:16,8.6
06/01/02 23:53:16,7.8
06/02/02 00:23:16,7.4
06/02/02 00:53:16,7
06/02/02 01:23:16,6.6
06/02/02 01:53:16,6.2
06/02/02 02:23:16,6.2
06/02/02 02:53:16,6.2
06/02/02 03:23:16,5.8
06/02/02 03:53:16,5.8
06/02/02 04:23:16,6.2
06/02/02 04:53:16,6.2
06/02/02 05:23:16,5.8
06/02/02 05:53:16,5.8
06/02/02 06:23:16,5.8
06/02/02 06:53:16,5.3
06/02/02 07:23:16,4.9
06/02/02 07:53:16,4.9
06/02/02 08:23:16,4.9
06/02/02 08:53:16,5.3
06/02/02 09:23:16,5.8
06/02/02 09:53:16,6.2
06/02/02 10:23:16,6.6
06/02/02 10:53:16,7
06/02/02 11:23:16,7.8
06/02/02 11:53:16,8.2
06/02/02 12:23:16,14.1
06/02/02 12:53:16,25.6
06/02/02 13:23:16,19
06/02/02 13:53:16,15.9
06/02/02 14:23:16,16.3
06/02/02 14:53:16,16.7
06/02/02 15:23:16,16.7
06/02/02 15:53:16,17.1
06/02/02 16:23:16,17.8
06/02/02 16:53:16,18.6
06/02/02 17:23:16,17.8
06/02/02 17:53:16,16.7
06/02/02 18:23:16,15.6
06/02/02 18:53:16,14.1
06/02/02 19:23:16,10.9
06/02/02 19:53:16,10.2
06/02/02 20:23:16,9.4
06/02/02 20:53:16,9.4
06/02/02 21:23:16,8.6
06/02/02 21:53:16,8.2
06/02/02 22:23:16,7.8
06/02/02 22:53:16,7
06/02/02 23:23:16,6.6
06/02/02 23:53:16,6.2
06/03/02 00:23:16,5.8
06/03/02 00:53:16,5.3
06/03/02 01:23:16,5.3
06/03/02 01:53:16,4.9
06/03/02 02:23:16,4.9
06/03/02 02:53:16,4.5
06/03/02 03:23:16,3.3
