"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20684635, SEN S/N: 20684635)","RH, % (LGR S/N: 20684635, SEN S/N: 20684635)","Coupler Detached (LGR S/N: 20684635)","Coupler Attached (LGR S/N: 20684635)","Host Connected (LGR S/N: 20684635)","Stopped (LGR S/N: 20684635)","End Of File (LGR S/N: 20684635)"
1,06/14/20 08:00:00,20.198,56.572,Logged,,,,
2,06/14/20 08:30:00,19.865,57.043,,,,,
3,06/14/20 09:00:00,19.698,57.324,,,,,
4,06/14/20 09:30:00,19.579,57.887,,,,,
5,06/14/20 10:00:00,19.508,58.242,,,,,
6,06/14/20 10:30:00,19.508,58.547,,,,,
7,06/14/20 11:00:00,19.508,58.669,,,,,
8,06/14/20 11:30:00,19.555,58.585,,,,,
9,06/14/20 12:00:00,19.603,58.501,,,,,
10,06/14/20 12:30:00,19.674,58.451,,,,,
11,06/14/20 13:00:00,19.770,58.801,,,,,
12,06/14/20 13:30:00,19.912,58.975,,,,,
13,06/14/20 14:00:00,20.055,58.876,,,,,
14,06/14/20 14:30:00,20.198,58.746,,,,,
15,06/14/20 15:00:00,20.341,58.524,,,,,
16,06/14/20 15:30:00,20.484,58.362,,,,,
17,06/14/20 16:00:00,20.627,58.109,,,,,
18,06/14/20 16:30:00,20.793,58.991,,,,,
19,06/14/20 17:00:00,20.936,58.983,,,,,
20,06/14/20 17:30:00,21.079,59.555,,,,,
21,06/14/20 18:00:00,21.246,58.266,,,,,
22,06/14/20 18:30:00,21.342,55.972,,,,,
23,06/14/20 19:00:00,21.437,54.561,,,,,
24,06/14/20 19:30:00,21.509,53.170,,,,,
25,06/14/20 20:00:00,21.557,53.083,,,,,
26,06/14/20 20:30:00,21.557,52.927,,,,,
27,06/14/20 21:00:00,21.604,53.433,,,,,
28,06/14/20 21:30:00,21.628,53.343,,,,,
29,06/14/20 22:00:00,21.652,53.034,,,,,
30,06/14/20 22:30:00,21.700,53.665,,,,,
31,06/14/20 23:00:00,21.724,54.011,,,,,
32,06/14/20 23:30:00,21.748,54.232,,,,,
33,06/15/20 00:00:00,21.748,54.201,,,,,
34,06/15/20 00:30:00,21.748,54.108,,,,,
35,06/15/20 01:00:00,21.700,54.412,,,,,
36,06/15/20 01:30:00,21.700,54.940,,,,,
37,06/15/20 02:00:00,21.652,55.336,,,,,
38,06/15/20 02:30:00,21.628,55.612,,,,,
39,06/15/20 03:00:00,21.604,55.825,,,,,
40,06/15/20 03:30:00,21.557,55.973,,,,,
41,06/15/20 04:00:00,21.509,56.089,,,,,
42,06/15/20 04:30:00,21.437,56.202,,,,,
43,06/15/20 05:00:00,21.366,56.222,,,,,
44,06/15/20 05:30:00,21.318,56.184,,,,,
45,06/15/20 06:00:00,21.223,56.355,,,,,
46,06/15/20 06:30:00,21.032,57.128,,,,,
47,06/15/20 07:00:00,19.436,58.870,,,,,
48,06/15/20 07:30:00,20.079,54.581,,,,,
49,06/15/20 08:00:00,22.250,50.826,,,,,
50,06/15/20 08:30:00,20.365,52.697,,,,,
51,06/15/20 09:00:00,19.746,56.872,,,,,
52,06/15/20 09:30:00,19.341,59.706,,,,,
53,06/15/20 10:00:00,18.961,61.908,,,,,
54,06/15/20 10:30:00,18.699,63.094,,,,,
55,06/15/20 11:00:00,18.414,64.120,,,,,
56,06/15/20 11:30:00,18.247,64.745,,,,,
57,06/15/20 12:00:00,18.200,65.980,,,,,
58,06/15/20 12:30:00,18.200,66.010,,,,,
59,06/15/20 13:00:00,18.224,65.777,,,,,
60,06/15/20 13:30:00,18.176,66.772,,,,,
61,06/15/20 14:00:00,18.081,65.871,,,,,
62,06/15/20 14:30:00,17.843,67.976,,,,,
63,06/15/20 15:00:00,17.701,69.002,,,,,
