"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20699056, SEN S/N: 20699056)","RH, % (LGR S/N: 20699056, SEN S/N: 20699056)","Coupler Detached (LGR S/N: 20699056)","Coupler Attached (LGR S/N: 20699056)","Host Connected (LGR S/N: 20699056)","Stopped (LGR S/N: 20699056)","End Of File (LGR S/N: 20699056)"
1,06/09/20 12:52:29,21.795,55.295,,,,,
2,06/09/20 12:52:35,,,Logged,,,,
3,06/09/20 13:22:29,21.318,53.642,,,,,
4,06/09/20 13:52:29,20.841,54.319,,,,,
5,06/09/20 14:22:29,20.579,54.839,,,,,
6,06/09/20 14:52:29,20.388,55.183,,,,,
7,06/09/20 15:22:29,20.293,55.385,,,,,
8,06/09/20 15:52:29,20.222,55.498,,,,,
9,06/09/20 16:22:29,20.222,55.652,,,,,
10,06/09/20 16:52:29,20.222,55.806,,,,,
11,06/09/20 17:22:29,20.222,55.898,,,,,
12,06/09/20 17:52:29,20.246,55.963,,,,,
13,06/09/20 18:22:29,20.293,56.094,,,,,
14,06/09/20 18:52:29,20.365,56.135,,,,,
15,06/09/20 19:22:29,20.388,56.231,,,,,
16,06/09/20 19:52:29,20.365,56.351,,,,,
17,06/09/20 20:22:29,20.341,56.470,,,,,
18,06/09/20 20:52:29,20.293,56.586,,,,,
19,06/09/20 21:22:29,20.269,56.675,,,,,
20,06/09/20 21:52:29,20.269,56.767,,,,,
21,06/09/20 22:22:29,20.269,56.859,,,,,
22,06/09/20 22:52:29,20.269,56.920,,,,,
23,06/09/20 23:22:29,20.269,56.951,,,,,
24,06/09/20 23:52:29,20.269,57.012,,,,,
25,06/10/20 00:22:29,20.269,57.043,,,,,
26,06/10/20 00:52:29,20.269,57.074,,,,,
27,06/10/20 01:22:29,20.269,57.104,,,,,
28,06/10/20 01:52:29,20.269,57.135,,,,,
29,06/10/20 02:22:29,20.269,57.135,,,,,
30,06/10/20 02:52:29,20.246,57.162,,,,,
31,06/10/20 03:22:29,20.222,57.189,,,,,
32,06/10/20 03:52:29,20.222,57.251,,,,,
33,06/10/20 04:22:29,20.198,57.278,,,,,
34,06/10/20 04:52:29,20.198,57.308,,,,,
35,06/10/20 05:22:29,20.174,57.366,,,,,
36,06/10/20 05:52:29,20.150,57.454,,,,,
37,06/10/20 06:22:29,20.150,57.577,,,,,
38,06/10/20 06:52:29,20.174,57.887,,,,,
39,06/10/20 07:22:29,20.222,58.138,,,,,
40,06/10/20 07:52:29,20.222,58.230,,,,,
41,06/10/20 08:22:29,20.246,58.326,,,,,
42,06/10/20 08:52:29,20.246,58.448,,,,,
43,06/10/20 09:22:29,20.293,58.608,,,,,
44,06/10/20 09:52:29,20.317,58.795,,,,,
45,06/10/20 10:22:29,20.365,58.924,,,,,
46,06/10/20 10:52:29,20.412,59.054,,,,,
47,06/10/20 11:22:29,20.484,59.156,,,,,
48,06/10/20 11:52:29,20.579,59.232,,,,,
49,06/10/20 12:22:29,20.698,59.342,,,,,
50,06/10/20 12:52:29,20.841,59.456,,,,,
51,06/10/20 13:22:29,21.008,59.574,,,,,
52,06/10/20 13:52:29,21.175,59.600,,,,,
53,06/10/20 14:22:29,21.366,59.661,,,,,
54,06/10/20 14:52:29,21.557,59.477,,,,,
55,06/10/20 15:22:29,21.748,59.232,,,,,
56,06/10/20 15:52:29,21.963,59.174,,,,,
57,06/10/20 16:22:29,22.226,59.123,,,,,
58,06/10/20 16:52:29,22.465,58.761,,,,,
59,06/10/20 17:22:29,22.681,58.210,,,,,
