"Plot Title: BSTCRK"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20684633, SEN S/N: 20684633, LBL: Temp)","RH, % (LGR S/N: 20684633, SEN S/N: 20684633, LBL: RH)","Coupler Detached (LGR S/N: 20684633)","Coupler Attached (LGR S/N: 20684633)","Host Connected (LGR S/N: 20684633)","Stopped (LGR S/N: 20684633)","End Of File (LGR S/N: 20684633)"
1,07/07/22 12:00:00,19.651,63.703,Logged,,,,
2,07/07/22 12:30:00,20.007,63.193,,,,,
3,07/07/22 13:00:00,17.915,66.196,,,,,
4,07/07/22 13:30:00,18.390,67.252,,,,,
5,07/07/22 14:00:00,19.318,61.606,,,,,
6,07/07/22 14:30:00,19.555,68.286,,,,,
7,07/07/22 15:00:00,19.436,76.205,,,,,
8,07/07/22 15:30:00,19.484,69.945,,,,,
9,07/07/22 16:00:00,19.246,70.397,,,,,
10,07/07/22 16:30:00,20.317,71.182,,,,,
11,07/07/22 17:00:00,22.753,54.345,,,,,
12,07/07/22 17:30:00,22.705,53.182,,,,,
13,07/07/22 18:00:00,22.274,53.652,,,,,
14,07/07/22 18:30:00,22.034,53.619,,,,,
15,07/07/22 19:00:00,21.437,54.063,,,,,
16,07/07/22 19:30:00,20.484,54.764,,,,,
17,07/07/22 20:00:00,19.460,56.154,,,,,
18,07/07/22 20:30:00,18.675,57.138,,,,,
19,07/07/22 21:00:00,17.677,57.959,,,,,
20,07/07/22 21:30:00,16.558,63.921,,,,,
21,07/07/22 22:00:00,17.296,62.680,,,,,
22,07/07/22 22:30:00,19.080,59.513,,,,,
23,07/07/22 23:00:00,18.366,60.517,,,,,
24,07/07/22 23:30:00,17.368,61.407,,,,,
25,07/08/22 00:00:00,16.320,62.546,,,,,
26,07/08/22 00:30:00,15.390,63.308,,,,,
27,07/08/22 01:00:00,14.505,63.923,,,,,
28,07/08/22 01:30:00,13.738,64.582,,,,,
29,07/08/22 02:00:00,13.185,65.215,,,,,
30,07/08/22 02:30:00,12.823,65.268,,,,,
31,07/08/22 03:00:00,12.461,65.175,,,,,
32,07/08/22 03:30:00,12.050,65.131,,,,,
33,07/08/22 04:00:00,11.710,65.303,,,,,
34,07/08/22 04:30:00,11.394,65.073,,,,,
35,07/08/22 05:00:00,11.029,64.922,,,,,
36,07/08/22 05:30:00,10.638,65.142,,,,,
37,07/08/22 06:00:00,10.247,65.361,,,,,
38,07/08/22 06:30:00,10.026,65.926,,,,,
39,07/08/22 07:00:00,10.051,66.934,,,,,
40,07/08/22 07:30:00,10.418,70.614,,,,,
41,07/08/22 08:00:00,10.883,70.223,,,,,
42,07/08/22 08:30:00,11.248,72.636,,,,,
43,07/08/22 09:00:00,12.558,79.134,,,,,
44,07/08/22 09:30:00,15.414,75.669,,,,,
45,07/08/22 10:00:00,17.296,68.461,,,,,
46,07/08/22 10:30:00,17.368,74.533,,,,,
47,07/08/22 11:00:00,23.472,55.229,,,,,
48,07/08/22 11:30:00,17.629,65.821,,,,,
49,07/08/22 12:00:00,16.558,70.991,,,,,
50,07/08/22 12:30:00,17.034,73.181,,,,,
51,07/08/22 13:00:00,18.033,70.257,,,,,
52,07/08/22 13:30:00,19.270,68.968,,,,,
53,07/08/22 14:00:00,18.866,60.598,,,,,
54,07/08/22 14:30:00,19.294,61.963,,,,,
55,07/08/22 15:00:00,19.032,66.452,,,,,
56,07/08/22 15:30:00,19.984,61.836,,,,,
57,07/08/22 16:00:00,20.198,59.142,,,,,
58,07/08/22 16:30:00,19.746,61.766,,,,,
59,07/08/22 17:00:00,18.509,64.076,,,,,
60,07/08/22 17:30:00,17.891,65.778,,,,,
61,07/08/22 18:00:00,18.319,64.133,,,,,
62,07/08/22 18:30:00,17.843,63.606,,,,,
63,07/08/22 19:00:00,17.177,65.712,,,,,
64,07/08/22 19:30:00,16.225,70.033,,,,,
65,07/08/22 20:00:00,15.223,72.569,,,,,
