"Plot Title: UA-002-64_TEST12"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10951902, SEN S/N: 10951902, LBL: Temp)","Coupler Attached (LGR S/N: 10951902)","Host Connected (LGR S/N: 10951902)","Stopped (LGR S/N: 10951902)","End Of File (LGR S/N: 10951902)"
1,07/07/22 12:00:00,19.472,,,,
2,07/07/22 12:30:00,21.091,,,,
3,07/07/22 13:00:00,20.710,,,,
4,07/07/22 13:30:00,20.615,,,,
5,07/07/22 14:00:00,20.138,,,,
6,07/07/22 14:30:00,18.236,,,,
7,07/07/22 15:00:00,19.662,,,,
8,07/07/22 15:30:00,20.329,,,,
9,07/07/22 16:00:00,22.812,,,,
10,07/07/22 16:30:00,25.610,,,,
11,07/07/22 17:00:00,23.581,,,,
12,07/07/22 17:30:00,20.996,,,,
13,07/07/22 18:00:00,24.545,,,,
14,07/07/22 18:30:00,24.835,,,,
15,07/07/22 19:00:00,23.773,,,,
16,07/07/22 19:30:00,21.473,,,,
17,07/07/22 20:00:00,19.758,,,,
18,07/07/22 20:30:00,19.567,,,,
19,07/07/22 21:00:00,18.616,,,,
20,07/07/22 21:30:00,17.950,,,,
21,07/07/22 22:00:00,17.189,,,,
22,07/07/22 22:30:00,16.523,,,,
23,07/07/22 23:00:00,15.855,,,,
24,07/07/22 23:30:00,15.187,,,,
25,07/08/22 00:00:00,14.996,,,,
26,07/08/22 00:30:00,15.091,,,,
27,07/08/22 01:00:00,15.187,,,,
28,07/08/22 01:30:00,15.187,,,,
29,07/08/22 02:00:00,15.091,,,,
30,07/08/22 02:30:00,14.996,,,,
31,07/08/22 03:00:00,14.804,,,,
32,07/08/22 03:30:00,14.517,,,,
33,07/08/22 04:00:00,14.230,,,,
34,07/08/22 04:30:00,13.942,,,,
35,07/08/22 05:00:00,13.654,,,,
36,07/08/22 05:30:00,13.365,,,,
37,07/08/22 06:00:00,12.980,,,,
38,07/08/22 06:30:00,12.594,,,,
39,07/08/22 07:00:00,12.304,,,,
40,07/08/22 07:30:00,12.110,,,,
41,07/08/22 08:00:00,11.916,,,,
42,07/08/22 08:30:00,11.916,,,,
43,07/08/22 09:00:00,12.207,,,,
44,07/08/22 09:30:00,13.173,,,,
45,07/08/22 10:00:00,18.616,,,,
46,07/08/22 10:30:00,18.996,,,,
47,07/08/22 11:00:00,20.234,,,,
48,07/08/22 11:30:00,20.996,,,,
49,07/08/22 12:00:00,23.196,,,,
50,07/08/22 12:30:00,27.468,,,,
51,07/08/22 13:00:00,32.394,,,,
52,07/08/22 13:30:00,30.457,,,,
53,07/08/22 14:00:00,29.953,,,,
54,07/08/22 14:30:00,33.743,,,,
55,07/08/22 15:00:00,27.665,,,,
56,07/08/22 15:30:00,26.879,,,,
57,07/08/22 16:00:00,35.115,,,,
58,07/08/22 16:30:00,35.649,,,,
59,07/08/22 17:00:00,34.585,,,,
60,07/08/22 17:30:00,28.456,,,,
61,07/08/22 18:00:00,22.238,,,,
62,07/08/22 18:30:00,22.621,,,,
63,07/08/22 19:00:00,22.046,,,,
64,07/08/22 19:30:00,19.662,,,,
65,07/08/22 20:00:00,18.901,,,,
66,07/08/22 20:30:00,18.996,,,,
67,07/08/22 21:00:00,18.616,,,,
68,07/08/22 21:30:00,17.855,,,,
69,07/08/22 22:00:00,16.999,,,,
70,07/08/22 22:30:00,16.046,,,,
71,07/08/22 23:00:00,15.664,,,,
72,07/08/22 23:30:00,15.091,,,,
73,07/09/22 00:00:00,14.325,,,,
74,07/09/22 00:30:00,13.654,,,,
75,07/09/22 01:00:00,13.076,,,,
76,07/09/22 01:30:00,12.594,,,,
77,07/09/22 02:00:00,12.207,,,,
78,07/09/22 02:30:00,11.722,,,,
79,07/09/22 03:00:00,11.236,,,,
80,07/09/22 03:30:00,10.748,,,,
81,07/09/22 04:00:00,10.259,,,,
82,07/09/22 04:30:00,9.768,,,,
83,07/09/22 05:00:00,9.373,,,,
84,07/09/22 05:30:00,8.978,,,,
85,07/09/22 06:00:00,8.680,,,,
86,07/09/22 06:30:00,8.581,,,,
87,07/09/22 07:00:00,8.481,,,,
88,07/09/22 07:30:00,8.680,,,,
89,07/09/22 08:00:00,16.141,,,,
90,07/09/22 08:30:00,19.282,,,,
91,07/09/22 09:00:00,19.187,,,,
92,07/09/22 09:30:00,18.996,,,,
93,07/09/22 10:00:00,19.092,,,,
94,07/09/22 10:30:00,18.996,,,,
95,07/09/22 11:00:00,18.426,,,,
96,07/09/22 11:30:00,20.043,,,,
97,07/09/22 12:00:00,22.621,,,,
98,07/09/22 12:30:00,23.100,,,,
99,07/09/22 13:00:00,25.416,,,,
100,07/09/22 13:30:00,26.879,,,,
101,07/09/22 14:00:00,29.252,,,,
102,07/09/22 14:30:00,31.472,,,,
103,07/09/22 15:00:00,31.472,,,,
104,07/09/22 15:30:00,29.552,,,,
105,07/09/22 16:00:00,27.272,,,,
106,07/09/22 16:30:00,24.545,,,,
107,07/09/22 17:00:00,21.855,,,,
108,07/09/22 17:30:00,20.615,,,,
109,07/09/22 18:00:00,18.616,,,,
110,07/09/22 18:30:00,17.284,,,,
111,07/09/22 19:00:00,16.237,,,,
112,07/09/22 19:30:00,15.569,,,,
113,07/09/22 20:00:00,15.187,,,,
114,07/09/22 20:30:00,14.325,,,,
115,07/09/22 21:00:00,13.461,,,,
116,07/09/22 21:30:00,12.980,,,,
117,07/09/22 22:00:00,12.401,,,,
118,07/09/22 22:30:00,11.819,,,,
119,07/09/22 23:00:00,11.139,,,,
120,07/09/22 23:30:00,10.553,,,,
121,07/10/22 00:00:00,10.259,,,,
122,07/10/22 00:30:00,9.965,,,,
123,07/10/22 01:00:00,9.571,,,,
124,07/10/22 01:30:00,9.275,,,,
125,07/10/22 02:00:00,8.779,,,,
126,07/10/22 02:30:00,8.581,,,,
127,07/10/22 03:00:00,8.382,,,,
128,07/10/22 03:30:00,8.182,,,,
129,07/10/22 04:00:00,7.782,,,,
130,07/10/22 04:30:00,7.582,,,,
131,07/10/22 05:00:00,7.381,,,,
132,07/10/22 05:30:00,7.280,,,,
133,07/10/22 06:00:00,7.280,,,,
134,07/10/22 06:30:00,7.782,,,,
135,07/10/22 07:00:00,8.382,,,,
136,07/10/22 07:30:00,10.259,,,,
137,07/10/22 08:00:00,12.207,,,,
138,07/10/22 08:30:00,14.038,,,,
139,07/10/22 09:00:00,15.760,,,,
140,07/10/22 09:30:00,17.570,,,,
141,07/10/22 10:00:00,18.331,,,,
142,07/10/22 10:30:00,18.616,,,,
143,07/10/22 11:00:00,20.519,,,,
144,07/10/22 11:30:00,21.091,,,,
145,07/10/22 12:00:00,22.238,,,,
146,07/10/22 12:30:00,22.717,,,,
147,07/10/22 13:00:00,23.677,,,,
148,07/10/22 13:30:00,25.610,,,,
149,07/10/22 14:00:00,28.853,,,,
150,07/10/22 14:30:00,30.558,,,,
151,07/10/22 15:00:00,31.574,,,,
152,07/10/22 15:30:00,31.268,,,,
153,07/10/22 16:00:00,28.853,,,,
154,07/10/22 16:30:00,25.319,,,,
155,07/10/22 17:00:00,23.869,,,,
156,07/10/22 17:30:00,22.238,,,,
157,07/10/22 18:00:00,20.234,,,,
158,07/10/22 18:30:00,18.616,,,,
159,07/10/22 19:00:00,17.475,,,,
160,07/10/22 19:30:00,16.523,,,,
161,07/10/22 20:00:00,15.569,,,,
162,07/10/22 20:30:00,14.804,,,,
163,07/10/22 21:00:00,13.942,,,,
164,07/10/22 21:30:00,13.365,,,,
165,07/10/22 22:00:00,12.980,,,,
166,07/10/22 22:30:00,12.594,,,,
167,07/10/22 23:00:00,12.401,,,,
168,07/10/22 23:30:00,12.304,,,,
169,07/11/22 00:00:00,12.207,,,,
170,07/11/22 00:30:00,12.207,,,,
