"Plot Title: FORCRK2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20684634, SEN S/N: 20684634)","RH, % (LGR S/N: 20684634, SEN S/N: 20684634)","Coupler Detached (LGR S/N: 20684634)","Coupler Attached (LGR S/N: 20684634)","Host Connected (LGR S/N: 20684634)","Stopped (LGR S/N: 20684634)","End Of File (LGR S/N: 20684634)"
1,07/27/21 18:00:00,24.726,60.160,Logged,,,,
2,07/27/21 19:00:00,24.267,60.886,,,,,
3,07/27/21 20:00:00,24.050,61.494,,,,,
4,07/27/21 21:00:00,23.905,61.777,,,,,
5,07/27/21 22:00:00,23.713,61.776,,,,,
6,07/27/21 23:00:00,23.497,61.619,,,,,
7,07/28/21 00:00:00,23.256,61.397,,,,,
8,07/28/21 01:00:00,23.016,61.145,,,,,
9,07/28/21 02:00:00,22.753,60.889,,,,,
10,07/28/21 03:00:00,22.465,60.629,,,,,
11,07/28/21 04:00:00,22.202,60.526,,,,,
12,07/28/21 05:00:00,21.915,60.267,,,,,
13,07/28/21 06:00:00,21.628,59.916,,,,,
14,07/28/21 07:00:00,21.342,59.688,,,,,
15,07/28/21 08:00:00,21.103,60.107,,,,,
16,07/28/21 09:00:00,20.913,63.616,,,,,
17,07/28/21 10:00:00,21.079,58.271,,,,,
18,07/28/21 11:00:00,21.127,42.848,,,,,
19,07/28/21 12:00:00,21.366,48.751,,,,,
20,07/28/21 13:00:00,23.424,44.791,,,,,
21,07/28/21 14:00:00,27.210,36.843,,,,,
22,07/28/21 15:00:00,28.122,44.501,,,,,
23,07/28/21 16:00:00,31.103,47.278,,,,,
24,07/28/21 17:00:00,32.846,38.882,,,,,
25,07/28/21 18:00:00,30.041,31.607,,,,,
26,07/28/21 19:00:00,26.231,40.287,,,,,
27,07/28/21 20:00:00,22.441,42.934,,,,,
28,07/28/21 21:00:00,17.272,57.046,,,,,
29,07/28/21 22:00:00,15.963,60.160,,,,,
30,07/28/21 23:00:00,14.984,63.357,,,,,
31,07/29/21 00:00:00,14.888,61.416,,,,,
32,07/29/21 01:00:00,13.738,65.866,,,,,
33,07/29/21 02:00:00,11.321,79.797,,,,,
34,07/29/21 03:00:00,10.761,80.544,,,,,
35,07/29/21 04:00:00,9.756,78.693,,,,,
36,07/29/21 05:00:00,8.866,72.750,,,,,
37,07/29/21 06:00:00,10.100,72.996,,,,,
38,07/29/21 07:00:00,12.896,67.338,,,,,
39,07/29/21 08:00:00,13.666,79.483,,,,,
40,07/29/21 09:00:00,15.223,74.670,,,,,
41,07/29/21 10:00:00,18.105,53.587,,,,,
42,07/29/21 11:00:00,20.484,47.783,,,,,
43,07/29/21 12:00:00,21.772,41.175,,,,,
44,07/29/21 13:00:00,23.857,39.869,,,,,
45,07/29/21 14:00:00,25.331,37.553,,,,,
46,07/29/21 15:00:00,25.113,40.922,,,,,
47,07/29/21 16:00:00,25.089,42.944,,,,,
48,07/29/21 17:00:00,24.702,42.575,,,,,
49,07/29/21 18:00:00,24.267,41.842,,,,,
50,07/29/21 19:00:00,23.256,41.176,,,,,
51,07/29/21 20:00:00,21.413,43.878,,,,,
52,07/29/21 21:00:00,17.344,56.631,,,,,
53,07/29/21 22:00:00,14.074,67.552,,,,,
54,07/29/21 23:00:00,12.243,79.286,,,,,
55,07/30/21 00:00:00,11.807,77.982,,,,,
56,07/30/21 01:00:00,11.953,77.793,,,,,
57,07/30/21 02:00:00,12.122,78.435,,,,,
58,07/30/21 03:00:00,12.219,79.500,,,,,
59,07/30/21 04:00:00,12.098,80.895,,,,,
60,07/30/21 05:00:00,12.243,78.351,,,,,
61,07/30/21 06:00:00,17.344,52.769,,,,,
62,07/30/21 07:00:00,21.700,42.009,,,,,
63,07/30/21 08:00:00,24.388,36.067,,,,,
64,07/30/21 09:00:00,25.817,32.089,,,,,
65,07/30/21 10:00:00,27.259,32.519,,,,,
66,07/30/21 11:00:00,27.998,32.517,,,,,
67,07/30/21 12:00:00,28.518,28.886,,,,,
68,07/30/21 13:00:00,29.140,26.943,,,,,
69,07/30/21 14:00:00,29.464,28.275,,,,,
70,07/30/21 15:00:00,28.493,29.397,,,,,
71,07/30/21 16:00:00,26.378,33.316,,,,,
72,07/30/21 17:00:00,24.895,49.368,,,,,
73,07/30/21 18:00:00,23.593,54.340,,,,,
74,07/30/21 19:00:00,20.150,69.571,,,,,
75,07/30/21 20:00:00,20.579,61.691,,,,,
76,07/30/21 21:00:00,16.606,77.828,,,,,
77,07/30/21 22:00:00,15.629,84.140,,,,,
78,07/30/21 23:00:00,14.745,80.048,,,,,
79,07/31/21 00:00:00,17.463,51.176,,,,,
80,07/31/21 01:00:00,17.986,58.613,,,,,
81,07/31/21 02:00:00,21.103,38.761,,,,,
82,07/31/21 03:00:00,23.088,34.948,,,,,
83,07/31/21 04:00:00,22.705,37.748,,,,,
84,07/31/21 05:00:00,18.200,57.979,,,,,
85,07/31/21 06:00:00,21.366,44.162,,,,,
86,07/31/21 07:00:00,21.581,40.505,,,,,
87,07/31/21 08:00:00,21.437,45.739,,,,,
88,07/31/21 09:00:00,17.653,72.670,,,,,
89,07/31/21 10:00:00,22.992,38.402,,,,,
90,07/31/21 11:00:00,23.905,40.660,,,,,
91,07/31/21 12:00:00,18.699,69.595,,,,,
92,07/31/21 13:00:00,17.463,78.598,,,,,
93,07/31/21 14:00:00,19.817,61.778,,,,,
94,07/31/21 15:00:00,23.232,41.271,,,,,
95,07/31/21 16:00:00,23.665,43.722,,,,,
96,07/31/21 17:00:00,23.136,44.048,,,,,
97,07/31/21 18:00:00,19.080,68.347,,,,,
98,07/31/21 19:00:00,18.699,70.149,,,,,
99,07/31/21 20:00:00,16.320,78.189,,,,,
100,07/31/21 21:00:00,15.629,77.007,,,,,
101,07/31/21 22:00:00,15.127,75.441,,,,,
102,07/31/21 23:00:00,17.653,64.672,,,,,
103,08/01/21 00:00:00,14.649,81.212,,,,,
104,08/01/21 01:00:00,15.652,92.436,,,,,
105,08/01/21 02:00:00,18.010,62.739,,,,,
106,08/01/21 03:00:00,18.366,67.601,,,,,
107,08/01/21 04:00:00,20.222,52.241,,,,,
108,08/01/21 05:00:00,17.296,79.151,,,,,
109,08/01/21 06:00:00,14.457,91.976,,,,,
110,08/01/21 07:00:00,14.098,99.433,,,,,
111,08/01/21 08:00:00,15.963,98.422,,,,,
112,08/01/21 09:00:00,18.295,93.052,,,,,
113,08/01/21 10:00:00,19.413,87.416,,,,,
114,08/01/21 11:00:00,20.627,84.424,,,,,
115,08/01/21 12:00:00,22.489,74.919,,,,,
116,08/01/21 13:00:00,23.112,71.357,,,,,
117,08/01/21 14:00:00,22.896,66.327,,,,,
118,08/01/21 15:00:00,23.136,64.865,,,,,
119,08/01/21 16:00:00,22.417,67.587,,,,,
120,08/01/21 17:00:00,22.226,68.533,,,,,
121,08/01/21 18:00:00,21.413,70.686,,,,,
122,08/01/21 19:00:00,19.912,75.386,,,,,
123,08/01/21 20:00:00,18.224,80.189,,,,,
124,08/01/21 21:00:00,16.915,74.442,,,,,
125,08/01/21 22:00:00,17.938,58.151,,,,,
126,08/01/21 23:00:00,18.414,55.201,,,,,
127,08/02/21 00:00:00,18.081,56.529,,,,,
128,08/02/21 01:00:00,17.653,61.753,,,,,
129,08/02/21 02:00:00,17.320,62.743,,,,,
130,08/02/21 03:00:00,17.629,61.120,,,,,
131,08/02/21 04:00:00,17.843,60.102,,,,,
132,08/02/21 05:00:00,17.201,50.799,,,,,
133,08/02/21 06:00:00,17.177,53.054,,,,,
134,08/02/21 07:00:00,17.391,47.389,,,,,
135,08/02/21 08:00:00,19.413,52.782,,,,,
136,08/02/21 09:00:00,20.627,40.984,,,,,
137,08/02/21 10:00:00,20.246,35.861,,,,,
138,08/02/21 11:00:00,20.103,55.603,,,,,
139,08/02/21 12:00:00,21.318,47.413,,,,,
140,08/02/21 13:00:00,22.705,39.648,,,,,
141,08/02/21 14:00:00,22.776,38.445,,,,,
142,08/02/21 15:00:00,24.944,44.746,,,,,
143,08/02/21 16:00:00,24.532,55.226,,,,,
144,08/02/21 17:00:00,24.532,59.544,,,,,
145,08/02/21 18:00:00,23.857,64.141,,,,,
146,08/02/21 19:00:00,22.753,65.071,,,,,
147,08/02/21 20:00:00,20.174,75.495,,,,,
148,08/02/21 21:00:00,16.034,76.529,,,,,
149,08/02/21 22:00:00,18.105,65.816,,,,,
150,08/02/21 23:00:00,21.652,46.978,,,,,
151,08/03/21 00:00:00,22.489,42.939,,,,,
152,08/03/21 01:00:00,22.082,48.209,,,,,
153,08/03/21 02:00:00,21.748,48.864,,,,,
154,08/03/21 03:00:00,21.987,42.623,,,,,
155,08/03/21 04:00:00,20.913,43.434,,,,,
156,08/03/21 05:00:00,16.939,60.797,,,,,
157,08/03/21 06:00:00,13.954,73.398,,,,,
158,08/03/21 07:00:00,13.353,88.040,,,,,
159,08/03/21 08:00:00,14.840,97.862,,,,,
160,08/03/21 09:00:00,16.296,86.682,,,,,
161,08/03/21 10:00:00,18.842,78.748,,,,,
162,08/03/21 11:00:00,20.936,71.036,,,,,
163,08/03/21 12:00:00,22.226,70.838,,,,,
164,08/03/21 13:00:00,24.508,59.509,,,,,
165,08/03/21 14:00:00,24.098,66.717,,,,,
166,08/03/21 15:00:00,23.713,65.868,,,,,
167,08/03/21 16:00:00,22.202,67.578,,,,,
168,08/03/21 17:00:00,21.891,65.583,,,,,
169,08/03/21 18:00:00,20.936,66.818,,,,,
170,08/03/21 19:00:00,19.389,69.606,,,,,
171,08/03/21 20:00:00,17.701,73.483,,,,,
172,08/03/21 21:00:00,17.748,49.378,,,,,
173,08/03/21 22:00:00,17.748,46.333,,,,,
174,08/03/21 23:00:00,17.629,45.370,,,,,
175,08/04/21 00:00:00,15.557,73.603,,,,,
176,08/04/21 01:00:00,14.984,75.412,,,,,
177,08/04/21 02:00:00,13.040,61.702,,,,,
178,08/04/21 03:00:00,16.987,43.264,,,,,
179,08/04/21 04:00:00,16.939,44.717,,,,,
180,08/04/21 05:00:00,15.079,43.767,,,,,
181,08/04/21 06:00:00,16.249,38.961,,,,,
182,08/04/21 07:00:00,15.342,62.353,,,,,
183,08/04/21 08:00:00,14.649,83.345,,,,,
184,08/04/21 09:00:00,16.844,51.927,,,,,
185,08/04/21 10:00:00,20.246,50.525,,,,,
186,08/04/21 11:00:00,22.178,39.984,,,,,
187,08/04/21 12:00:00,23.328,40.173,,,,,
188,08/04/21 13:00:00,24.629,45.710,,,,,
189,08/04/21 14:00:00,24.992,38.179,,,,,
190,08/04/21 15:00:00,24.871,44.964,,,,,
191,08/04/21 16:00:00,24.629,46.643,,,,,
192,08/04/21 17:00:00,24.146,47.578,,,,,
