"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10951899, SEN S/N: 10951899)","Bad Battery (LGR S/N: 10951899)","Coupler Attached (LGR S/N: 10951899)","Host Connected (LGR S/N: 10951899)","Stopped (LGR S/N: 10951899)","End Of File (LGR S/N: 10951899)"
1,03/10/20 18:00:00,19.567,,,,,
2,03/10/20 19:00:00,19.662,,,,,
3,03/10/20 20:00:00,19.377,,,,,
4,03/10/20 21:00:00,19.092,,,,,
5,03/10/20 22:00:00,19.472,,,,,
6,03/10/20 23:00:00,19.662,,,,,
7,03/11/20 00:00:00,19.758,,,,,
8,03/11/20 01:00:00,19.758,,,,,
9,03/11/20 02:00:00,19.567,,,,,
10,03/11/20 03:00:00,19.377,,,,,
11,03/11/20 04:00:00,19.092,,,,,
12,03/11/20 05:00:00,18.806,,,,,
13,03/11/20 06:00:00,18.521,,,,,
14,03/11/20 07:00:00,18.236,,,,,
15,03/11/20 08:00:00,17.570,,,,,
16,03/11/20 09:00:00,18.331,,,,,
17,03/11/20 10:00:00,18.996,,,,,
18,03/11/20 11:00:00,19.377,,,,,
19,03/11/20 12:00:00,19.567,,,,,
20,03/11/20 13:00:00,19.377,,,,,
21,03/11/20 14:00:00,19.662,,,,,
22,03/11/20 15:00:00,19.662,,,,,
23,03/11/20 16:00:00,19.377,,,,,
24,03/11/20 17:00:00,19.092,,,,,
25,03/11/20 18:00:00,18.996,,,,,
26,03/11/20 19:00:00,18.711,,,,,
27,03/11/20 20:00:00,18.521,,,,,
28,03/11/20 21:00:00,18.236,,,,,
29,03/11/20 22:00:00,17.855,,,,,
30,03/11/20 23:00:00,17.570,,,,,
31,03/12/20 00:00:00,17.094,,,,,
32,03/12/20 01:00:00,16.713,,,,,
33,03/12/20 02:00:00,16.332,,,,,
34,03/12/20 03:00:00,15.951,,,,,
35,03/12/20 04:00:00,15.473,,,,,
36,03/12/20 05:00:00,15.091,,,,,
37,03/12/20 06:00:00,14.709,,,,,
38,03/12/20 07:00:00,14.517,,,,,
39,03/12/20 08:00:00,15.282,,,,,
40,03/12/20 09:00:00,16.903,,,,,
41,03/12/20 10:00:00,18.236,,,,,
42,03/12/20 11:00:00,18.996,,,,,
