"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685712, SEN S/N: 20685712)","End Of File (LGR S/N: 20685712)"
1,03/10/20 06:00:00 PM,20.138,
2,03/10/20 07:00:00 PM,19.472,
3,03/10/20 08:00:00 PM,18.806,
4,03/10/20 09:00:00 PM,18.236,
5,03/10/20 10:00:00 PM,17.665,
6,03/10/20 11:00:00 PM,17.189,
7,03/11/20 12:00:00 AM,16.713,
8,03/11/20 01:00:00 AM,16.237,
9,03/11/20 02:00:00 AM,15.760,
10,03/11/20 03:00:00 AM,15.378,
11,03/11/20 04:00:00 AM,14.900,
12,03/11/20 05:00:00 AM,14.613,
13,03/11/20 06:00:00 AM,14.230,
14,03/11/20 07:00:00 AM,14.038,
15,03/11/20 08:00:00 AM,15.187,
16,03/11/20 09:00:00 AM,17.570,
17,03/11/20 10:00:00 AM,18.426,
18,03/11/20 11:00:00 AM,18.806,
19,03/11/20 12:00:00 PM,19.187,
20,03/11/20 01:00:00 PM,19.377,
21,03/11/20 02:00:00 PM,19.377,
22,03/11/20 03:00:00 PM,19.472,
23,03/11/20 04:00:00 PM,19.187,
24,03/11/20 05:00:00 PM,18.996,
25,03/11/20 06:00:00 PM,18.901,
26,03/11/20 07:00:00 PM,18.806,
27,03/11/20 08:00:00 PM,18.616,
28,03/11/20 09:00:00 PM,18.331,
29,03/11/20 10:00:00 PM,18.045,
30,03/11/20 11:00:00 PM,17.665,
31,03/12/20 12:00:00 AM,17.284,
32,03/12/20 01:00:00 AM,16.903,
33,03/12/20 02:00:00 AM,16.523,
34,03/12/20 03:00:00 AM,16.141,
35,03/12/20 04:00:00 AM,15.760,
36,03/12/20 05:00:00 AM,15.282,
37,03/12/20 06:00:00 AM,14.900,
38,03/12/20 07:00:00 AM,14.517,
39,03/12/20 08:00:00 AM,14.709,
40,03/12/20 09:00:00 AM,15.760,
41,03/12/20 10:00:00 AM,17.284,
42,03/12/20 11:00:00 AM,18.236,
43,03/12/20 12:00:00 PM,18.711,
44,03/12/20 01:00:00 PM,19.187,
45,03/12/20 02:00:00 PM,19.472,
46,03/12/20 03:00:00 PM,19.662,
47,03/12/20 04:00:00 PM,19.472,
48,03/12/20 05:00:00 PM,19.377,
49,03/12/20 06:00:00 PM,19.282,
50,03/12/20 07:00:00 PM,19.092,
51,03/12/20 08:00:00 PM,18.806,
52,03/12/20 09:00:00 PM,18.521,
53,03/12/20 10:00:00 PM,18.140,
54,03/12/20 11:00:00 PM,17.760,
55,03/13/20 12:00:00 AM,17.379,
56,03/13/20 01:00:00 AM,16.999,
57,03/13/20 02:00:00 AM,16.618,
58,03/13/20 03:00:00 AM,16.237,
59,03/13/20 04:00:00 AM,15.855,
60,03/13/20 05:00:00 AM,15.473,
61,03/13/20 06:00:00 AM,15.187,
62,03/13/20 07:00:00 AM,14.804,
63,03/13/20 08:00:00 AM,14.900,
64,03/13/20 09:00:00 AM,15.760,
65,03/13/20 10:00:00 AM,16.999,
66,03/13/20 11:00:00 AM,17.950,
67,03/13/20 12:00:00 PM,18.521,
68,03/13/20 01:00:00 PM,18.901,
69,03/13/20 02:00:00 PM,19.187,
70,03/13/20 03:00:00 PM,19.282,
71,03/13/20 04:00:00 PM,19.377,
72,03/13/20 05:00:00 PM,19.472,
73,03/13/20 06:00:00 PM,19.472,
74,03/13/20 07:00:00 PM,19.377,
75,03/13/20 08:00:00 PM,19.092,
76,03/13/20 09:00:00 PM,18.616,
77,03/13/20 10:00:00 PM,18.140,
78,03/13/20 11:00:00 PM,17.665,
79,03/14/20 12:00:00 AM,17.284,
80,03/14/20 01:00:00 AM,16.808,
81,03/14/20 02:00:00 AM,16.427,
82,03/14/20 03:00:00 AM,16.046,
83,03/14/20 04:00:00 AM,15.760,
84,03/14/20 05:00:00 AM,15.473,
85,03/14/20 06:00:00 AM,15.091,
86,03/14/20 07:00:00 AM,14.804,
87,03/14/20 08:00:00 AM,14.613,
88,03/14/20 09:00:00 AM,14.325,
89,03/14/20 10:00:00 AM,14.421,
90,03/14/20 11:00:00 AM,14.517,
91,03/14/20 12:00:00 PM,14.325,
92,03/14/20 01:00:00 PM,14.134,
93,03/14/20 02:00:00 PM,13.846,
94,03/14/20 03:00:00 PM,13.654,
95,03/14/20 04:00:00 PM,13.558,
96,03/14/20 05:00:00 PM,13.461,
97,03/14/20 06:00:00 PM,13.269,
98,03/14/20 07:00:00 PM,13.076,
99,03/14/20 08:00:00 PM,12.883,
100,03/14/20 09:00:00 PM,12.594,
101,03/14/20 10:00:00 PM,12.401,
102,03/14/20 11:00:00 PM,12.110,
103,03/15/20 12:00:00 AM,11.916,
104,03/15/20 01:00:00 AM,11.722,
105,03/15/20 02:00:00 AM,11.528,
106,03/15/20 03:00:00 AM,11.334,
107,03/15/20 04:00:00 AM,11.139,
108,03/15/20 05:00:00 AM,10.944,
109,03/15/20 06:00:00 AM,10.748,
110,03/15/20 07:00:00 AM,11.236,
111,03/15/20 08:00:00 AM,12.690,
112,03/15/20 09:00:00 AM,13.750,
113,03/15/20 10:00:00 AM,14.325,
114,03/15/20 11:00:00 AM,14.804,
115,03/15/20 12:00:00 PM,15.187,
116,03/15/20 01:00:00 PM,15.378,
117,03/15/20 02:00:00 PM,15.569,
118,03/15/20 03:00:00 PM,15.664,
119,03/15/20 04:00:00 PM,15.664,
120,03/15/20 05:00:00 PM,15.664,
121,03/15/20 06:00:00 PM,15.569,
122,03/15/20 07:00:00 PM,15.473,
123,03/15/20 08:00:00 PM,15.282,
124,03/15/20 09:00:00 PM,14.996,
125,03/15/20 10:00:00 PM,14.709,
126,03/15/20 11:00:00 PM,14.421,
127,03/16/20 12:00:00 AM,14.230,
128,03/16/20 01:00:00 AM,13.942,
129,03/16/20 02:00:00 AM,13.654,
130,03/16/20 03:00:00 AM,13.461,
131,03/16/20 04:00:00 AM,13.173,
132,03/16/20 05:00:00 AM,12.883,
133,03/16/20 06:00:00 AM,12.497,
134,03/16/20 07:00:00 AM,12.594,
135,03/16/20 08:00:00 AM,13.558,
136,03/16/20 09:00:00 AM,14.996,
137,03/16/20 10:00:00 AM,16.618,
138,03/16/20 11:00:00 AM,17.665,
139,03/16/20 12:00:00 PM,17.950,
140,03/16/20 01:00:00 PM,18.140,
141,03/16/20 02:00:00 PM,18.426,
142,03/16/20 03:00:00 PM,18.711,
143,03/16/20 04:00:00 PM,18.806,
