"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685708, SEN S/N: 20685708)","Bad Battery (LGR S/N: 20685708)","End Of File (LGR S/N: 20685708)"
1,03/10/20 06:00:00 PM,20.234,,
2,03/10/20 07:00:00 PM,19.377,,
3,03/10/20 08:00:00 PM,18.616,,
4,03/10/20 09:00:00 PM,18.045,,
5,03/10/20 10:00:00 PM,17.475,,
6,03/10/20 11:00:00 PM,16.999,,
7,03/11/20 12:00:00 AM,16.523,,
8,03/11/20 01:00:00 AM,15.951,,
9,03/11/20 02:00:00 AM,15.569,,
10,03/11/20 03:00:00 AM,15.091,,
11,03/11/20 04:00:00 AM,14.709,,
12,03/11/20 05:00:00 AM,14.325,,
13,03/11/20 06:00:00 AM,14.038,,
14,03/11/20 07:00:00 AM,13.846,,
15,03/11/20 08:00:00 AM,15.855,,
16,03/11/20 09:00:00 AM,18.521,,
17,03/11/20 10:00:00 AM,18.996,,
18,03/11/20 11:00:00 AM,19.377,,
19,03/11/20 12:00:00 PM,19.567,,
20,03/11/20 01:00:00 PM,19.377,,
21,03/11/20 02:00:00 PM,19.662,,
22,03/11/20 03:00:00 PM,19.567,,
23,03/11/20 04:00:00 PM,19.282,,
24,03/11/20 05:00:00 PM,19.187,,
25,03/11/20 06:00:00 PM,18.996,,
26,03/11/20 07:00:00 PM,18.806,,
27,03/11/20 08:00:00 PM,18.616,,
28,03/11/20 09:00:00 PM,18.331,,
29,03/11/20 10:00:00 PM,17.950,,
30,03/11/20 11:00:00 PM,17.570,,
31,03/12/20 12:00:00 AM,17.284,,
32,03/12/20 01:00:00 AM,16.808,,
33,03/12/20 02:00:00 AM,16.427,,
34,03/12/20 03:00:00 AM,16.046,,
35,03/12/20 04:00:00 AM,15.569,,
36,03/12/20 05:00:00 AM,15.187,,
37,03/12/20 06:00:00 AM,14.804,,
38,03/12/20 07:00:00 AM,14.613,,
39,03/12/20 08:00:00 AM,15.473,,
40,03/12/20 09:00:00 AM,17.094,,
41,03/12/20 10:00:00 AM,18.426,,
42,03/12/20 11:00:00 AM,19.092,,
43,03/12/20 12:00:00 PM,19.377,,
44,03/12/20 01:00:00 PM,19.758,,
45,03/12/20 02:00:00 PM,19.758,,
46,03/12/20 03:00:00 PM,19.758,,
47,03/12/20 04:00:00 PM,19.662,,
48,03/12/20 05:00:00 PM,19.567,,
49,03/12/20 06:00:00 PM,19.282,,
50,03/12/20 07:00:00 PM,19.092,,
51,03/12/20 08:00:00 PM,18.806,,
52,03/12/20 09:00:00 PM,18.426,,
53,03/12/20 10:00:00 PM,18.045,,
54,03/12/20 11:00:00 PM,17.665,,
55,03/13/20 12:00:00 AM,17.284,,
56,03/13/20 01:00:00 AM,16.808,,
57,03/13/20 02:00:00 AM,16.427,,
58,03/13/20 03:00:00 AM,16.046,,
59,03/13/20 04:00:00 AM,15.664,,
60,03/13/20 05:00:00 AM,15.378,,
61,03/13/20 06:00:00 AM,14.996,,
62,03/13/20 07:00:00 AM,14.709,,
63,03/13/20 08:00:00 AM,15.473,,
64,03/13/20 09:00:00 AM,16.999,,
65,03/13/20 10:00:00 AM,18.140,,
66,03/13/20 11:00:00 AM,18.806,,
67,03/13/20 12:00:00 PM,19.187,,
68,03/13/20 01:00:00 PM,19.377,,
69,03/13/20 02:00:00 PM,19.567,,
70,03/13/20 03:00:00 PM,19.567,,
71,03/13/20 04:00:00 PM,19.662,,
72,03/13/20 05:00:00 PM,19.662,,
73,03/13/20 06:00:00 PM,19.662,,
74,03/13/20 07:00:00 PM,19.377,,
75,03/13/20 08:00:00 PM,18.806,,
76,03/13/20 09:00:00 PM,18.331,,
77,03/13/20 10:00:00 PM,17.855,,
78,03/13/20 11:00:00 PM,17.379,,
79,03/14/20 12:00:00 AM,16.999,,
80,03/14/20 01:00:00 AM,16.618,,
