"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137149, SEN S/N: 20137149)","Coupler Attached (LGR S/N: 20137149)","Host Connected (LGR S/N: 20137149)","Stopped (LGR S/N: 20137149)","End Of File (LGR S/N: 20137149)"
1,03/10/20 06:00:00 PM,19.758,,,,
2,03/10/20 07:00:00 PM,19.758,,,,
3,03/10/20 08:00:00 PM,19.282,,,,
4,03/10/20 09:00:00 PM,19.282,,,,
5,03/10/20 10:00:00 PM,19.662,,,,
6,03/10/20 11:00:00 PM,19.758,,,,
7,03/11/20 12:00:00 AM,19.853,,,,
8,03/11/20 01:00:00 AM,19.758,,,,
9,03/11/20 02:00:00 AM,19.567,,,,
10,03/11/20 03:00:00 AM,19.282,,,,
11,03/11/20 04:00:00 AM,18.996,,,,
12,03/11/20 05:00:00 AM,18.711,,,,
13,03/11/20 06:00:00 AM,18.426,,,,
14,03/11/20 07:00:00 AM,18.236,,,,
15,03/11/20 08:00:00 AM,17.284,,,,
16,03/11/20 09:00:00 AM,18.616,,,,
17,03/11/20 10:00:00 AM,19.092,,,,
18,03/11/20 11:00:00 AM,19.377,,,,
19,03/11/20 12:00:00 PM,19.567,,,,
20,03/11/20 01:00:00 PM,19.472,,,,
21,03/11/20 02:00:00 PM,19.758,,,,
22,03/11/20 03:00:00 PM,19.662,,,,
23,03/11/20 04:00:00 PM,19.377,,,,
24,03/11/20 05:00:00 PM,19.187,,,,
25,03/11/20 06:00:00 PM,19.092,,,,
26,03/11/20 07:00:00 PM,18.806,,,,
27,03/11/20 08:00:00 PM,18.616,,,,
28,03/11/20 09:00:00 PM,18.331,,,,
29,03/11/20 10:00:00 PM,17.950,,,,
30,03/11/20 11:00:00 PM,17.570,,,,
31,03/12/20 12:00:00 AM,17.189,,,,
32,03/12/20 01:00:00 AM,16.808,,,,
33,03/12/20 02:00:00 AM,16.427,,,,
34,03/12/20 03:00:00 AM,16.046,,,,
35,03/12/20 04:00:00 AM,15.569,,,,
36,03/12/20 05:00:00 AM,15.187,,,,
37,03/12/20 06:00:00 AM,14.804,,,,
38,03/12/20 07:00:00 AM,14.517,,,,
39,03/12/20 08:00:00 AM,15.282,,,,
40,03/12/20 09:00:00 AM,16.903,,,,
41,03/12/20 10:00:00 AM,18.331,,,,
42,03/12/20 11:00:00 AM,19.092,,,,
43,03/12/20 12:00:00 PM,19.282,,,,
44,03/12/20 01:00:00 PM,19.758,,,,
45,03/12/20 02:00:00 PM,19.853,,,,
46,03/12/20 03:00:00 PM,19.853,,,,
47,03/12/20 04:00:00 PM,19.758,,,,
48,03/12/20 05:00:00 PM,19.567,,,,
49,03/12/20 06:00:00 PM,19.282,,,,
50,03/12/20 07:00:00 PM,19.092,,,,
51,03/12/20 08:00:00 PM,18.711,,,,
52,03/12/20 09:00:00 PM,18.426,,,,
53,03/12/20 10:00:00 PM,18.045,,,,
54,03/12/20 11:00:00 PM,17.570,,,,
55,03/13/20 12:00:00 AM,17.189,,,,
56,03/13/20 01:00:00 AM,16.808,,,,
57,03/13/20 02:00:00 AM,16.332,,,,
58,03/13/20 03:00:00 AM,15.951,,,,
59,03/13/20 04:00:00 AM,15.664,,,,
60,03/13/20 05:00:00 AM,15.282,,,,
61,03/13/20 06:00:00 AM,14.900,,,,
62,03/13/20 07:00:00 AM,14.613,,,,
63,03/13/20 08:00:00 AM,15.378,,,,
64,03/13/20 09:00:00 AM,16.903,,,,
65,03/13/20 10:00:00 AM,18.140,,,,
66,03/13/20 11:00:00 AM,18.806,,,,
67,03/13/20 12:00:00 PM,19.092,,,,
68,03/13/20 01:00:00 PM,19.282,,,,
69,03/13/20 02:00:00 PM,19.472,,,,
70,03/13/20 03:00:00 PM,19.567,,,,
71,03/13/20 04:00:00 PM,19.567,,,,
72,03/13/20 05:00:00 PM,19.662,,,,
73,03/13/20 06:00:00 PM,19.567,,,,
74,03/13/20 07:00:00 PM,19.282,,,,
75,03/13/20 08:00:00 PM,18.711,,,,
76,03/13/20 09:00:00 PM,18.236,,,,
77,03/13/20 10:00:00 PM,17.760,,,,
78,03/13/20 11:00:00 PM,17.284,,,,
79,03/14/20 12:00:00 AM,16.903,,,,
80,03/14/20 01:00:00 AM,16.523,,,,
81,03/14/20 02:00:00 AM,16.141,,,,
82,03/14/20 03:00:00 AM,15.855,,,,
83,03/14/20 04:00:00 AM,15.473,,,,
84,03/14/20 05:00:00 AM,15.187,,,,
85,03/14/20 06:00:00 AM,14.900,,,,
86,03/14/20 07:00:00 AM,14.613,,,,
87,03/14/20 08:00:00 AM,14.421,,,,
88,03/14/20 09:00:00 AM,14.134,,,,
89,03/14/20 10:00:00 AM,14.709,,,,
90,03/14/20 11:00:00 AM,14.421,,,,
91,03/14/20 12:00:00 PM,14.134,,,,
92,03/14/20 01:00:00 PM,13.942,,,,
93,03/14/20 02:00:00 PM,13.654,,,,
94,03/14/20 03:00:00 PM,13.654,,,,
95,03/14/20 04:00:00 PM,13.461,,,,
96,03/14/20 05:00:00 PM,13.365,,,,
97,03/14/20 06:00:00 PM,13.173,,,,
98,03/14/20 07:00:00 PM,12.980,,,,
99,03/14/20 08:00:00 PM,12.690,,,,
100,03/14/20 09:00:00 PM,12.401,,,,
101,03/14/20 10:00:00 PM,12.207,,,,
102,03/14/20 11:00:00 PM,11.916,,,,
103,03/15/20 12:00:00 AM,11.722,,,,
104,03/15/20 01:00:00 AM,11.528,,,,
105,03/15/20 02:00:00 AM,11.334,,,,
106,03/15/20 03:00:00 AM,11.139,,,,
107,03/15/20 04:00:00 AM,10.944,,,,
108,03/15/20 05:00:00 AM,10.748,,,,
109,03/15/20 06:00:00 AM,10.651,,,,
110,03/15/20 07:00:00 AM,12.497,,,,
111,03/15/20 08:00:00 AM,13.942,,,,
112,03/15/20 09:00:00 AM,14.517,,,,
113,03/15/20 10:00:00 AM,14.996,,,,
114,03/15/20 11:00:00 AM,15.282,,,,
115,03/15/20 12:00:00 PM,15.473,,,,
116,03/15/20 01:00:00 PM,15.664,,,,
117,03/15/20 02:00:00 PM,15.760,,,,
118,03/15/20 03:00:00 PM,15.855,,,,
119,03/15/20 04:00:00 PM,15.760,,,,
120,03/15/20 05:00:00 PM,15.760,,,,
121,03/15/20 06:00:00 PM,15.664,,,,
122,03/15/20 07:00:00 PM,15.473,,,,
123,03/15/20 08:00:00 PM,15.187,,,,
