"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133750, SEN S/N: 20133750)","RH, % (LGR S/N: 20133750, SEN S/N: 20133750)","Coupler Detached (LGR S/N: 20133750)","Coupler Attached (LGR S/N: 20133750)","Host Connected (LGR S/N: 20133750)","Stopped (LGR S/N: 20133750)","End Of File (LGR S/N: 20133750)"
1,06/09/20 13:00:00,21.748,54.170,Logged,,,,
2,06/09/20 13:30:00,21.127,55.105,,,,,
3,06/09/20 14:00:00,20.627,56.174,,,,,
4,06/09/20 14:30:00,20.365,56.781,,,,,
5,06/09/20 15:00:00,20.269,57.043,,,,,
6,06/09/20 15:30:00,20.222,57.128,,,,,
7,06/09/20 16:00:00,20.222,57.220,,,,,
8,06/09/20 16:30:00,20.222,57.373,,,,,
9,06/09/20 17:00:00,20.222,57.526,,,,,
10,06/09/20 17:30:00,20.269,57.534,,,,,
11,06/09/20 18:00:00,20.317,57.480,,,,,
12,06/09/20 18:30:00,20.388,57.521,,,,,
13,06/09/20 19:00:00,20.436,57.590,,,,,
14,06/09/20 19:30:00,20.412,57.984,,,,,
15,06/09/20 20:00:00,20.341,58.371,,,,,
16,06/09/20 20:30:00,20.293,58.608,,,,,
17,06/09/20 21:00:00,20.269,58.848,,,,,
18,06/09/20 21:30:00,20.222,59.024,,,,,
19,06/09/20 22:00:00,20.222,59.085,,,,,
20,06/09/20 22:30:00,20.246,59.027,,,,,
21,06/09/20 23:00:00,20.269,59.062,,,,,
22,06/09/20 23:30:00,20.269,59.092,,,,,
23,06/10/20 00:00:00,20.269,59.153,,,,,
24,06/10/20 00:30:00,20.269,59.184,,,,,
25,06/10/20 01:00:00,20.246,59.210,,,,,
26,06/10/20 01:30:00,20.246,59.241,,,,,
27,06/10/20 02:00:00,20.222,59.237,,,,,
28,06/10/20 02:30:00,20.222,59.267,,,,,
29,06/10/20 03:00:00,20.198,59.325,,,,,
30,06/10/20 03:30:00,20.174,59.412,,,,,
31,06/10/20 04:00:00,20.174,59.473,,,,,
32,06/10/20 04:30:00,20.126,59.526,,,,,
33,06/10/20 05:00:00,20.126,59.587,,,,,
34,06/10/20 05:30:00,20.103,59.675,,,,,
35,06/10/20 06:00:00,20.079,59.853,,,,,
36,06/10/20 06:30:00,20.103,60.070,,,,,
37,06/10/20 07:00:00,20.174,60.293,,,,,
38,06/10/20 07:30:00,20.222,60.544,,,,,
39,06/10/20 08:00:00,20.222,60.574,,,,,
40,06/10/20 08:30:00,20.222,60.665,,,,,
41,06/10/20 09:00:00,20.246,60.850,,,,,
42,06/10/20 09:30:00,20.293,61.040,,,,,
43,06/10/20 10:00:00,20.341,61.108,,,,,
44,06/10/20 10:30:00,20.365,61.112,,,,,
45,06/10/20 11:00:00,20.460,61.127,,,,,
46,06/10/20 11:30:00,20.555,61.052,,,,,
47,06/10/20 12:00:00,20.698,60.984,,,,,
48,06/10/20 12:30:00,20.865,60.829,,,,,
49,06/10/20 13:00:00,21.056,60.677,,,,,
50,06/10/20 13:30:00,21.246,60.434,,,,,
51,06/10/20 14:00:00,21.461,60.347,,,,,
52,06/10/20 14:30:00,21.700,60.110,,,,,
53,06/10/20 15:00:00,21.939,59.598,,,,,
54,06/10/20 15:30:00,22.154,59.265,,,,,
55,06/10/20 16:00:00,22.441,59.095,,,,,
56,06/10/20 16:30:00,22.705,58.859,,,,,
57,06/10/20 17:00:00,22.944,58.466,,,,,
58,06/10/20 17:30:00,23.184,57.978,,,,,
59,06/10/20 18:00:00,23.424,58.231,,,,,
60,06/10/20 18:30:00,23.593,58.349,,,,,
61,06/10/20 19:00:00,23.713,58.182,,,,,
62,06/10/20 19:30:00,23.761,57.881,,,,,
63,06/10/20 20:00:00,23.785,57.575,,,,,
64,06/10/20 20:30:00,23.857,57.027,,,,,
65,06/10/20 21:00:00,23.954,56.918,,,,,
66,06/10/20 21:30:00,24.026,57.022,,,,,
67,06/10/20 22:00:00,24.050,57.087,,,,,
68,06/10/20 22:30:00,24.050,57.118,,,,,
69,06/10/20 23:00:00,24.002,57.173,,,,,
70,06/10/20 23:30:00,23.930,57.162,,,,,
71,06/11/20 00:00:00,23.857,57.183,,,,,
72,06/11/20 00:30:00,23.785,57.172,,,,,
73,06/11/20 01:00:00,23.713,57.161,,,,,
74,06/11/20 01:30:00,23.617,57.084,,,,,
75,06/11/20 02:00:00,23.545,57.012,,,,,
76,06/11/20 02:30:00,23.448,56.966,,,,,
77,06/11/20 03:00:00,23.328,56.917,,,,,
78,06/11/20 03:30:00,23.208,56.868,,,,,
79,06/11/20 04:00:00,23.088,56.819,,,,,
80,06/11/20 04:30:00,22.968,56.801,,,,,
81,06/11/20 05:00:00,23.040,56.533,,,,,
82,06/11/20 05:30:00,22.920,55.397,,,,,
83,06/11/20 06:00:00,22.609,54.293,,,,,
84,06/11/20 06:30:00,22.202,53.892,,,,,
85,06/11/20 07:00:00,21.795,54.021,,,,,
86,06/11/20 07:30:00,21.103,55.101,,,,,
87,06/11/20 08:00:00,20.365,55.981,,,,,
88,06/11/20 08:30:00,19.294,57.446,,,,,
89,06/11/20 09:00:00,19.032,57.437,,,,,
90,06/11/20 09:30:00,19.080,57.016,,,,,
91,06/11/20 10:00:00,19.175,57.214,,,,,
92,06/11/20 10:30:00,19.413,57.128,,,,,
93,06/11/20 11:00:00,17.439,65.935,,,,,
94,06/11/20 11:30:00,18.200,65.241,,,,,
95,06/11/20 12:00:00,18.105,66.082,,,,,
96,06/11/20 12:30:00,18.675,70.930,,,,,
97,06/11/20 13:00:00,19.746,72.990,,,,,
98,06/11/20 13:30:00,20.365,70.490,,,,,
99,06/11/20 14:00:00,20.365,69.992,,,,,
100,06/11/20 14:30:00,20.507,71.743,,,,,
101,06/11/20 15:00:00,17.201,68.647,,,,,
102,06/11/20 15:30:00,15.270,75.414,,,,,
103,06/11/20 16:00:00,15.103,72.260,,,,,
104,06/11/20 16:30:00,13.882,73.299,,,,,
105,06/11/20 17:00:00,13.786,66.950,,,,,
106,06/11/20 17:30:00,13.353,68.344,,,,,
107,06/11/20 18:00:00,13.522,73.114,,,,,
108,06/11/20 18:30:00,13.786,78.237,,,,,
109,06/11/20 19:00:00,13.425,78.548,,,,,
110,06/11/20 19:30:00,13.185,81.026,,,,,
111,06/11/20 20:00:00,12.582,85.165,,,,,
112,06/11/20 20:30:00,11.929,86.557,,,,,
113,06/11/20 21:00:00,11.321,88.050,,,,,
114,06/11/20 21:30:00,10.736,90.491,,,,,
115,06/11/20 22:00:00,10.369,92.231,,,,,
116,06/11/20 22:30:00,10.369,92.256,,,,,
117,06/11/20 23:00:00,10.883,85.194,,,,,
118,06/11/20 23:30:00,10.222,90.284,,,,,
119,06/12/20 00:00:00,10.198,86.515,,,,,
120,06/12/20 00:30:00,9.534,93.827,,,,,
121,06/12/20 01:00:00,9.114,96.212,,,,,
122,06/12/20 01:30:00,8.643,96.783,,,,,
123,06/12/20 02:00:00,8.568,97.012,,,,,
124,06/12/20 02:30:00,8.469,96.835,,,,,
125,06/12/20 03:00:00,8.394,97.188,,,,,
126,06/12/20 03:30:00,8.319,97.242,,,,,
127,06/12/20 04:00:00,8.245,97.023,,,,,
128,06/12/20 04:30:00,8.145,96.050,,,,,
129,06/12/20 05:00:00,7.970,96.251,,,,,
130,06/12/20 05:30:00,7.820,96.906,,,,,
131,06/12/20 06:00:00,7.720,97.720,,,,,
132,06/12/20 06:30:00,7.945,97.832,,,,,
133,06/12/20 07:00:00,8.145,98.085,,,,,
134,06/12/20 07:30:00,8.319,98.183,,,,,
135,06/12/20 08:00:00,8.519,98.485,,,,,
136,06/12/20 08:30:00,8.494,98.083,,,,,
137,06/12/20 09:00:00,8.170,97.647,,,,,
138,06/12/20 09:30:00,7.920,97.578,,,,,
139,06/12/20 10:00:00,8.095,97.873,,,,,
140,06/12/20 10:30:00,7.619,97.594,,,,,
141,06/12/20 11:00:00,8.295,98.866,,,,,
142,06/12/20 11:30:00,8.270,97.922,,,,,
143,06/12/20 12:00:00,7.920,97.874,,,,,
144,06/12/20 12:30:00,7.419,97.883,,,,,
145,06/12/20 13:00:00,7.293,98.340,,,,,
146,06/12/20 13:30:00,7.469,98.733,,,,,
147,06/12/20 14:00:00,7.920,99.007,,,,,
148,06/12/20 14:30:00,7.695,98.502,,,,,
149,06/12/20 15:00:00,7.419,98.449,,,,,
150,06/12/20 15:30:00,7.393,98.368,,,,,
151,06/12/20 16:00:00,6.864,97.877,,,,,
152,06/12/20 16:30:00,6.357,97.491,,,,,
153,06/12/20 17:00:00,6.000,97.980,,,,,
154,06/12/20 17:30:00,6.204,98.428,,,,,
155,06/12/20 18:00:00,6.509,98.758,,,,,
156,06/12/20 18:30:00,6.763,98.633,,,,,
157,06/12/20 19:00:00,6.940,98.095,,,,,
158,06/12/20 19:30:00,6.382,96.809,,,,,
159,06/12/20 20:00:00,6.560,97.744,,,,,
160,06/12/20 20:30:00,6.128,97.280,,,,,
161,06/12/20 21:00:00,5.616,96.992,,,,,
162,06/12/20 21:30:00,5.334,97.159,,,,,
163,06/12/20 22:00:00,5.024,97.415,,,,,
164,06/12/20 22:30:00,4.792,97.155,,,,,
165,06/12/20 23:00:00,4.662,97.607,,,,,
166,06/12/20 23:30:00,4.714,98.205,,,,,
167,06/13/20 00:00:00,4.714,98.399,,,,,
168,06/13/20 00:30:00,4.610,98.564,,,,,
169,06/13/20 01:00:00,4.610,98.515,,,,,
170,06/13/20 01:30:00,4.532,98.638,,,,,
