"Plot Title: PMPGRN2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20699057, SEN S/N: 20699057)","RH, % (LGR S/N: 20699057, SEN S/N: 20699057)","Coupler Detached (LGR S/N: 20699057)","Coupler Attached (LGR S/N: 20699057)","Host Connected (LGR S/N: 20699057)","Stopped (LGR S/N: 20699057)","End Of File (LGR S/N: 20699057)"
1,07/27/21 18:00:00,24.195,62.892,Logged,,,,
2,07/27/21 19:00:00,24.363,60.441,,,,,
3,07/27/21 20:00:00,24.219,61.001,,,,,
4,07/27/21 21:00:00,24.050,61.311,,,,,
5,07/27/21 22:00:00,23.761,61.570,,,,,
6,07/27/21 23:00:00,23.497,61.527,,,,,
7,07/28/21 00:00:00,23.232,61.393,,,,,
8,07/28/21 01:00:00,22.968,61.167,,,,,
9,07/28/21 02:00:00,22.705,60.972,,,,,
10,07/28/21 03:00:00,22.417,60.774,,,,,
11,07/28/21 04:00:00,22.130,60.667,,,,,
12,07/28/21 05:00:00,21.867,60.411,,,,,
13,07/28/21 06:00:00,21.581,60.091,,,,,
14,07/28/21 07:00:00,21.270,59.859,,,,,
15,07/28/21 08:00:00,21.032,60.339,,,,,
16,07/28/21 09:00:00,20.841,65.431,,,,,
17,07/28/21 10:00:00,21.366,52.838,,,,,
18,07/28/21 11:00:00,21.366,40.806,,,,,
19,07/28/21 12:00:00,22.082,41.534,,,,,
20,07/28/21 13:00:00,25.355,33.860,,,,,
21,07/28/21 14:00:00,30.142,29.804,,,,,
22,07/28/21 15:00:00,29.890,37.006,,,,,
23,07/28/21 16:00:00,33.966,34.138,,,,,
24,07/28/21 17:00:00,34.202,31.412,,,,,
25,07/28/21 18:00:00,28.320,34.368,,,,,
26,07/28/21 19:00:00,27.776,41.047,,,,,
27,07/28/21 20:00:00,19.294,51.677,,,,,
28,07/28/21 21:00:00,17.748,55.838,,,,,
29,07/28/21 22:00:00,16.177,60.255,,,,,
30,07/28/21 23:00:00,15.366,62.149,,,,,
31,07/29/21 00:00:00,14.912,61.895,,,,,
32,07/29/21 01:00:00,14.314,63.684,,,,,
33,07/29/21 02:00:00,14.314,64.594,,,,,
34,07/29/21 03:00:00,14.505,62.922,,,,,
35,07/29/21 04:00:00,13.738,59.325,,,,,
36,07/29/21 05:00:00,13.786,51.195,,,,,
37,07/29/21 06:00:00,13.666,54.411,,,,,
38,07/29/21 07:00:00,14.745,57.626,,,,,
39,07/29/21 08:00:00,20.889,50.894,,,,,
40,07/29/21 09:00:00,24.847,42.884,,,,,
41,07/29/21 10:00:00,26.867,32.113,,,,,
42,07/29/21 11:00:00,28.468,31.473,,,,,
43,07/29/21 12:00:00,28.965,30.016,,,,,
44,07/29/21 13:00:00,28.692,29.857,,,,,
45,07/29/21 14:00:00,28.419,34.310,,,,,
46,07/29/21 15:00:00,26.793,38.065,,,,,
47,07/29/21 16:00:00,25.307,44.010,,,,,
48,07/29/21 17:00:00,24.532,44.179,,,,,
49,07/29/21 18:00:00,23.713,41.975,,,,,
50,07/29/21 19:00:00,22.776,42.227,,,,,
51,07/29/21 20:00:00,21.557,44.601,,,,,
52,07/29/21 21:00:00,19.246,49.294,,,,,
53,07/29/21 22:00:00,17.962,52.145,,,,,
54,07/29/21 23:00:00,17.772,53.169,,,,,
55,07/30/21 00:00:00,17.772,51.591,,,,,
56,07/30/21 01:00:00,18.081,50.078,,,,,
57,07/30/21 02:00:00,19.222,47.496,,,,,
58,07/30/21 03:00:00,19.341,50.560,,,,,
59,07/30/21 04:00:00,19.460,48.000,,,,,
60,07/30/21 05:00:00,19.080,47.951,,,,,
61,07/30/21 06:00:00,20.746,43.832,,,,,
62,07/30/21 07:00:00,21.366,43.969,,,,,
63,07/30/21 08:00:00,26.231,38.604,,,,,
64,07/30/21 09:00:00,30.117,31.375,,,,,
65,07/30/21 10:00:00,30.520,31.512,,,,,
66,07/30/21 11:00:00,31.970,30.949,,,,,
67,07/30/21 12:00:00,29.665,31.677,,,,,
68,07/30/21 13:00:00,31.357,27.317,,,,,
69,07/30/21 14:00:00,30.192,25.291,,,,,
70,07/30/21 15:00:00,28.891,30.215,,,,,
71,07/30/21 16:00:00,27.358,33.405,,,,,
72,07/30/21 17:00:00,26.695,49.826,,,,,
73,07/30/21 18:00:00,25.890,51.665,,,,,
74,07/30/21 19:00:00,24.412,51.180,,,,,
75,07/30/21 20:00:00,23.737,54.486,,,,,
76,07/30/21 21:00:00,22.274,50.545,,,,,
77,07/30/21 22:00:00,21.485,56.888,,,,,
78,07/30/21 23:00:00,21.223,52.349,,,,,
79,07/31/21 00:00:00,23.497,36.510,,,,,
80,07/31/21 01:00:00,23.665,40.274,,,,,
81,07/31/21 02:00:00,24.315,38.308,,,,,
82,07/31/21 03:00:00,24.171,40.132,,,,,
83,07/31/21 04:00:00,24.653,32.490,,,,,
84,07/31/21 05:00:00,23.497,38.684,,,,,
85,07/31/21 06:00:00,23.448,37.528,,,,,
86,07/31/21 07:00:00,24.219,37.474,,,,,
87,07/31/21 08:00:00,24.122,39.045,,,,,
88,07/31/21 09:00:00,23.424,45.532,,,,,
89,07/31/21 10:00:00,23.472,47.078,,,,,
90,07/31/21 11:00:00,23.905,48.411,,,,,
91,07/31/21 12:00:00,22.896,49.806,,,,,
92,07/31/21 13:00:00,23.569,49.545,,,,,
93,07/31/21 14:00:00,24.122,41.043,,,,,
94,07/31/21 15:00:00,24.315,39.820,,,,,
95,07/31/21 16:00:00,24.484,44.465,,,,,
96,07/31/21 17:00:00,24.267,42.948,,,,,
97,07/31/21 18:00:00,23.376,47.226,,,,,
98,07/31/21 19:00:00,22.920,48.571,,,,,
99,07/31/21 20:00:00,22.345,48.179,,,,,
100,07/31/21 21:00:00,21.963,48.003,,,,,
101,07/31/21 22:00:00,21.628,47.961,,,,,
102,07/31/21 23:00:00,20.650,62.156,,,,,
103,08/01/21 00:00:00,22.321,43.985,,,,,
104,08/01/21 01:00:00,22.226,57.308,,,,,
105,08/01/21 02:00:00,20.031,69.372,,,,,
106,08/01/21 03:00:00,20.817,58.445,,,,,
107,08/01/21 04:00:00,20.889,52.365,,,,,
108,08/01/21 05:00:00,19.793,72.362,,,,,
109,08/01/21 06:00:00,18.842,76.369,,,,,
110,08/01/21 07:00:00,18.461,83.879,,,,,
111,08/01/21 08:00:00,19.222,86.880,,,,,
112,08/01/21 09:00:00,19.222,87.915,,,,,
113,08/01/21 10:00:00,20.698,83.662,,,,,
114,08/01/21 11:00:00,22.513,76.917,,,,,
115,08/01/21 12:00:00,24.363,69.933,,,,,
116,08/01/21 13:00:00,25.671,61.971,,,,,
117,08/01/21 14:00:00,24.677,60.644,,,,,
118,08/01/21 15:00:00,25.162,60.844,,,,,
119,08/01/21 16:00:00,23.521,65.172,,,,,
120,08/01/21 17:00:00,22.130,70.172,,,,,
121,08/01/21 18:00:00,21.270,72.297,,,,,
122,08/01/21 19:00:00,19.793,76.820,,,,,
123,08/01/21 20:00:00,18.533,79.499,,,,,
124,08/01/21 21:00:00,16.677,80.746,,,,,
125,08/01/21 22:00:00,15.891,70.259,,,,,
126,08/01/21 23:00:00,17.391,60.120,,,,,
127,08/02/21 00:00:00,17.486,59.743,,,,,
128,08/02/21 01:00:00,16.153,77.397,,,,,
129,08/02/21 02:00:00,14.936,75.965,,,,,
130,08/02/21 03:00:00,15.079,72.712,,,,,
131,08/02/21 04:00:00,16.320,68.747,,,,,
132,08/02/21 05:00:00,15.175,71.559,,,,,
133,08/02/21 06:00:00,14.529,73.257,,,,,
134,08/02/21 07:00:00,15.461,70.495,,,,,
135,08/02/21 08:00:00,20.603,68.270,,,,,
136,08/02/21 09:00:00,25.113,48.597,,,,,
137,08/02/21 10:00:00,28.295,28.389,,,,,
138,08/02/21 11:00:00,30.091,23.964,,,,,
139,08/02/21 12:00:00,31.001,23.746,,,,,
140,08/02/21 13:00:00,30.646,23.862,,,,,
141,08/02/21 14:00:00,30.091,24.833,,,,,
142,08/02/21 15:00:00,29.565,36.941,,,,,
143,08/02/21 16:00:00,27.431,46.048,,,,,
