"Plot Title: PMPGRN"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20699059, SEN S/N: 20699059, LBL: Temp)","RH, % (LGR S/N: 20699059, SEN S/N: 20699059, LBL: RH)","Coupler Detached (LGR S/N: 20699059)","Coupler Attached (LGR S/N: 20699059)","Host Connected (LGR S/N: 20699059)","Stopped (LGR S/N: 20699059)","End Of File (LGR S/N: 20699059)"
1,07/07/22 12:00:00,15.414,80.581,Logged,,,,
2,07/07/22 12:30:00,14.505,83.149,,,,,
3,07/07/22 13:00:00,14.026,83.285,,,,,
4,07/07/22 13:30:00,15.581,81.638,,,,,
5,07/07/22 14:00:00,14.314,81.549,,,,,
6,07/07/22 14:30:00,15.366,82.879,,,,,
7,07/07/22 15:00:00,14.601,83.742,,,,,
8,07/07/22 15:30:00,15.247,81.976,,,,,
9,07/07/22 16:00:00,15.748,81.040,,,,,
10,07/07/22 16:30:00,15.461,80.398,,,,,
11,07/07/22 17:00:00,14.649,81.624,,,,,
12,07/07/22 17:30:00,14.194,82.070,,,,,
13,07/07/22 18:00:00,14.337,78.771,,,,,
14,07/07/22 18:30:00,13.954,82.453,,,,,
15,07/07/22 19:00:00,13.353,84.295,,,,,
16,07/07/22 19:30:00,12.968,86.459,,,,,
17,07/07/22 20:00:00,12.437,87.687,,,,,
18,07/07/22 20:30:00,12.025,90.320,,,,,
19,07/07/22 21:00:00,11.540,91.135,,,,,
20,07/07/22 21:30:00,11.200,94.290,,,,,
21,07/07/22 22:00:00,10.712,94.162,,,,,
22,07/07/22 22:30:00,10.369,95.391,,,,,
23,07/07/22 23:00:00,10.345,95.789,,,,,
24,07/07/22 23:30:00,10.051,95.155,,,,,
25,07/08/22 00:00:00,10.075,96.748,,,,,
26,07/08/22 00:30:00,10.001,96.251,,,,,
27,07/08/22 01:00:00,9.682,96.415,,,,,
28,07/08/22 01:30:00,9.287,95.405,,,,,
29,07/08/22 02:00:00,9.262,97.476,,,,,
30,07/08/22 02:30:00,8.990,96.678,,,,,
31,07/08/22 03:00:00,9.163,97.672,,,,,
32,07/08/22 03:30:00,8.841,97.286,,,,,
33,07/08/22 04:00:00,8.941,97.412,,,,,
34,07/08/22 04:30:00,8.643,94.981,,,,,
35,07/08/22 05:00:00,8.519,96.375,,,,,
36,07/08/22 05:30:00,7.920,96.088,,,,,
37,07/08/22 06:00:00,7.469,95.518,,,,,
38,07/08/22 06:30:00,8.568,99.041,,,,,
39,07/08/22 07:00:00,9.287,99.292,,,,,
40,07/08/22 07:30:00,9.854,99.154,,,,,
41,07/08/22 08:00:00,10.712,97.898,,,,,
42,07/08/22 08:30:00,10.907,95.838,,,,,
43,07/08/22 09:00:00,12.823,89.469,,,,,
44,07/08/22 09:30:00,12.823,89.101,,,,,
45,07/08/22 10:00:00,12.968,87.815,,,,,
46,07/08/22 10:30:00,13.064,92.819,,,,,
47,07/08/22 11:00:00,13.786,86.519,,,,,
48,07/08/22 11:30:00,15.294,81.959,,,,,
49,07/08/22 12:00:00,15.724,77.391,,,,,
50,07/08/22 12:30:00,15.605,79.347,,,,,
51,07/08/22 13:00:00,15.939,83.856,,,,,
52,07/08/22 13:30:00,16.582,74.489,,,,,
53,07/08/22 14:00:00,16.582,71.716,,,,,
54,07/08/22 14:30:00,17.225,73.504,,,,,
55,07/08/22 15:00:00,16.034,75.965,,,,,
56,07/08/22 15:30:00,15.986,71.371,,,,,
57,07/08/22 16:00:00,15.748,73.356,,,,,
58,07/08/22 16:30:00,15.390,73.143,,,,,
59,07/08/22 17:00:00,14.864,75.444,,,,,
60,07/08/22 17:30:00,14.553,74.733,,,,,
61,07/08/22 18:00:00,14.194,76.205,,,,,
62,07/08/22 18:30:00,13.834,75.178,,,,,
63,07/08/22 19:00:00,13.449,74.200,,,,,
64,07/08/22 19:30:00,13.040,74.511,,,,,
65,07/08/22 20:00:00,12.630,76.133,,,,,
66,07/08/22 20:30:00,12.243,78.130,,,,,
67,07/08/22 21:00:00,11.662,82.614,,,,,
68,07/08/22 21:30:00,11.029,85.441,,,,,
69,07/08/22 22:00:00,10.394,89.496,,,,,
70,07/08/22 22:30:00,9.952,91.816,,,,,
71,07/08/22 23:00:00,9.509,93.058,,,,,
72,07/08/22 23:30:00,9.188,92.515,,,,,
73,07/09/22 00:00:00,8.866,95.292,,,,,
74,07/09/22 00:30:00,8.767,95.717,,,,,
75,07/09/22 01:00:00,8.643,96.234,,,,,
76,07/09/22 01:30:00,8.519,96.774,,,,,
77,07/09/22 02:00:00,8.319,97.341,,,,,
78,07/09/22 02:30:00,8.344,96.453,,,,,
79,07/09/22 03:00:00,8.444,91.787,,,,,
80,07/09/22 03:30:00,8.568,87.041,,,,,
81,07/09/22 04:00:00,8.668,84.858,,,,,
82,07/09/22 04:30:00,8.668,86.096,,,,,
83,07/09/22 05:00:00,8.742,86.061,,,,,
84,07/09/22 05:30:00,8.941,84.129,,,,,
85,07/09/22 06:00:00,9.312,85.195,,,,,
86,07/09/22 06:30:00,12.147,80.032,,,,,
87,07/09/22 07:00:00,13.810,75.790,,,,,
88,07/09/22 07:30:00,15.676,70.190,,,,,
89,07/09/22 08:00:00,18.129,69.547,,,,,
90,07/09/22 08:30:00,18.699,66.570,,,,,
91,07/09/22 09:00:00,18.842,62.249,,,,,
