"Plot Title: PMPWEB"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9905285, SEN S/N: 9905285, LBL: Temp)","RH, % (LGR S/N: 9905285, SEN S/N: 9905285, LBL: RH)","Coupler Detached (LGR S/N: 9905285)","Coupler Attached (LGR S/N: 9905285)","Host Connected (LGR S/N: 9905285)","Stopped (LGR S/N: 9905285)","End Of File (LGR S/N: 9905285)"
1,07/07/22 12:00:00,19.318,62.598,Logged,,,,
2,07/07/22 12:30:00,19.603,67.765,,,,,
3,07/07/22 13:00:00,17.249,66.989,,,,,
4,07/07/22 13:30:00,18.081,70.382,,,,,
5,07/07/22 14:00:00,17.986,66.974,,,,,
6,07/07/22 14:30:00,18.057,70.958,,,,,
7,07/07/22 15:00:00,19.294,67.797,,,,,
8,07/07/22 15:30:00,19.270,72.522,,,,,
9,07/07/22 16:00:00,18.889,74.550,,,,,
10,07/07/22 16:30:00,20.722,68.822,,,,,
11,07/07/22 17:00:00,21.342,55.570,,,,,
12,07/07/22 17:30:00,20.936,57.635,,,,,
13,07/07/22 18:00:00,19.246,60.296,,,,,
14,07/07/22 18:30:00,17.986,63.898,,,,,
15,07/07/22 19:00:00,17.558,68.129,,,,,
16,07/07/22 19:30:00,16.749,70.566,,,,,
17,07/07/22 20:00:00,15.199,76.075,,,,,
18,07/07/22 20:30:00,13.522,83.848,,,,,
19,07/07/22 21:00:00,12.485,88.333,,,,,
20,07/07/22 21:30:00,12.340,90.607,,,,,
21,07/07/22 22:00:00,11.759,91.760,,,,,
22,07/07/22 22:30:00,11.346,95.652,,,,,
23,07/07/22 23:00:00,11.053,95.979,,,,,
24,07/07/22 23:30:00,11.394,98.311,,,,,
25,07/08/22 00:00:00,11.516,98.069,,,,,
26,07/08/22 00:30:00,11.467,97.377,,,,,
27,07/08/22 01:00:00,11.102,97.353,,,,,
28,07/08/22 01:30:00,10.932,98.608,,,,,
29,07/08/22 02:00:00,10.980,99.021,,,,,
30,07/08/22 02:30:00,10.956,99.163,,,,,
31,07/08/22 03:00:00,10.858,98.887,,,,,
32,07/08/22 03:30:00,10.149,98.118,,,,,
33,07/08/22 04:00:00,9.731,97.829,,,,,
34,07/08/22 04:30:00,9.632,97.253,,,,,
35,07/08/22 05:00:00,9.015,97.383,,,,,
36,07/08/22 05:30:00,8.742,97.805,,,,,
37,07/08/22 06:00:00,8.717,95.528,,,,,
38,07/08/22 06:30:00,10.638,87.200,,,,,
39,07/08/22 07:00:00,12.654,79.375,,,,,
40,07/08/22 07:30:00,13.906,74.940,,,,,
41,07/08/22 08:00:00,16.010,66.738,,,,,
42,07/08/22 08:30:00,14.888,75.280,,,,,
43,07/08/22 09:00:00,15.079,72.712,,,,,
44,07/08/22 09:30:00,15.103,78.573,,,,,
45,07/08/22 10:00:00,14.409,79.395,,,,,
46,07/08/22 10:30:00,14.721,78.492,,,,,
47,07/08/22 11:00:00,16.606,72.868,,,,,
48,07/08/22 11:30:00,17.748,63.262,,,,,
49,07/08/22 12:00:00,18.366,62.350,,,,,
50,07/08/22 12:30:00,20.341,59.895,,,,,
51,07/08/22 13:00:00,20.150,56.103,,,,,
52,07/08/22 13:30:00,19.555,56.168,,,,,
53,07/08/22 14:00:00,18.771,58.493,,,,,
54,07/08/22 14:30:00,19.103,58.788,,,,,
55,07/08/22 15:00:00,20.222,57.005,,,,,
56,07/08/22 15:30:00,19.627,55.040,,,,,
57,07/08/22 16:00:00,19.698,54.093,,,,,
58,07/08/22 16:30:00,19.579,58.527,,,,,
59,07/08/22 17:00:00,17.938,58.909,,,,,
60,07/08/22 17:30:00,19.413,56.638,,,,,
61,07/08/22 18:00:00,19.246,55.446,,,,,
62,07/08/22 18:30:00,18.937,54.107,,,,,
63,07/08/22 19:00:00,18.699,54.843,,,,,
64,07/08/22 19:30:00,18.129,56.719,,,,,
65,07/08/22 20:00:00,17.701,57.294,,,,,
66,07/08/22 20:30:00,16.773,62.771,,,,,
67,07/08/22 21:00:00,14.146,74.030,,,,,
68,07/08/22 21:30:00,13.040,78.935,,,,,
69,07/08/22 22:00:00,12.292,83.916,,,,,
70,07/08/22 22:30:00,12.147,86.981,,,,,
71,07/08/22 23:00:00,11.443,90.747,,,,,
72,07/08/22 23:30:00,10.687,92.723,,,,,
73,07/09/22 00:00:00,9.829,95.247,,,,,
74,07/09/22 00:30:00,9.805,98.172,,,,,
75,07/09/22 01:00:00,9.854,98.410,,,,,
76,07/09/22 01:30:00,9.928,98.951,,,,,
77,07/09/22 02:00:00,9.558,99.096,,,,,
78,07/09/22 02:30:00,8.369,98.690,,,,,
79,07/09/22 03:00:00,9.262,99.777,,,,,
80,07/09/22 03:30:00,9.139,99.890,,,,,
81,07/09/22 04:00:00,8.419,99.589,,,,,
82,07/09/22 04:30:00,8.045,99.630,,,,,
83,07/09/22 05:00:00,7.645,99.810,,,,,
84,07/09/22 05:30:00,7.645,99.957,,,,,
85,07/09/22 06:00:00,7.645,99.932,,,,,
86,07/09/22 06:30:00,9.608,99.875,,,,,
87,07/09/22 07:00:00,11.248,91.786,,,,,
88,07/09/22 07:30:00,12.992,77.404,,,,,
89,07/09/22 08:00:00,15.079,68.229,,,,,
90,07/09/22 08:30:00,16.368,61.183,,,,,
91,07/09/22 09:00:00,16.868,61.982,,,,,
92,07/09/22 09:30:00,16.701,63.886,,,,,
93,07/09/22 10:00:00,17.082,63.239,,,,,
94,07/09/22 10:30:00,15.986,66.324,,,,,
95,07/09/22 11:00:00,17.843,64.942,,,,,
96,07/09/22 11:30:00,19.532,58.733,,,,,
97,07/09/22 12:00:00,18.675,57.260,,,,,
98,07/09/22 12:30:00,18.818,56.181,,,,,
99,07/09/22 13:00:00,19.936,53.042,,,,,
100,07/09/22 13:30:00,20.555,55.145,,,,,
101,07/09/22 14:00:00,20.460,55.779,,,,,
102,07/09/22 14:30:00,18.675,60.326,,,,,
103,07/09/22 15:00:00,19.817,56.607,,,,,
104,07/09/22 15:30:00,20.222,55.744,,,,,
105,07/09/22 16:00:00,20.603,51.701,,,,,
106,07/09/22 16:30:00,18.652,56.523,,,,,
107,07/09/22 17:00:00,18.937,57.666,,,,,
108,07/09/22 17:30:00,18.771,57.153,,,,,
109,07/09/22 18:00:00,17.344,63.134,,,,,
110,07/09/22 18:30:00,17.558,61.618,,,,,
111,07/09/22 19:00:00,15.414,69.014,,,,,
112,07/09/22 19:30:00,15.247,72.031,,,,,
113,07/09/22 20:00:00,14.170,75.696,,,,,
114,07/09/22 20:30:00,13.112,83.240,,,,,
115,07/09/22 21:00:00,12.364,89.251,,,,,
116,07/09/22 21:30:00,12.025,91.621,,,,,
117,07/09/22 22:00:00,11.710,93.193,,,,,
118,07/09/22 22:30:00,11.297,95.385,,,,,
119,07/09/22 23:00:00,10.883,96.287,,,,,
120,07/09/22 23:30:00,10.222,96.612,,,,,
121,07/10/22 00:00:00,9.952,95.885,,,,,
122,07/10/22 00:30:00,9.657,95.353,,,,,
123,07/10/22 01:00:00,9.509,95.842,,,,,
124,07/10/22 01:30:00,9.163,96.075,,,,,
125,07/10/22 02:00:00,8.220,97.661,,,,,
126,07/10/22 02:30:00,8.469,98.915,,,,,
127,07/10/22 03:00:00,8.344,98.880,,,,,
128,07/10/22 03:30:00,8.120,99.112,,,,,
129,07/10/22 04:00:00,8.195,99.182,,,,,
130,07/10/22 04:30:00,8.120,99.259,,,,,
