"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20684634, SEN S/N: 20684634)","RH, % (LGR S/N: 20684634, SEN S/N: 20684634)","Coupler Detached (LGR S/N: 20684634)","Coupler Attached (LGR S/N: 20684634)","Host Connected (LGR S/N: 20684634)","Stopped (LGR S/N: 20684634)","End Of File (LGR S/N: 20684634)"
1,06/09/20 12:51:12,24.508,52.016,,,,,
2,06/09/20 12:51:16,,,Logged,,,,
3,06/09/20 13:21:12,22.178,50.784,,,,,
4,06/09/20 13:51:12,21.246,52.696,,,,,
5,06/09/20 14:21:12,20.770,53.906,,,,,
6,06/09/20 14:51:12,20.531,54.770,,,,,
7,06/09/20 15:21:12,20.388,55.306,,,,,
8,06/09/20 15:51:12,20.317,55.604,,,,,
9,06/09/20 16:21:12,20.269,55.905,,,,,
10,06/09/20 16:51:12,20.269,56.336,,,,,
11,06/09/20 17:21:12,20.269,56.459,,,,,
12,06/09/20 17:51:12,20.317,56.497,,,,,
13,06/09/20 18:21:12,20.365,56.720,,,,,
14,06/09/20 18:51:12,20.412,56.696,,,,,
15,06/09/20 19:21:12,20.436,56.823,,,,,
16,06/09/20 19:51:12,20.412,57.065,,,,,
17,06/09/20 20:21:12,20.365,57.180,,,,,
18,06/09/20 20:51:12,20.317,57.326,,,,,
19,06/09/20 21:21:12,20.269,57.564,,,,,
20,06/09/20 21:51:12,20.246,57.744,,,,,
21,06/09/20 22:21:12,20.246,57.867,,,,,
22,06/09/20 22:51:12,20.246,57.959,,,,,
23,06/09/20 23:21:12,20.269,57.993,,,,,
24,06/09/20 23:51:12,20.269,58.024,,,,,
25,06/10/20 00:21:12,20.269,58.024,,,,,
26,06/10/20 00:51:12,20.269,58.085,,,,,
27,06/10/20 01:21:12,20.246,58.020,,,,,
28,06/10/20 01:51:12,20.222,58.016,,,,,
29,06/10/20 02:21:12,20.222,58.016,,,,,
30,06/10/20 02:51:12,20.222,58.047,,,,,
31,06/10/20 03:21:12,20.198,58.104,,,,,
32,06/10/20 03:51:12,20.174,58.162,,,,,
33,06/10/20 04:21:12,20.174,58.223,,,,,
34,06/10/20 04:51:12,20.150,58.250,,,,,
35,06/10/20 05:21:12,20.126,58.399,,,,,
36,06/10/20 05:51:12,20.103,58.517,,,,,
37,06/10/20 06:21:12,20.103,58.792,,,,,
38,06/10/20 06:51:12,20.150,59.469,,,,,
39,06/10/20 07:21:12,20.174,60.172,,,,,
40,06/10/20 07:51:12,20.198,59.811,,,,,
41,06/10/20 08:21:12,20.222,59.815,,,,,
42,06/10/20 08:51:12,20.222,60.028,,,,,
43,06/10/20 09:21:12,20.269,60.339,,,,,
44,06/10/20 09:51:12,20.293,60.494,,,,,
45,06/10/20 10:21:12,20.341,60.654,,,,,
46,06/10/20 10:51:12,20.388,60.813,,,,,
47,06/10/20 11:21:12,20.484,60.919,,,,,
48,06/10/20 11:51:12,20.579,61.025,,,,,
49,06/10/20 12:21:12,20.698,61.075,,,,,
50,06/10/20 12:51:12,20.865,61.132,,,,,
51,06/10/20 13:21:12,21.056,60.920,,,,,
52,06/10/20 13:51:12,21.246,60.860,,,,,
53,06/10/20 14:21:12,21.461,60.712,,,,,
54,06/10/20 14:51:12,21.700,59.958,,,,,
55,06/10/20 15:21:12,21.915,59.350,,,,,
56,06/10/20 15:51:12,22.130,59.537,,,,,
57,06/10/20 16:21:12,22.393,59.271,,,,,
58,06/10/20 16:51:12,22.657,58.452,,,,,
59,06/10/20 17:21:12,22.872,57.715,,,,,
60,06/10/20 17:51:12,23.136,58.434,,,,,
61,06/10/20 18:21:12,23.328,58.617,,,,,
62,06/10/20 18:51:12,23.497,57.902,,,,,
63,06/10/20 19:21:12,23.617,57.115,,,,,
64,06/10/20 19:51:12,23.689,56.474,,,,,
65,06/10/20 20:21:12,23.785,55.399,,,,,
66,06/10/20 20:51:12,23.809,55.434,,,,,
67,06/10/20 21:21:12,23.857,56.064,,,,,
68,06/10/20 21:51:12,23.930,56.012,,,,,
69,06/10/20 22:21:12,23.978,56.019,,,,,
70,06/10/20 22:51:12,23.978,55.926,,,,,
71,06/10/20 23:21:12,23.954,55.860,,,,,
72,06/10/20 23:51:12,23.930,55.732,,,,,
73,06/11/20 00:21:12,23.857,55.659,,,,,
74,06/11/20 00:51:12,23.809,55.621,,,,,
75,06/11/20 01:21:12,23.737,55.548,,,,,
76,06/11/20 01:51:12,23.641,55.409,,,,,
77,06/11/20 02:21:12,23.569,55.336,,,,,
78,06/11/20 02:51:12,23.472,55.260,,,,,
79,06/11/20 03:21:12,23.352,55.118,,,,,
80,06/11/20 03:51:12,23.232,55.069,,,,,
81,06/11/20 04:21:12,23.112,55.021,,,,,
82,06/11/20 04:51:12,23.064,55.481,,,,,
83,06/11/20 05:21:12,22.968,53.907,,,,,
84,06/11/20 05:51:12,22.657,53.457,,,,,
85,06/11/20 06:21:12,22.178,53.014,,,,,
86,06/11/20 06:51:12,21.676,52.881,,,,,
87,06/11/20 07:21:12,21.223,53.036,,,,,
88,06/11/20 07:51:12,20.579,53.940,,,,,
89,06/11/20 08:21:12,19.627,55.502,,,,,
90,06/11/20 08:51:12,19.127,56.166,,,,,
91,06/11/20 09:21:12,19.080,55.821,,,,,
92,06/11/20 09:51:12,19.199,56.360,,,,,
93,06/11/20 10:21:12,19.365,56.385,,,,,
94,06/11/20 10:51:12,17.510,74.304,,,,,
95,06/11/20 11:21:12,17.249,68.743,,,,,
96,06/11/20 11:51:12,17.082,73.676,,,,,
97,06/11/20 12:21:12,13.618,74.994,,,,,
98,06/11/20 12:51:12,14.194,77.935,,,,,
