"Plot Title: PPCAST"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10560916, SEN S/N: 10560916, LBL: Temp)","RH, % (LGR S/N: 10560916, SEN S/N: 10560916, LBL: RH)","Coupler Detached (LGR S/N: 10560916)","Coupler Attached (LGR S/N: 10560916)","Host Connected (LGR S/N: 10560916)","Stopped (LGR S/N: 10560916)","End Of File (LGR S/N: 10560916)"
1,07/07/22 12:00:00,19.365,64.461,Logged,,,,
2,07/07/22 13:00:00,18.414,62.088,,,,,
3,07/07/22 14:00:00,18.604,64.122,,,,,
4,07/07/22 15:00:00,20.126,64.681,,,,,
5,07/07/22 16:00:00,19.793,70.237,,,,,
6,07/07/22 17:00:00,23.256,53.228,,,,,
7,07/07/22 18:00:00,22.896,53.240,,,,,
8,07/07/22 19:00:00,21.843,53.685,,,,,
9,07/07/22 20:00:00,19.841,55.534,,,,,
10,07/07/22 21:00:00,17.915,57.509,,,,,
11,07/07/22 22:00:00,20.674,58.728,,,,,
12,07/07/22 23:00:00,18.652,59.869,,,,,
13,07/08/22 00:00:00,16.392,62.112,,,,,
14,07/08/22 01:00:00,14.505,63.452,,,,,
15,07/08/22 02:00:00,13.233,64.582,,,,,
16,07/08/22 03:00:00,12.485,64.772,,,,,
17,07/08/22 04:00:00,11.710,64.984,,,,,
18,07/08/22 05:00:00,11.005,64.773,,,,,
19,07/08/22 06:00:00,10.222,65.126,,,,,
20,07/08/22 07:00:00,10.149,66.178,,,,,
21,07/08/22 08:00:00,11.078,69.465,,,,,
22,07/08/22 09:00:00,13.281,77.604,,,,,
23,07/08/22 10:00:00,17.701,67.510,,,,,
24,07/08/22 11:00:00,24.750,57.969,,,,,
25,07/08/22 12:00:00,27.801,43.745,,,,,
26,07/08/22 13:00:00,32.021,43.800,,,,,
27,07/08/22 14:00:00,30.268,35.562,,,,,
28,07/08/22 15:00:00,27.505,39.829,,,,,
29,07/08/22 16:00:00,19.222,53.870,,,,,
30,07/08/22 17:00:00,18.699,56.439,,,,,
31,07/08/22 18:00:00,18.818,54.676,,,,,
32,07/08/22 19:00:00,17.986,55.138,,,,,
33,07/08/22 20:00:00,16.844,58.012,,,,,
34,07/08/22 21:00:00,14.026,73.186,,,,,
35,07/08/22 22:00:00,11.977,84.166,,,,,
36,07/08/22 23:00:00,9.977,92.130,,,,,
37,07/09/22 00:00:00,9.114,95.911,,,,,
38,07/09/22 01:00:00,9.608,97.894,,,,,
39,07/09/22 02:00:00,8.965,97.270,,,,,
40,07/09/22 03:00:00,8.618,98.611,,,,,
41,07/09/22 04:00:00,6.839,97.624,,,,,
42,07/09/22 05:00:00,6.712,98.864,,,,,
43,07/09/22 06:00:00,7.091,99.043,,,,,
44,07/09/22 07:00:00,12.050,82.566,,,,,
45,07/09/22 08:00:00,15.843,63.148,,,,,
46,07/09/22 09:00:00,16.463,63.194,,,,,
47,07/09/22 10:00:00,16.654,62.483,,,,,
48,07/09/22 11:00:00,17.249,64.099,,,,,
49,07/09/22 12:00:00,19.032,55.230,,,,,
50,07/09/22 13:00:00,18.842,56.430,,,,,
51,07/09/22 14:00:00,19.460,57.746,,,,,
52,07/09/22 15:00:00,18.343,60.212,,,,,
53,07/09/22 16:00:00,19.365,54.323,,,,,
54,07/09/22 17:00:00,18.675,57.626,,,,,
55,07/09/22 18:00:00,17.891,60.922,,,,,
56,07/09/22 19:00:00,15.318,67.953,,,,,
57,07/09/22 20:00:00,14.170,73.809,,,,,
58,07/09/22 21:00:00,12.389,88.045,,,,,
59,07/09/22 22:00:00,11.540,92.480,,,,,
60,07/09/22 23:00:00,10.980,94.742,,,,,
61,07/10/22 00:00:00,10.075,94.604,,,,,
62,07/10/22 01:00:00,9.534,94.764,,,,,
63,07/10/22 02:00:00,8.145,95.074,,,,,
64,07/10/22 03:00:00,8.369,97.603,,,,,
65,07/10/22 04:00:00,8.020,97.704,,,,,
66,07/10/22 05:00:00,7.895,98.040,,,,,
67,07/10/22 06:00:00,7.745,98.270,,,,,
68,07/10/22 07:00:00,8.020,98.592,,,,,
69,07/10/22 08:00:00,9.188,98.325,,,,,
70,07/10/22 09:00:00,13.329,79.025,,,,,
71,07/10/22 10:00:00,15.390,55.060,,,,,
72,07/10/22 11:00:00,17.320,50.629,,,,,
73,07/10/22 12:00:00,18.461,56.219,,,,,
74,07/10/22 13:00:00,19.341,55.799,,,,,
75,07/10/22 14:00:00,20.031,54.976,,,,,
76,07/10/22 15:00:00,20.198,53.979,,,,,
77,07/10/22 16:00:00,19.936,57.544,,,,,
78,07/10/22 17:00:00,20.031,56.270,,,,,
79,07/10/22 18:00:00,19.318,60.640,,,,,
80,07/10/22 19:00:00,18.176,65.118,,,,,
81,07/10/22 20:00:00,17.034,70.012,,,,,
82,07/10/22 21:00:00,14.170,80.144,,,,,
83,07/10/22 22:00:00,10.590,93.159,,,,,
84,07/10/22 23:00:00,9.163,95.170,,,,,
85,07/11/22 00:00:00,9.336,95.971,,,,,
86,07/11/22 01:00:00,8.170,96.605,,,,,
87,07/11/22 02:00:00,8.767,89.041,,,,,
88,07/11/22 03:00:00,9.435,88.765,,,,,
89,07/11/22 04:00:00,8.618,88.511,,,,,
90,07/11/22 05:00:00,9.509,83.223,,,,,
91,07/11/22 06:00:00,10.051,80.658,,,,,
92,07/11/22 07:00:00,15.270,63.347,,,,,
93,07/11/22 08:00:00,22.657,39.513,,,,,
94,07/11/22 09:00:00,24.291,37.811,,,,,
95,07/11/22 10:00:00,25.987,35.790,,,,,
96,07/11/22 11:00:00,28.097,35.759,,,,,
97,07/11/22 12:00:00,29.916,31.392,,,,,
98,07/11/22 13:00:00,29.690,30.964,,,,,
99,07/11/22 14:00:00,30.748,28.650,,,,,
100,07/11/22 15:00:00,29.840,33.697,,,,,
101,07/11/22 16:00:00,29.340,37.086,,,,,
102,07/11/22 17:00:00,28.196,42.148,,,,,
103,07/11/22 18:00:00,26.793,46.392,,,,,
104,07/11/22 19:00:00,25.914,46.640,,,,,
105,07/11/22 20:00:00,25.065,50.123,,,,,
106,07/11/22 21:00:00,18.271,82.649,,,,,
107,07/11/22 22:00:00,12.847,93.616,,,,,
108,07/11/22 23:00:00,11.053,96.585,,,,,
109,07/12/22 00:00:00,9.928,96.482,,,,,
110,07/12/22 01:00:00,9.064,97.222,,,,,
111,07/12/22 02:00:00,8.344,97.497,,,,,
112,07/12/22 03:00:00,8.045,98.402,,,,,
113,07/12/22 04:00:00,6.687,97.828,,,,,
114,07/12/22 05:00:00,7.293,98.880,,,,,
115,07/12/22 06:00:00,6.813,98.843,,,,,
116,07/12/22 07:00:00,12.727,99.255,,,,,
117,07/12/22 08:00:00,24.388,79.201,,,,,
118,07/12/22 09:00:00,30.748,61.389,,,,,
119,07/12/22 10:00:00,35.716,53.775,,,,,
120,07/12/22 11:00:00,37.178,53.585,,,,,
121,07/12/22 12:00:00,38.868,49.395,,,,,
122,07/12/22 13:00:00,38.784,41.021,,,,,
123,07/12/22 14:00:00,38.004,42.664,,,,,
124,07/12/22 15:00:00,36.851,42.032,,,,,
125,07/12/22 16:00:00,34.757,42.006,,,,,
126,07/12/22 17:00:00,29.790,45.352,,,,,
127,07/12/22 18:00:00,25.453,51.288,,,,,
128,07/12/22 19:00:00,19.532,67.221,,,,,
129,07/12/22 20:00:00,16.010,80.268,,,,,
130,07/12/22 21:00:00,12.727,91.226,,,,,
131,07/12/22 22:00:00,10.394,93.543,,,,,
132,07/12/22 23:00:00,8.693,95.873,,,,,
133,07/13/22 00:00:00,7.670,97.064,,,,,
134,07/13/22 01:00:00,6.382,97.301,,,,,
135,07/13/22 02:00:00,3.985,96.809,,,,,
136,07/13/22 03:00:00,4.973,98.520,,,,,
137,07/13/22 04:00:00,9.089,98.990,,,,,
138,07/13/22 05:00:00,4.844,96.631,,,,,
139,07/13/22 06:00:00,3.722,98.313,,,,,
140,07/13/22 07:00:00,9.040,99.272,,,,,
141,07/13/22 08:00:00,12.968,99.171,,,,,
142,07/13/22 09:00:00,25.525,82.645,,,,,
143,07/13/22 10:00:00,29.490,52.024,,,,,
144,07/13/22 11:00:00,31.868,46.716,,,,,
145,07/13/22 12:00:00,35.022,43.609,,,,,
146,07/13/22 13:00:00,33.887,37.535,,,,,
147,07/13/22 14:00:00,33.783,37.728,,,,,
148,07/13/22 15:00:00,33.940,42.987,,,,,
149,07/13/22 16:00:00,30.874,41.782,,,,,
150,07/13/22 17:00:00,27.063,48.299,,,,,
151,07/13/22 18:00:00,21.891,55.216,,,,,
152,07/13/22 19:00:00,16.201,72.273,,,,,
153,07/13/22 20:00:00,12.992,81.638,,,,,
154,07/13/22 21:00:00,10.051,90.008,,,,,
155,07/13/22 22:00:00,7.720,93.679,,,,,
156,07/13/22 23:00:00,4.844,96.165,,,,,
157,07/14/22 00:00:00,3.538,95.048,,,,,
158,07/14/22 01:00:00,2.610,96.502,,,,,
159,07/14/22 02:00:00,3.301,97.566,,,,,
160,07/14/22 03:00:00,7.820,98.758,,,,,
161,07/14/22 04:00:00,2.557,98.129,,,,,
162,07/14/22 05:00:00,5.076,98.452,,,,,
163,07/14/22 06:00:00,4.089,98.223,,,,,
164,07/14/22 07:00:00,9.015,99.117,,,,,
165,07/14/22 08:00:00,18.747,98.506,,,,,
166,07/14/22 09:00:00,25.428,74.153,,,,,
167,07/14/22 10:00:00,30.773,48.281,,,,,
168,07/14/22 11:00:00,35.422,48.863,,,,,
169,07/14/22 12:00:00,37.618,43.498,,,,,
170,07/14/22 13:00:00,38.170,38.162,,,,,
171,07/14/22 14:00:00,38.365,41.044,,,,,
172,07/14/22 15:00:00,36.960,42.314,,,,,
173,07/14/22 16:00:00,34.045,41.225,,,,,
174,07/14/22 17:00:00,29.640,46.935,,,,,
175,07/14/22 18:00:00,24.267,50.780,,,,,
176,07/14/22 19:00:00,18.271,64.897,,,,,
177,07/14/22 20:00:00,14.337,72.879,,,,,
178,07/14/22 21:00:00,10.883,83.297,,,,,
179,07/14/22 22:00:00,7.444,89.639,,,,,
180,07/14/22 23:00:00,6.408,94.784,,,,,
181,07/15/22 00:00:00,4.506,95.459,,,,,
182,07/15/22 01:00:00,3.406,96.040,,,,,
183,07/15/22 02:00:00,5.360,97.948,,,,,
184,07/15/22 03:00:00,5.282,98.510,,,,,
185,07/15/22 04:00:00,4.636,98.013,,,,,
186,07/15/22 05:00:00,4.350,98.393,,,,,
187,07/15/22 06:00:00,3.801,98.287,,,,,
188,07/15/22 07:00:00,11.175,99.025,,,,,
189,07/15/22 08:00:00,20.460,88.181,,,,,
190,07/15/22 09:00:00,26.134,56.086,,,,,
191,07/15/22 10:00:00,31.281,46.710,,,,,
192,07/15/22 11:00:00,35.155,41.983,,,,,
193,07/15/22 12:00:00,36.824,36.765,,,,,
194,07/15/22 13:00:00,38.588,40.490,,,,,
195,07/15/22 14:00:00,37.480,36.520,,,,,
196,07/15/22 15:00:00,36.254,34.792,,,,,
197,07/15/22 16:00:00,32.898,33.768,,,,,
198,07/15/22 17:00:00,28.493,36.333,,,,,
199,07/15/22 18:00:00,23.160,47.103,,,,,
200,07/15/22 19:00:00,17.915,60.655,,,,,
201,07/15/22 20:00:00,14.649,71.057,,,,,
202,07/15/22 21:00:00,11.662,83.556,,,,,
203,07/15/22 22:00:00,10.247,93.734,,,,,
204,07/15/22 23:00:00,7.419,93.675,,,,,
