"Plot Title: PPUPL12021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133750, SEN S/N: 20133750)","RH, % (LGR S/N: 20133750, SEN S/N: 20133750)","Coupler Detached (LGR S/N: 20133750)","Coupler Attached (LGR S/N: 20133750)","Host Connected (LGR S/N: 20133750)","Stopped (LGR S/N: 20133750)","End Of File (LGR S/N: 20133750)"
1,07/27/21 18:00:00,24.726,61.021,Logged,,,,
2,07/27/21 19:00:00,24.508,60.371,,,,,
3,07/27/21 20:00:00,24.219,61.369,,,,,
4,07/27/21 21:00:00,24.002,62.037,,,,,
5,07/27/21 22:00:00,23.713,62.447,,,,,
6,07/27/21 23:00:00,23.424,62.460,,,,,
7,07/28/21 00:00:00,23.136,62.383,,,,,
8,07/28/21 01:00:00,22.848,62.184,,,,,
9,07/28/21 02:00:00,22.561,62.076,,,,,
10,07/28/21 03:00:00,22.274,61.816,,,,,
11,07/28/21 04:00:00,21.987,61.769,,,,,
12,07/28/21 05:00:00,21.700,61.450,,,,,
13,07/28/21 06:00:00,21.413,61.039,,,,,
14,07/28/21 07:00:00,21.127,60.871,,,,,
15,07/28/21 08:00:00,20.913,61.473,,,,,
16,07/28/21 09:00:00,20.746,67.615,,,,,
17,07/28/21 10:00:00,21.318,48.428,,,,,
18,07/28/21 11:00:00,21.246,44.276,,,,,
19,07/28/21 12:00:00,21.939,44.871,,,,,
20,07/28/21 13:00:00,24.774,38.718,,,,,
21,07/28/21 14:00:00,29.140,32.888,,,,,
22,07/28/21 15:00:00,28.543,44.027,,,,,
23,07/28/21 16:00:00,31.996,43.698,,,,,
24,07/28/21 17:00:00,33.105,36.306,,,,,
25,07/28/21 18:00:00,27.751,35.926,,,,,
26,07/28/21 19:00:00,28.345,39.055,,,,,
27,07/28/21 20:00:00,29.015,36.283,,,,,
28,07/28/21 21:00:00,27.382,33.710,,,,,
29,07/28/21 22:00:00,26.134,36.637,,,,,
30,07/28/21 23:00:00,25.307,37.451,,,,,
31,07/29/21 00:00:00,24.195,38.164,,,,,
32,07/29/21 01:00:00,22.920,38.558,,,,,
33,07/29/21 02:00:00,21.676,38.821,,,,,
34,07/29/21 03:00:00,20.579,39.942,,,,,
35,07/29/21 04:00:00,19.603,40.709,,,,,
36,07/29/21 05:00:00,18.771,41.294,,,,,
37,07/29/21 06:00:00,18.081,41.473,,,,,
38,07/29/21 07:00:00,18.033,48.131,,,,,
39,07/29/21 08:00:00,18.818,53.967,,,,,
40,07/29/21 09:00:00,22.058,61.903,,,,,
41,07/29/21 10:00:00,25.404,36.665,,,,,
42,07/29/21 11:00:00,27.530,29.081,,,,,
43,07/29/21 12:00:00,29.265,28.122,,,,,
44,07/29/21 13:00:00,30.091,26.945,,,,,
45,07/29/21 14:00:00,29.941,31.258,,,,,
46,07/29/21 15:00:00,30.394,33.102,,,,,
47,07/29/21 16:00:00,30.066,33.717,,,,,
48,07/29/21 17:00:00,29.815,32.711,,,,,
49,07/29/21 18:00:00,28.692,32.442,,,,,
50,07/29/21 19:00:00,27.751,32.292,,,,,
51,07/29/21 20:00:00,25.890,34.412,,,,,
52,07/29/21 21:00:00,21.485,43.082,,,,,
53,07/29/21 22:00:00,18.699,50.286,,,,,
54,07/29/21 23:00:00,17.463,53.772,,,,,
55,07/30/21 00:00:00,16.606,59.513,,,,,
56,07/30/21 01:00:00,17.082,61.719,,,,,
57,07/30/21 02:00:00,16.392,67.829,,,,,
58,07/30/21 03:00:00,17.249,59.675,,,,,
59,07/30/21 04:00:00,17.058,56.953,,,,,
60,07/30/21 05:00:00,16.582,64.428,,,,,
61,07/30/21 06:00:00,18.152,52.945,,,,,
62,07/30/21 07:00:00,19.817,64.329,,,,,
63,07/30/21 08:00:00,22.968,46.215,,,,,
64,07/30/21 09:00:00,27.677,35.718,,,,,
65,07/30/21 10:00:00,29.916,32.957,,,,,
66,07/30/21 11:00:00,33.313,24.252,,,,,
67,07/30/21 12:00:00,33.548,23.636,,,,,
68,07/30/21 13:00:00,34.810,21.742,,,,,
69,07/30/21 14:00:00,35.609,20.940,,,,,
70,07/30/21 15:00:00,33.313,22.988,,,,,
71,07/30/21 16:00:00,31.153,37.400,,,,,
72,07/30/21 17:00:00,30.950,37.884,,,,,
73,07/30/21 18:00:00,28.171,41.090,,,,,
74,07/30/21 19:00:00,26.426,43.912,,,,,
75,07/30/21 20:00:00,26.329,44.812,,,,,
76,07/30/21 21:00:00,23.136,51.481,,,,,
77,07/30/21 22:00:00,21.795,55.171,,,,,
78,07/30/21 23:00:00,20.484,60.161,,,,,
79,07/31/21 00:00:00,20.865,61.617,,,,,
80,07/31/21 01:00:00,21.437,62.830,,,,,
81,07/31/21 02:00:00,20.436,65.629,,,,,
82,07/31/21 03:00:00,22.633,50.782,,,,,
83,07/31/21 04:00:00,23.352,46.037,,,,,
84,07/31/21 05:00:00,23.617,42.192,,,,,
85,07/31/21 06:00:00,24.195,44.204,,,,,
86,07/31/21 07:00:00,24.436,38.123,,,,,
87,07/31/21 08:00:00,21.939,54.291,,,,,
88,07/31/21 09:00:00,23.761,48.296,,,,,
89,07/31/21 10:00:00,22.657,53.707,,,,,
90,07/31/21 11:00:00,26.818,38.101,,,,,
91,07/31/21 12:00:00,25.793,40.733,,,,,
92,07/31/21 13:00:00,24.774,48.841,,,,,
93,07/31/21 14:00:00,27.210,36.275,,,,,
94,07/31/21 15:00:00,27.702,34.244,,,,,
95,07/31/21 16:00:00,27.087,36.831,,,,,
96,07/31/21 17:00:00,27.653,38.850,,,,,
97,07/31/21 18:00:00,23.569,63.092,,,,,
98,07/31/21 19:00:00,23.930,56.075,,,,,
99,07/31/21 20:00:00,21.509,69.320,,,,,
100,07/31/21 21:00:00,21.819,56.938,,,,,
101,07/31/21 22:00:00,20.174,71.155,,,,,
102,07/31/21 23:00:00,19.698,78.844,,,,,
103,08/01/21 00:00:00,19.579,77.317,,,,,
104,08/01/21 01:00:00,19.199,76.499,,,,,
105,08/01/21 02:00:00,19.199,80.511,,,,,
106,08/01/21 03:00:00,18.675,81.097,,,,,
107,08/01/21 04:00:00,19.175,76.778,,,,,
108,08/01/21 05:00:00,18.699,79.619,,,,,
109,08/01/21 06:00:00,18.224,81.333,,,,,
110,08/01/21 07:00:00,18.818,83.296,,,,,
111,08/01/21 08:00:00,20.222,80.732,,,,,
