"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9905286, SEN S/N: 9905286)","RH, % (LGR S/N: 9905286, SEN S/N: 9905286)","Coupler Detached (LGR S/N: 9905286)","Coupler Attached (LGR S/N: 9905286)","Host Connected (LGR S/N: 9905286)","Stopped (LGR S/N: 9905286)","End Of File (LGR S/N: 9905286)"
1,06/09/20 13:00:00,21.891,56.671,Logged,,,,
2,06/09/20 13:30:00,21.318,57.386,,,,,
3,06/09/20 14:00:00,20.889,57.966,,,,,
4,06/09/20 14:30:00,20.627,58.446,,,,,
5,06/09/20 15:00:00,20.436,58.691,,,,,
6,06/09/20 15:30:00,20.317,58.825,,,,,
7,06/09/20 16:00:00,20.246,58.966,,,,,
8,06/09/20 16:30:00,20.222,59.054,,,,,
9,06/09/20 17:00:00,20.198,59.203,,,,,
10,06/09/20 17:30:00,20.222,59.267,,,,,
11,06/09/20 18:00:00,20.246,59.332,,,,,
12,06/09/20 18:30:00,20.293,59.400,,,,,
13,06/09/20 19:00:00,20.317,59.465,,,,,
14,06/09/20 19:30:00,20.365,59.533,,,,,
15,06/09/20 20:00:00,20.341,59.712,,,,,
16,06/09/20 20:30:00,20.317,59.800,,,,,
17,06/09/20 21:00:00,20.293,59.887,,,,,
18,06/09/20 21:30:00,20.269,59.975,,,,,
19,06/09/20 22:00:00,20.246,60.092,,,,,
20,06/09/20 22:30:00,20.246,60.153,,,,,
21,06/09/20 23:00:00,20.246,60.214,,,,,
22,06/09/20 23:30:00,20.246,60.274,,,,,
23,06/10/20 00:00:00,20.269,60.339,,,,,
24,06/10/20 00:30:00,20.269,60.369,,,,,
25,06/10/20 01:00:00,20.269,60.430,,,,,
26,06/10/20 01:30:00,20.246,60.456,,,,,
27,06/10/20 02:00:00,20.246,60.456,,,,,
28,06/10/20 02:30:00,20.246,60.517,,,,,
29,06/10/20 03:00:00,20.222,60.513,,,,,
30,06/10/20 03:30:00,20.222,60.574,,,,,
31,06/10/20 04:00:00,20.198,60.600,,,,,
32,06/10/20 04:30:00,20.174,60.627,,,,,
33,06/10/20 05:00:00,20.174,60.688,,,,,
34,06/10/20 05:30:00,20.150,60.744,,,,,
35,06/10/20 06:00:00,20.126,60.801,,,,,
36,06/10/20 06:30:00,20.126,60.922,,,,,
37,06/10/20 07:00:00,20.174,61.142,,,,,
38,06/10/20 07:30:00,20.198,61.327,,,,,
39,06/10/20 08:00:00,20.198,61.448,,,,,
40,06/10/20 08:30:00,20.222,61.573,,,,,
41,06/10/20 09:00:00,20.222,61.663,,,,,
42,06/10/20 09:30:00,20.269,61.822,,,,,
43,06/10/20 10:00:00,20.293,61.977,,,,,
44,06/10/20 10:30:00,20.341,62.075,,,,,
45,06/10/20 11:00:00,20.388,62.204,,,,,
46,06/10/20 11:30:00,20.460,62.246,,,,,
47,06/10/20 12:00:00,20.555,62.382,,,,,
48,06/10/20 12:30:00,20.650,62.458,,,,,
49,06/10/20 13:00:00,20.817,62.546,,,,,
50,06/10/20 13:30:00,20.960,62.630,,,,,
51,06/10/20 14:00:00,21.127,62.658,,,,,
52,06/10/20 14:30:00,21.318,62.719,,,,,
53,06/10/20 15:00:00,21.509,62.600,,,,,
54,06/10/20 15:30:00,21.700,62.420,,,,,
55,06/10/20 16:00:00,21.939,62.398,,,,,
56,06/10/20 16:30:00,22.178,62.317,,,,,
57,06/10/20 17:00:00,22.393,62.048,,,,,
58,06/10/20 17:30:00,22.633,61.723,,,,,
59,06/10/20 18:00:00,22.848,61.758,,,,,
60,06/10/20 18:30:00,23.088,61.858,,,,,
61,06/10/20 19:00:00,23.256,61.671,,,,,
62,06/10/20 19:30:00,23.376,61.355,,,,,
63,06/10/20 20:00:00,23.448,60.969,,,,,
64,06/10/20 20:30:00,23.593,60.441,,,,,
65,06/10/20 21:00:00,23.761,59.854,,,,,
66,06/10/20 21:30:00,23.857,59.900,,,,,
67,06/10/20 22:00:00,23.905,59.907,,,,,
68,06/10/20 22:30:00,23.930,59.880,,,,,
69,06/10/20 23:00:00,23.905,59.877,,,,,
70,06/10/20 23:30:00,23.857,59.838,,,,,
71,06/11/20 00:00:00,23.809,59.800,,,,,
72,06/11/20 00:30:00,23.737,59.789,,,,,
73,06/11/20 01:00:00,23.665,59.747,,,,,
74,06/11/20 01:30:00,23.593,59.705,,,,,
75,06/11/20 02:00:00,23.521,59.663,,,,,
76,06/11/20 02:30:00,23.424,59.617,,,,,
77,06/11/20 03:00:00,23.304,59.567,,,,,
78,06/11/20 03:30:00,23.184,59.548,,,,,
79,06/11/20 04:00:00,23.040,59.526,,,,,
80,06/11/20 04:30:00,22.944,59.572,,,,,
81,06/11/20 05:00:00,22.800,58.043,,,,,
82,06/11/20 05:30:00,22.465,57.406,,,,,
83,06/11/20 06:00:00,22.058,57.406,,,,,
84,06/11/20 06:30:00,21.628,57.279,,,,,
85,06/11/20 07:00:00,21.199,57.522,,,,,
86,06/11/20 07:30:00,20.603,58.564,,,,,
87,06/11/20 08:00:00,19.984,59.777,,,,,
88,06/11/20 08:30:00,19.436,59.326,,,,,
89,06/11/20 09:00:00,18.985,60.073,,,,,
90,06/11/20 09:30:00,18.771,60.190,,,,,
91,06/11/20 10:00:00,18.747,60.639,,,,,
92,06/11/20 10:30:00,18.842,60.986,,,,,
93,06/11/20 11:00:00,17.415,73.284,,,,,
94,06/11/20 11:30:00,15.891,74.095,,,,,
95,06/11/20 12:00:00,17.225,89.110,,,,,
96,06/11/20 12:30:00,17.986,82.862,,,,,
97,06/11/20 13:00:00,20.841,68.697,,,,,
98,06/11/20 13:30:00,20.436,50.174,,,,,
