"Plot Title: PPUPL22021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133755, SEN S/N: 20133755, LBL: Temp)","RH, % (LGR S/N: 20133755, SEN S/N: 20133755, LBL: RH)","Coupler Detached (LGR S/N: 20133755)","Coupler Attached (LGR S/N: 20133755)","Host Connected (LGR S/N: 20133755)","Stopped (LGR S/N: 20133755)","End Of File (LGR S/N: 20133755)"
1,07/27/21 18:00:00,24.653,59.902,Logged,,,,
2,07/27/21 19:00:00,24.339,60.713,,,,,
3,07/27/21 20:00:00,24.243,61.311,,,,,
4,07/27/21 21:00:00,24.026,61.796,,,,,
5,07/27/21 22:00:00,23.737,62.177,,,,,
6,07/27/21 23:00:00,23.472,62.133,,,,,
7,07/28/21 00:00:00,23.232,62.094,,,,,
8,07/28/21 01:00:00,22.944,61.895,,,,,
9,07/28/21 02:00:00,22.681,61.791,,,,,
10,07/28/21 03:00:00,22.393,61.592,,,,,
11,07/28/21 04:00:00,22.106,61.546,,,,,
12,07/28/21 05:00:00,21.843,61.321,,,,,
13,07/28/21 06:00:00,21.533,60.997,,,,,
14,07/28/21 07:00:00,21.246,60.769,,,,,
15,07/28/21 08:00:00,21.032,61.099,,,,,
16,07/28/21 09:00:00,20.793,65.990,,,,,
17,07/28/21 10:00:00,21.795,53.491,,,,,
18,07/28/21 11:00:00,21.390,43.200,,,,,
19,07/28/21 12:00:00,23.761,40.611,,,,,
20,07/28/21 13:00:00,28.692,31.696,,,,,
21,07/28/21 14:00:00,32.510,28.443,,,,,
22,07/28/21 15:00:00,31.204,36.596,,,,,
23,07/28/21 16:00:00,35.904,33.764,,,,,
24,07/28/21 17:00:00,34.863,33.465,,,,,
25,07/28/21 18:00:00,28.916,33.748,,,,,
26,07/28/21 19:00:00,28.295,38.784,,,,,
27,07/28/21 20:00:00,29.090,35.787,,,,,
28,07/28/21 21:00:00,27.801,32.499,,,,,
29,07/28/21 22:00:00,25.089,39.343,,,,,
30,07/28/21 23:00:00,24.195,40.135,,,,,
31,07/29/21 00:00:00,23.040,41.478,,,,,
32,07/29/21 01:00:00,21.772,41.823,,,,,
33,07/29/21 02:00:00,20.603,41.918,,,,,
34,07/29/21 03:00:00,19.555,43.052,,,,,
35,07/29/21 04:00:00,18.652,43.778,,,,,
36,07/29/21 05:00:00,17.915,43.945,,,,,
37,07/29/21 06:00:00,17.391,43.375,,,,,
38,07/29/21 07:00:00,17.891,49.084,,,,,
39,07/29/21 08:00:00,18.129,55.741,,,,,
40,07/29/21 09:00:00,21.390,61.065,,,,,
41,07/29/21 10:00:00,23.954,46.657,,,,,
42,07/29/21 11:00:00,26.426,33.824,,,,,
43,07/29/21 12:00:00,28.692,30.641,,,,,
44,07/29/21 13:00:00,30.016,28.799,,,,,
45,07/29/21 14:00:00,30.419,28.900,,,,,
46,07/29/21 15:00:00,30.419,31.230,,,,,
47,07/29/21 16:00:00,30.646,32.341,,,,,
48,07/29/21 17:00:00,29.941,32.620,,,,,
49,07/29/21 18:00:00,28.866,32.356,,,,,
50,07/29/21 19:00:00,27.235,33.663,,,,,
51,07/29/21 20:00:00,24.388,38.118,,,,,
52,07/29/21 21:00:00,20.722,45.493,,,,,
53,07/29/21 22:00:00,18.985,50.199,,,,,
54,07/29/21 23:00:00,17.011,56.124,,,,,
55,07/30/21 00:00:00,16.225,60.502,,,,,
56,07/30/21 01:00:00,16.058,68.815,,,,,
57,07/30/21 02:00:00,14.936,73.082,,,,,
58,07/30/21 03:00:00,14.721,72.243,,,,,
59,07/30/21 04:00:00,15.055,67.934,,,,,
