"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20684633, SEN S/N: 20684633)","RH, % (LGR S/N: 20684633, SEN S/N: 20684633)","Coupler Detached (LGR S/N: 20684633)","Coupler Attached (LGR S/N: 20684633)","Host Connected (LGR S/N: 20684633)","Stopped (LGR S/N: 20684633)","End Of File (LGR S/N: 20684633)"
1,06/09/20 12:53:53,22.417,54.546,,,,,
2,06/09/20 12:54:01,,,Logged,,,,
3,06/09/20 13:23:53,21.318,52.612,,,,,
4,06/09/20 13:53:53,20.746,54.213,,,,,
5,06/09/20 14:23:53,20.484,55.073,,,,,
6,06/09/20 14:53:53,20.365,55.364,,,,,
7,06/09/20 15:23:53,20.293,55.539,,,,,
8,06/09/20 15:53:53,20.269,55.628,,,,,
9,06/09/20 16:23:53,20.269,55.782,,,,,
10,06/09/20 16:53:53,20.269,56.183,,,,,
11,06/09/20 17:23:53,20.293,56.371,,,,,
12,06/09/20 17:53:53,20.365,56.443,,,,,
13,06/09/20 18:23:53,20.412,56.727,,,,,
14,06/09/20 18:53:53,20.460,56.857,,,,,
15,06/09/20 19:23:53,20.460,57.041,,,,,
16,06/09/20 19:53:53,20.412,57.433,,,,,
17,06/09/20 20:23:53,20.365,57.579,,,,,
18,06/09/20 20:53:53,20.317,57.847,,,,,
19,06/09/20 21:23:53,20.293,58.088,,,,,
20,06/09/20 21:53:53,20.269,58.238,,,,,
21,06/09/20 22:23:53,20.269,58.238,,,,,
22,06/09/20 22:53:53,20.269,58.360,,,,,
23,06/09/20 23:23:53,20.269,58.360,,,,,
24,06/09/20 23:53:53,20.269,58.421,,,,,
25,06/10/20 00:23:53,20.269,58.421,,,,,
26,06/10/20 00:53:53,20.269,58.451,,,,,
27,06/10/20 01:23:53,20.269,58.421,,,,,
28,06/10/20 01:53:53,20.246,58.417,,,,,
29,06/10/20 02:23:53,20.222,58.475,,,,,
30,06/10/20 02:53:53,20.222,58.505,,,,,
31,06/10/20 03:23:53,20.198,58.593,,,,,
32,06/10/20 03:53:53,20.174,58.650,,,,,
33,06/10/20 04:23:53,20.174,58.711,,,,,
34,06/10/20 04:53:53,20.126,58.765,,,,,
35,06/10/20 05:23:53,20.126,58.917,,,,,
36,06/10/20 05:53:53,20.103,59.127,,,,,
37,06/10/20 06:23:53,20.126,59.344,,,,,
38,06/10/20 06:53:53,20.198,59.750,,,,,
39,06/10/20 07:23:53,20.222,60.028,,,,,
40,06/10/20 07:53:53,20.222,59.633,,,,,
41,06/10/20 08:23:53,20.246,59.636,,,,,
42,06/10/20 08:53:53,20.269,59.853,,,,,
43,06/10/20 09:23:53,20.317,59.921,,,,,
44,06/10/20 09:53:53,20.365,59.959,,,,,
45,06/10/20 10:23:53,20.412,60.088,,,,,
46,06/10/20 10:53:53,20.460,60.126,,,,,
47,06/10/20 11:23:53,20.555,60.172,,,,,
48,06/10/20 11:53:53,20.674,60.252,,,,,
49,06/10/20 12:23:53,20.817,60.275,,,,,
50,06/10/20 12:53:53,21.008,60.275,,,,,
51,06/10/20 13:23:53,21.223,60.096,,,,,
52,06/10/20 13:53:53,21.390,60.061,,,,,
53,06/10/20 14:23:53,21.628,59.916,,,,,
54,06/10/20 14:53:53,21.843,59.461,,,,,
55,06/10/20 15:23:53,22.058,59.005,,,,,
56,06/10/20 15:53:53,22.298,59.042,,,,,
57,06/10/20 16:23:53,22.585,58.779,,,,,
58,06/10/20 16:53:53,22.824,58.262,,,,,
59,06/10/20 17:23:53,23.040,57.647,,,,,
60,06/10/20 17:53:53,23.280,58.024,,,,,
61,06/10/20 18:23:53,23.497,58.304,,,,,
62,06/10/20 18:53:53,23.617,57.828,,,,,
63,06/10/20 19:23:53,23.713,57.223,,,,,
64,06/10/20 19:53:53,23.737,56.606,,,,,
65,06/10/20 20:23:53,23.881,55.132,,,,,
66,06/10/20 20:53:53,23.905,55.292,,,,,
67,06/10/20 21:23:53,23.881,56.005,,,,,
68,06/10/20 21:53:53,23.905,56.133,,,,,
69,06/10/20 22:23:53,23.905,56.227,,,,,
70,06/10/20 22:53:53,23.881,56.223,,,,,
71,06/10/20 23:23:53,23.857,56.188,,,,,
72,06/10/20 23:53:53,23.761,56.081,,,,,
73,06/11/20 00:23:53,23.713,56.074,,,,,
