"Plot Title: PPWET1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9905284, SEN S/N: 9905284, LBL: Temp)","RH, % (LGR S/N: 9905284, SEN S/N: 9905284, LBL: RH)","Coupler Detached (LGR S/N: 9905284)","Coupler Attached (LGR S/N: 9905284)","Host Connected (LGR S/N: 9905284)","Stopped (LGR S/N: 9905284)","End Of File (LGR S/N: 9905284)"
1,07/07/22 12:00:00,18.604,62.689,Logged,,,,
2,07/07/22 12:30:00,20.484,62.189,,,,,
3,07/07/22 13:00:00,19.413,59.687,,,,,
4,07/07/22 13:30:00,19.674,71.759,,,,,
5,07/07/22 14:00:00,19.698,59.398,,,,,
6,07/07/22 14:30:00,19.151,63.947,,,,,
7,07/07/22 15:00:00,19.222,70.771,,,,,
8,07/07/22 15:30:00,18.913,72.858,,,,,
9,07/07/22 16:00:00,19.841,83.109,,,,,
10,07/07/22 16:30:00,18.652,67.476,,,,,
11,07/07/22 17:00:00,21.199,56.444,,,,,
12,07/07/22 17:30:00,20.674,59.521,,,,,
13,07/07/22 18:00:00,24.050,56.590,,,,,
14,07/07/22 18:30:00,18.842,63.447,,,,,
15,07/07/22 19:00:00,16.939,69.733,,,,,
16,07/07/22 19:30:00,15.843,71.315,,,,,
17,07/07/22 20:00:00,14.721,76.902,,,,,
18,07/07/22 20:30:00,13.762,81.372,,,,,
19,07/07/22 21:00:00,12.799,84.329,,,,,
20,07/07/22 21:30:00,12.340,87.266,,,,,
21,07/07/22 22:00:00,11.807,88.352,,,,,
22,07/07/22 22:30:00,11.394,90.500,,,,,
23,07/07/22 23:00:00,11.053,90.311,,,,,
24,07/07/22 23:30:00,11.346,93.510,,,,,
25,07/08/22 00:00:00,11.516,94.092,,,,,
26,07/08/22 00:30:00,11.443,93.996,,,,,
27,07/08/22 01:00:00,11.273,93.695,,,,,
28,07/08/22 01:30:00,11.175,94.335,,,,,
29,07/08/22 02:00:00,11.200,94.749,,,,,
30,07/08/22 02:30:00,11.078,94.818,,,,,
31,07/08/22 03:00:00,11.102,95.105,,,,,
32,07/08/22 03:30:00,10.663,93.996,,,,,
33,07/08/22 04:00:00,10.100,93.797,,,,,
