"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10943617, SEN S/N: 10943617)","RH, % (LGR S/N: 10943617, SEN S/N: 10943617)","Coupler Detached (LGR S/N: 10943617)","Coupler Attached (LGR S/N: 10943617)","Host Connected (LGR S/N: 10943617)","Stopped (LGR S/N: 10943617)","End Of File (LGR S/N: 10943617)"
1,06/14/20 08:00:00,20.246,58.142,Logged,,,,
2,06/14/20 08:30:00,19.841,58.385,,,,,
3,06/14/20 09:00:00,19.627,58.657,,,,,
4,06/14/20 09:30:00,19.508,59.277,,,,,
5,06/14/20 10:00:00,19.436,59.630,,,,,
6,06/14/20 10:30:00,19.460,59.846,,,,,
7,06/14/20 11:00:00,19.484,59.910,,,,,
8,06/14/20 11:30:00,19.555,59.679,,,,,
9,06/14/20 12:00:00,19.627,59.539,,,,,
10,06/14/20 12:30:00,19.698,59.428,,,,,
11,06/14/20 13:00:00,19.841,59.633,,,,,
12,06/14/20 13:30:00,20.031,59.603,,,,,
13,06/14/20 14:00:00,20.198,59.355,,,,,
14,06/14/20 14:30:00,20.365,59.168,,,,,
15,06/14/20 15:00:00,20.507,58.916,,,,,
16,06/14/20 15:30:00,20.650,58.663,,,,,
17,06/14/20 16:00:00,20.841,58.265,,,,,
18,06/14/20 16:30:00,21.032,59.120,,,,,
19,06/14/20 17:00:00,21.175,59.051,,,,,
20,06/14/20 17:30:00,21.318,59.623,,,,,
21,06/14/20 18:00:00,21.485,58.425,,,,,
22,06/14/20 18:30:00,21.557,56.405,,,,,
23,06/14/20 19:00:00,21.652,55.150,,,,,
24,06/14/20 19:30:00,21.676,54.004,,,,,
25,06/14/20 20:00:00,21.700,53.821,,,,,
26,06/14/20 20:30:00,21.700,53.821,,,,,
27,06/14/20 21:00:00,21.724,54.260,,,,,
28,06/14/20 21:30:00,21.748,54.201,,,,,
29,06/14/20 22:00:00,21.748,53.952,,,,,
30,06/14/20 22:30:00,21.772,54.516,,,,,
31,06/14/20 23:00:00,21.795,54.892,,,,,
32,06/14/20 23:30:00,21.795,55.140,,,,,
33,06/15/20 00:00:00,21.795,55.202,,,,,
34,06/15/20 00:30:00,21.772,55.106,,,,,
35,06/15/20 01:00:00,21.724,55.564,,,,,
36,06/15/20 01:30:00,21.700,56.179,,,,,
37,06/15/20 02:00:00,21.652,56.605,,,,,
38,06/15/20 02:30:00,21.604,56.937,,,,,
39,06/15/20 03:00:00,21.557,57.176,,,,,
40,06/15/20 03:30:00,21.509,57.323,,,,,
41,06/15/20 04:00:00,21.437,57.466,,,,,
42,06/15/20 04:30:00,21.366,57.639,,,,,
43,06/15/20 05:00:00,21.318,57.632,,,,,
44,06/15/20 05:30:00,21.223,57.618,,,,,
45,06/15/20 06:00:00,21.127,57.849,,,,,
46,06/15/20 06:30:00,21.008,58.229,,,,,
47,06/15/20 07:00:00,19.793,59.717,,,,,
48,06/15/20 07:30:00,20.198,54.165,,,,,
49,06/15/20 08:00:00,22.393,50.340,,,,,
50,06/15/20 08:30:00,20.603,52.263,,,,,
51,06/15/20 09:00:00,19.984,58.926,,,,,
52,06/15/20 09:30:00,19.532,61.520,,,,,
53,06/15/20 10:00:00,19.080,63.696,,,,,
54,06/15/20 10:30:00,18.723,65.035,,,,,
55,06/15/20 11:00:00,18.438,66.140,,,,,
56,06/15/20 11:30:00,18.271,66.671,,,,,
57,06/15/20 12:00:00,18.319,67.651,,,,,
58,06/15/20 12:30:00,18.319,67.680,,,,,
59,06/15/20 13:00:00,18.319,67.210,,,,,
60,06/15/20 13:30:00,18.295,68.292,,,,,
61,06/15/20 14:00:00,18.152,67.151,,,,,
62,06/15/20 14:30:00,17.915,71.192,,,,,
63,06/15/20 15:00:00,17.819,71.347,,,,,
64,06/15/20 15:30:00,17.891,70.666,,,,,
65,06/15/20 16:00:00,18.010,70.136,,,,,
66,06/15/20 16:30:00,18.057,69.359,,,,,
67,06/15/20 17:00:00,18.033,68.566,,,,,
68,06/15/20 17:30:00,18.010,67.918,,,,,
69,06/15/20 18:00:00,17.986,67.591,,,,,
70,06/15/20 18:30:00,17.938,66.995,,,,,
71,06/15/20 19:00:00,17.891,66.633,,,,,
72,06/15/20 19:30:00,17.819,66.297,,,,,
73,06/15/20 20:00:00,17.772,66.023,,,,,
74,06/15/20 20:30:00,17.724,65.719,,,,,
75,06/15/20 21:00:00,17.677,65.416,,,,,
76,06/15/20 21:30:00,17.605,65.167,,,,,
77,06/15/20 22:00:00,17.558,64.774,,,,,
78,06/15/20 22:30:00,17.486,64.554,,,,,
79,06/15/20 23:00:00,17.415,64.246,,,,,
80,06/15/20 23:30:00,17.368,63.911,,,,,
81,06/16/20 00:00:00,17.272,63.657,,,,,
82,06/16/20 00:30:00,17.225,63.412,,,,,
83,06/16/20 01:00:00,17.153,63.281,,,,,
84,06/16/20 01:30:00,17.082,63.090,,,,,
85,06/16/20 02:00:00,17.011,62.900,,,,,
86,06/16/20 02:30:00,16.939,62.769,,,,,
87,06/16/20 03:00:00,16.868,62.667,,,,,
88,06/16/20 03:30:00,16.796,62.447,,,,,
89,06/16/20 04:00:00,16.725,62.346,,,,,
90,06/16/20 04:30:00,16.654,62.185,,,,,
91,06/16/20 05:00:00,16.582,62.084,,,,,
92,06/16/20 05:30:00,16.534,62.046,,,,,
93,06/16/20 06:00:00,16.463,61.945,,,,,
94,06/16/20 06:30:00,16.392,61.784,,,,,
95,06/16/20 07:00:00,16.320,61.712,,,,,
96,06/16/20 07:30:00,16.225,62.500,,,,,
97,06/16/20 08:00:00,16.344,62.936,,,,,
98,06/16/20 08:30:00,17.034,62.189,,,,,
99,06/16/20 09:00:00,18.010,61.001,,,,,
100,06/16/20 09:30:00,18.533,59.759,,,,,
101,06/16/20 10:00:00,18.842,59.354,,,,,
102,06/16/20 10:30:00,19.103,59.031,,,,,
103,06/16/20 11:00:00,19.270,58.784,,,,,
104,06/16/20 11:30:00,19.389,59.106,,,,,
105,06/16/20 12:00:00,19.484,59.030,,,,,
106,06/16/20 12:30:00,19.555,59.072,,,,,
107,06/16/20 13:00:00,19.603,59.170,,,,,
108,06/16/20 13:30:00,19.603,59.474,,,,,
109,06/16/20 14:00:00,19.627,59.174,,,,,
110,06/16/20 14:30:00,19.698,59.246,,,,,
111,06/16/20 15:00:00,19.651,59.694,,,,,
112,06/16/20 15:30:00,19.698,59.823,,,,,
113,06/16/20 16:00:00,19.651,59.907,,,,,
114,06/16/20 16:30:00,19.722,59.675,,,,,
115,06/16/20 17:00:00,19.698,59.762,,,,,
