"Plot Title: UPLSHS2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10560917, SEN S/N: 10560917)","RH, % (LGR S/N: 10560917, SEN S/N: 10560917)","Coupler Detached (LGR S/N: 10560917)","Coupler Attached (LGR S/N: 10560917)","Host Connected (LGR S/N: 10560917)","Stopped (LGR S/N: 10560917)","End Of File (LGR S/N: 10560917)"
1,07/27/21 18:00:00,25.380,58.406,Logged,,,,
2,07/27/21 19:00:00,24.557,61.116,,,,,
3,07/27/21 20:00:00,24.219,61.919,,,,,
4,07/27/21 21:00:00,24.026,62.193,,,,,
5,07/27/21 22:00:00,23.785,62.337,,,,,
6,07/27/21 23:00:00,23.521,62.324,,,,,
7,07/28/21 00:00:00,23.280,62.224,,,,,
8,07/28/21 01:00:00,23.016,62.059,,,,,
9,07/28/21 02:00:00,22.753,61.894,,,,,
10,07/28/21 03:00:00,22.465,61.695,,,,,
11,07/28/21 04:00:00,22.178,61.588,,,,,
12,07/28/21 05:00:00,21.891,61.389,,,,,
13,07/28/21 06:00:00,21.604,61.130,,,,,
14,07/28/21 07:00:00,21.318,60.902,,,,,
15,07/28/21 08:00:00,21.079,61.167,,,,,
16,07/28/21 09:00:00,20.865,64.178,,,,,
17,07/28/21 10:00:00,21.366,57.086,,,,,
18,07/28/21 11:00:00,21.270,44.439,,,,,
19,07/28/21 12:00:00,21.843,45.725,,,,,
20,07/28/21 13:00:00,24.774,37.629,,,,,
21,07/28/21 14:00:00,29.090,33.493,,,,,
22,07/28/21 15:00:00,28.941,42.692,,,,,
23,07/28/21 16:00:00,32.639,41.675,,,,,
24,07/28/21 17:00:00,33.940,35.706,,,,,
25,07/28/21 18:00:00,30.293,32.208,,,,,
26,07/28/21 19:00:00,28.593,39.147,,,,,
27,07/28/21 20:00:00,29.090,37.898,,,,,
28,07/28/21 21:00:00,27.530,35.034,,,,,
29,07/28/21 22:00:00,24.968,40.349,,,,,
30,07/28/21 23:00:00,24.002,41.160,,,,,
31,07/29/21 00:00:00,22.800,42.360,,,,,
32,07/29/21 01:00:00,21.581,42.642,,,,,
33,07/29/21 02:00:00,20.460,42.642,,,,,
34,07/29/21 03:00:00,19.484,43.716,,,,,
35,07/29/21 04:00:00,18.580,44.279,,,,,
36,07/29/21 05:00:00,17.843,44.477,,,,,
37,07/29/21 06:00:00,17.272,43.964,,,,,
38,07/29/21 07:00:00,17.748,49.659,,,,,
39,07/29/21 08:00:00,17.605,59.883,,,,,
40,07/29/21 09:00:00,22.920,58.215,,,,,
41,07/29/21 10:00:00,23.448,48.862,,,,,
42,07/29/21 11:00:00,25.404,43.989,,,,,
43,07/29/21 12:00:00,27.284,36.049,,,,,
44,07/29/21 13:00:00,29.140,33.802,,,,,
45,07/29/21 14:00:00,30.117,34.399,,,,,
46,07/29/21 15:00:00,30.117,35.548,,,,,
47,07/29/21 16:00:00,29.615,36.072,,,,,
48,07/29/21 17:00:00,28.866,36.771,,,,,
49,07/29/21 18:00:00,27.505,37.738,,,,,
50,07/29/21 19:00:00,25.793,41.750,,,,,
51,07/29/21 20:00:00,23.232,43.930,,,,,
52,07/29/21 21:00:00,19.603,55.253,,,,,
53,07/29/21 22:00:00,17.130,61.038,,,,,
54,07/29/21 23:00:00,15.509,66.561,,,,,
55,07/30/21 00:00:00,14.577,70.528,,,,,
56,07/30/21 01:00:00,13.786,74.887,,,,,
57,07/30/21 02:00:00,13.305,79.901,,,,,
58,07/30/21 03:00:00,13.353,79.746,,,,,
59,07/30/21 04:00:00,13.137,80.796,,,,,
60,07/30/21 05:00:00,12.920,83.197,,,,,
61,07/30/21 06:00:00,12.678,82.573,,,,,
62,07/30/21 07:00:00,14.098,92.381,,,,,
63,07/30/21 08:00:00,19.199,78.683,,,,,
64,07/30/21 09:00:00,21.795,71.461,,,,,
65,07/30/21 10:00:00,29.090,34.507,,,,,
66,07/30/21 11:00:00,31.077,27.917,,,,,
67,07/30/21 12:00:00,31.714,25.817,,,,,
68,07/30/21 13:00:00,32.175,25.710,,,,,
69,07/30/21 14:00:00,32.717,23.581,,,,,
70,07/30/21 15:00:00,31.535,24.899,,,,,
71,07/30/21 16:00:00,30.117,30.863,,,,,
72,07/30/21 17:00:00,29.040,43.526,,,,,
73,07/30/21 18:00:00,27.554,48.265,,,,,
74,07/30/21 19:00:00,25.453,53.062,,,,,
75,07/30/21 20:00:00,24.219,59.402,,,,,
76,07/30/21 21:00:00,21.437,63.975,,,,,
77,07/30/21 22:00:00,19.436,69.175,,,,,
78,07/30/21 23:00:00,18.461,74.064,,,,,
79,07/31/21 00:00:00,17.962,79.853,,,,,
80,07/31/21 01:00:00,18.033,79.645,,,,,
81,07/31/21 02:00:00,17.938,83.733,,,,,
82,07/31/21 03:00:00,19.056,75.985,,,,,
83,07/31/21 04:00:00,20.555,62.503,,,,,
84,07/31/21 05:00:00,20.007,60.449,,,,,
85,07/31/21 06:00:00,23.184,51.772,,,,,
86,07/31/21 07:00:00,20.865,61.556,,,,,
87,07/31/21 08:00:00,20.579,63.710,,,,,
88,07/31/21 09:00:00,20.603,72.227,,,,,
89,07/31/21 10:00:00,21.437,63.373,,,,,
90,07/31/21 11:00:00,24.847,44.443,,,,,
91,07/31/21 12:00:00,22.705,60.911,,,,,
92,07/31/21 13:00:00,22.609,69.877,,,,,
93,07/31/21 14:00:00,22.226,70.396,,,,,
94,07/31/21 15:00:00,25.914,41.993,,,,,
95,07/31/21 16:00:00,26.646,38.680,,,,,
96,07/31/21 17:00:00,26.134,49.369,,,,,
97,07/31/21 18:00:00,23.521,63.297,,,,,
98,07/31/21 19:00:00,22.011,70.856,,,,,
99,07/31/21 20:00:00,20.913,76.247,,,,,
100,07/31/21 21:00:00,19.960,73.582,,,,,
101,07/31/21 22:00:00,19.222,81.440,,,,,
102,07/31/21 23:00:00,19.912,79.539,,,,,
103,08/01/21 00:00:00,18.794,82.931,,,,,
104,08/01/21 01:00:00,19.912,77.698,,,,,
105,08/01/21 02:00:00,20.246,76.770,,,,,
106,08/01/21 03:00:00,18.961,82.107,,,,,
107,08/01/21 04:00:00,18.057,85.980,,,,,
108,08/01/21 05:00:00,17.772,86.758,,,,,
109,08/01/21 06:00:00,17.415,87.432,,,,,
110,08/01/21 07:00:00,17.439,90.713,,,,,
111,08/01/21 08:00:00,19.199,87.420,,,,,
112,08/01/21 09:00:00,21.103,80.499,,,,,
113,08/01/21 10:00:00,21.366,79.337,,,,,
114,08/01/21 11:00:00,22.369,76.312,,,,,
115,08/01/21 12:00:00,24.363,69.337,,,,,
116,08/01/21 13:00:00,26.182,62.299,,,,,
117,08/01/21 14:00:00,26.793,59.089,,,,,
118,08/01/21 15:00:00,26.916,55.446,,,,,
119,08/01/21 16:00:00,26.769,55.676,,,,,
120,08/01/21 17:00:00,25.987,57.814,,,,,
121,08/01/21 18:00:00,24.726,61.389,,,,,
122,08/01/21 19:00:00,22.824,65.955,,,,,
123,08/01/21 20:00:00,20.436,72.050,,,,,
124,08/01/21 21:00:00,17.201,80.804,,,,,
125,08/01/21 22:00:00,15.199,86.692,,,,,
126,08/01/21 23:00:00,14.122,86.223,,,,,
127,08/02/21 00:00:00,13.161,87.702,,,,,
128,08/02/21 01:00:00,12.389,89.047,,,,,
129,08/02/21 02:00:00,12.001,90.183,,,,,
130,08/02/21 03:00:00,12.606,94.608,,,,,
131,08/02/21 04:00:00,12.098,92.002,,,,,
132,08/02/21 05:00:00,11.662,93.309,,,,,
133,08/02/21 06:00:00,11.832,93.739,,,,,
134,08/02/21 07:00:00,12.630,95.790,,,,,
135,08/02/21 08:00:00,15.461,97.083,,,,,
136,08/02/21 09:00:00,18.723,86.926,,,,,
137,08/02/21 10:00:00,22.800,60.560,,,,,
138,08/02/21 11:00:00,26.744,38.392,,,,,
139,08/02/21 12:00:00,29.665,27.775,,,,,
140,08/02/21 13:00:00,31.382,21.881,,,,,
141,08/02/21 14:00:00,31.052,22.421,,,,,
142,08/02/21 15:00:00,31.306,29.521,,,,,
143,08/02/21 16:00:00,30.293,46.198,,,,,
144,08/02/21 17:00:00,28.692,50.247,,,,,
145,08/02/21 18:00:00,27.112,57.233,,,,,
146,08/02/21 19:00:00,25.477,61.694,,,,,
147,08/02/21 20:00:00,23.521,66.826,,,,,
148,08/02/21 21:00:00,20.603,74.834,,,,,
149,08/02/21 22:00:00,18.699,78.041,,,,,
150,08/02/21 23:00:00,17.701,83.267,,,,,
151,08/03/21 00:00:00,17.629,76.263,,,,,
152,08/03/21 01:00:00,18.652,76.501,,,,,
153,08/03/21 02:00:00,18.461,82.053,,,,,
154,08/03/21 03:00:00,18.343,79.795,,,,,
155,08/03/21 04:00:00,16.630,82.806,,,,,
156,08/03/21 05:00:00,15.366,83.153,,,,,
157,08/03/21 06:00:00,14.840,84.123,,,,,
158,08/03/21 07:00:00,15.031,87.002,,,,,
159,08/03/21 08:00:00,17.772,91.089,,,,,
160,08/03/21 09:00:00,21.581,73.579,,,,,
161,08/03/21 10:00:00,24.195,64.016,,,,,
162,08/03/21 11:00:00,26.036,56.666,,,,,
163,08/03/21 12:00:00,27.727,53.410,,,,,
164,08/03/21 13:00:00,29.065,52.063,,,,,
165,08/03/21 14:00:00,29.090,52.993,,,,,
166,08/03/21 15:00:00,27.949,56.068,,,,,
167,08/03/21 16:00:00,25.598,59.834,,,,,
168,08/03/21 17:00:00,25.137,58.059,,,,,
169,08/03/21 18:00:00,24.050,58.728,,,,,
170,08/03/21 19:00:00,22.274,62.211,,,,,
171,08/03/21 20:00:00,20.055,66.484,,,,,
172,08/03/21 21:00:00,17.510,74.133,,,,,
173,08/03/21 22:00:00,15.366,80.515,,,,,
174,08/03/21 23:00:00,14.098,85.115,,,,,
175,08/04/21 00:00:00,12.847,85.227,,,,,
176,08/04/21 01:00:00,11.953,89.465,,,,,
177,08/04/21 02:00:00,11.637,89.910,,,,,
178,08/04/21 03:00:00,11.492,91.071,,,,,
179,08/04/21 04:00:00,11.078,91.329,,,,,
180,08/04/21 05:00:00,10.712,92.267,,,,,
181,08/04/21 06:00:00,10.100,91.158,,,,,
182,08/04/21 07:00:00,11.078,95.580,,,,,
183,08/04/21 08:00:00,14.816,97.038,,,,,
184,08/04/21 09:00:00,18.652,81.176,,,,,
185,08/04/21 10:00:00,23.112,65.343,,,,,
186,08/04/21 11:00:00,25.089,50.795,,,,,
187,08/04/21 12:00:00,27.481,47.545,,,,,
188,08/04/21 13:00:00,28.766,42.244,,,,,
189,08/04/21 14:00:00,29.515,38.609,,,,,
190,08/04/21 15:00:00,29.439,38.100,,,,,
191,08/04/21 16:00:00,29.240,41.305,,,,,
192,08/04/21 17:00:00,27.875,43.360,,,,,
193,08/04/21 18:00:00,26.500,46.583,,,,,
194,08/04/21 19:00:00,24.702,50.330,,,,,
195,08/04/21 20:00:00,22.226,56.319,,,,,
196,08/04/21 21:00:00,19.484,61.181,,,,,
197,08/04/21 22:00:00,16.249,70.327,,,,,
198,08/04/21 23:00:00,14.122,77.419,,,,,
199,08/05/21 00:00:00,13.185,78.966,,,,,
200,08/05/21 01:00:00,12.534,81.427,,,,,
201,08/05/21 02:00:00,11.807,85.411,,,,,
202,08/05/21 03:00:00,11.175,84.996,,,,,
203,08/05/21 04:00:00,10.541,86.834,,,,,
204,08/05/21 05:00:00,10.149,91.196,,,,,
205,08/05/21 06:00:00,10.001,91.056,,,,,
206,08/05/21 07:00:00,10.222,94.288,,,,,
207,08/05/21 08:00:00,12.268,96.025,,,,,
208,08/05/21 09:00:00,15.223,86.590,,,,,
209,08/05/21 10:00:00,18.509,67.215,,,,,
210,08/05/21 11:00:00,20.460,61.248,,,,,
211,08/05/21 12:00:00,21.437,62.134,,,,,
212,08/05/21 13:00:00,22.274,60.385,,,,,
213,08/05/21 14:00:00,22.896,58.181,,,,,
214,08/05/21 15:00:00,21.987,60.461,,,,,
215,08/05/21 16:00:00,21.223,61.220,,,,,
216,08/05/21 17:00:00,20.031,65.023,,,,,
217,08/05/21 18:00:00,19.484,67.625,,,,,
218,08/05/21 19:00:00,18.224,72.810,,,,,
219,08/05/21 20:00:00,17.011,80.790,,,,,
220,08/05/21 21:00:00,15.772,87.124,,,,,
221,08/05/21 22:00:00,14.840,89.543,,,,,
222,08/05/21 23:00:00,14.409,91.754,,,,,
223,08/06/21 00:00:00,13.954,94.033,,,,,
224,08/06/21 01:00:00,13.666,95.759,,,,,
225,08/06/21 02:00:00,13.257,96.620,,,,,
226,08/06/21 03:00:00,12.944,97.298,,,,,
227,08/06/21 04:00:00,12.871,97.734,,,,,
228,08/06/21 05:00:00,12.775,98.011,,,,,
229,08/06/21 06:00:00,12.823,98.226,,,,,
230,08/06/21 07:00:00,12.968,98.366,,,,,
231,08/06/21 08:00:00,13.305,98.610,,,,,
232,08/06/21 09:00:00,14.098,98.726,,,,,
