"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133751, SEN S/N: 20133751)","RH, % (LGR S/N: 20133751, SEN S/N: 20133751)","Coupler Detached (LGR S/N: 20133751)","Coupler Attached (LGR S/N: 20133751)","Host Connected (LGR S/N: 20133751)","Stopped (LGR S/N: 20133751)","End Of File (LGR S/N: 20133751)"
1,06/09/20 13:00:00,24.050,43.086,Logged,,,,
2,06/09/20 13:30:00,20.841,54.009,,,,,
3,06/09/20 14:00:00,20.293,56.125,,,,,
4,06/09/20 14:30:00,20.079,56.953,,,,,
5,06/09/20 15:00:00,20.031,57.252,,,,,
6,06/09/20 15:30:00,20.055,57.348,,,,,
7,06/09/20 16:00:00,20.079,57.505,,,,,
8,06/09/20 16:30:00,20.103,57.723,,,,,
9,06/09/20 17:00:00,20.126,57.849,,,,,
10,06/09/20 17:30:00,20.198,57.768,,,,,
11,06/09/20 18:00:00,20.269,57.687,,,,,
12,06/09/20 18:30:00,20.341,57.698,,,,,
13,06/09/20 19:00:00,20.388,57.644,,,,,
14,06/09/20 19:30:00,20.317,58.184,,,,,
15,06/09/20 20:00:00,20.246,58.661,,,,,
16,06/09/20 20:30:00,20.198,58.868,,,,,
17,06/09/20 21:00:00,20.174,59.047,,,,,
18,06/09/20 21:30:00,20.150,59.195,,,,,
19,06/09/20 22:00:00,20.150,59.256,,,,,
20,06/09/20 22:30:00,20.174,59.077,,,,,
21,06/09/20 23:00:00,20.198,59.081,,,,,
22,06/09/20 23:30:00,20.198,59.111,,,,,
23,06/10/20 00:00:00,20.198,59.142,,,,,
24,06/10/20 00:30:00,20.198,59.142,,,,,
25,06/10/20 01:00:00,20.198,59.172,,,,,
26,06/10/20 01:30:00,20.174,59.169,,,,,
27,06/10/20 02:00:00,20.174,59.169,,,,,
28,06/10/20 02:30:00,20.150,59.226,,,,,
29,06/10/20 03:00:00,20.126,59.252,,,,,
30,06/10/20 03:30:00,20.126,59.313,,,,,
31,06/10/20 04:00:00,20.079,59.367,,,,,
32,06/10/20 04:30:00,20.079,59.428,,,,,
33,06/10/20 05:00:00,20.055,59.515,,,,,
34,06/10/20 05:30:00,20.031,59.633,,,,,
35,06/10/20 06:00:00,20.007,59.811,,,,,
36,06/10/20 06:30:00,20.031,60.058,,,,,
37,06/10/20 07:00:00,20.126,60.316,,,,,
38,06/10/20 07:30:00,20.174,60.566,,,,,
39,06/10/20 08:00:00,20.150,60.714,,,,,
40,06/10/20 08:30:00,20.150,60.865,,,,,
41,06/10/20 09:00:00,20.198,61.085,,,,,
42,06/10/20 09:30:00,20.222,61.301,,,,,
43,06/10/20 10:00:00,20.293,61.433,,,,,
44,06/10/20 10:30:00,20.341,61.411,,,,,
45,06/10/20 11:00:00,20.412,61.453,,,,,
46,06/10/20 11:30:00,20.555,61.324,,,,,
47,06/10/20 12:00:00,20.674,61.253,,,,,
48,06/10/20 12:30:00,20.865,61.072,,,,,
49,06/10/20 13:00:00,21.079,60.863,,,,,
50,06/10/20 13:30:00,21.270,60.651,,,,,
51,06/10/20 14:00:00,21.485,60.503,,,,,
52,06/10/20 14:30:00,21.724,60.206,,,,,
53,06/10/20 15:00:00,21.987,59.636,,,,,
54,06/10/20 15:30:00,22.178,59.207,,,,,
55,06/10/20 16:00:00,22.489,59.072,,,,,
56,06/10/20 16:30:00,22.753,58.836,,,,,
57,06/10/20 17:00:00,22.968,58.377,,,,,
58,06/10/20 17:30:00,23.256,57.773,,,,,
59,06/10/20 18:00:00,23.472,58.146,,,,,
60,06/10/20 18:30:00,23.617,58.229,,,,,
61,06/10/20 19:00:00,23.713,57.997,,,,,
62,06/10/20 19:30:00,23.737,57.722,,,,,
63,06/10/20 20:00:00,23.737,57.382,,,,,
64,06/10/20 20:30:00,23.881,56.534,,,,,
65,06/10/20 21:00:00,23.954,56.638,,,,,
66,06/10/20 21:30:00,24.002,56.739,,,,,
67,06/10/20 22:00:00,23.978,56.859,,,,,
68,06/10/20 22:30:00,23.954,56.949,,,,,
69,06/10/20 23:00:00,23.881,57.062,,,,,
70,06/10/20 23:30:00,23.809,57.082,,,,,
71,06/11/20 00:00:00,23.713,57.161,,,,,
72,06/11/20 00:30:00,23.617,57.146,,,,,
73,06/11/20 01:00:00,23.545,57.167,,,,,
74,06/11/20 01:30:00,23.472,57.063,,,,,
75,06/11/20 02:00:00,23.376,57.017,,,,,
76,06/11/20 02:30:00,23.280,56.972,,,,,
77,06/11/20 03:00:00,23.136,56.950,,,,,
78,06/11/20 03:30:00,23.016,56.963,,,,,
79,06/11/20 04:00:00,22.872,56.973,,,,,
80,06/11/20 04:30:00,22.753,57.017,,,,,
81,06/11/20 05:00:00,22.992,56.712,,,,,
82,06/11/20 05:30:00,22.896,55.922,,,,,
83,06/11/20 06:00:00,22.609,54.823,,,,,
84,06/11/20 06:30:00,22.130,54.412,,,,,
85,06/11/20 07:00:00,21.724,54.384,,,,,
86,06/11/20 07:30:00,21.199,54.588,,,,,
87,06/11/20 08:00:00,20.317,55.758,,,,,
88,06/11/20 08:30:00,19.222,57.466,,,,,
89,06/11/20 09:00:00,18.794,57.766,,,,,
90,06/11/20 09:30:00,18.771,57.305,,,,,
91,06/11/20 10:00:00,18.866,57.472,,,,,
92,06/11/20 10:30:00,19.080,57.444,,,,,
93,06/11/20 11:00:00,16.654,70.548,,,,,
94,06/11/20 11:30:00,15.342,68.161,,,,,
95,06/11/20 12:00:00,16.987,88.731,,,,,
96,06/11/20 12:30:00,18.343,76.891,,,,,
97,06/11/20 13:00:00,14.745,72.589,,,,,
98,06/11/20 13:30:00,15.557,71.948,,,,,
99,06/11/20 14:00:00,14.936,71.227,,,,,
100,06/11/20 14:30:00,14.792,69.043,,,,,
101,06/11/20 15:00:00,15.270,64.820,,,,,
102,06/11/20 15:30:00,15.867,63.685,,,,,
103,06/11/20 16:00:00,16.511,60.967,,,,,
104,06/11/20 16:30:00,16.487,67.321,,,,,
105,06/11/20 17:00:00,15.939,65.993,,,,,
106,06/11/20 17:30:00,15.796,63.968,,,,,
107,06/11/20 18:00:00,15.819,63.381,,,,,
108,06/11/20 18:30:00,15.509,69.177,,,,,
109,06/11/20 19:00:00,15.151,74.373,,,,,
110,06/11/20 19:30:00,14.888,76.124,,,,,
111,06/11/20 20:00:00,14.122,79.085,,,,,
112,06/11/20 20:30:00,13.497,81.587,,,,,
113,06/11/20 21:00:00,12.485,82.935,,,,,
114,06/11/20 21:30:00,11.613,85.792,,,,,
115,06/11/20 22:00:00,11.346,88.056,,,,,
116,06/11/20 22:30:00,11.029,91.109,,,,,
117,06/11/20 23:00:00,11.273,89.035,,,,,
118,06/11/20 23:30:00,11.078,92.927,,,,,
119,06/12/20 00:00:00,10.883,93.900,,,,,
120,06/12/20 00:30:00,10.638,95.159,,,,,
121,06/12/20 01:00:00,10.100,95.345,,,,,
122,06/12/20 01:30:00,9.805,95.140,,,,,
123,06/12/20 02:00:00,9.460,95.652,,,,,
124,06/12/20 02:30:00,9.361,95.953,,,,,
125,06/12/20 03:00:00,9.139,95.968,,,,,
126,06/12/20 03:30:00,9.064,96.299,,,,,
127,06/12/20 04:00:00,8.841,96.488,,,,,
128,06/12/20 04:30:00,8.668,96.865,,,,,
129,06/12/20 05:00:00,8.965,97.668,,,,,
130,06/12/20 05:30:00,8.990,97.848,,,,,
131,06/12/20 06:00:00,8.941,97.959,,,,,
132,06/12/20 06:30:00,8.693,97.642,,,,,
133,06/12/20 07:00:00,8.618,97.919,,,,,
134,06/12/20 07:30:00,8.618,97.870,,,,,
135,06/12/20 08:00:00,8.643,97.728,,,,,
136,06/12/20 08:30:00,8.369,97.181,,,,,
137,06/12/20 09:00:00,8.120,97.212,,,,,
