"Plot Title: UPLSNW"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133755, SEN S/N: 20133755, LBL: Temp)","RH, % (LGR S/N: 20133755, SEN S/N: 20133755, LBL: RH)","Coupler Detached (LGR S/N: 20133755)","Coupler Attached (LGR S/N: 20133755)","Host Connected (LGR S/N: 20133755)","Stopped (LGR S/N: 20133755)","End Of File (LGR S/N: 20133755)"
1,07/07/22 12:00:00,19.056,62.884,Logged,,,,
2,07/07/22 12:30:00,19.651,63.942,,,,,
3,07/07/22 13:00:00,19.460,61.056,,,,,
4,07/07/22 13:30:00,19.817,64.956,,,,,
5,07/07/22 14:00:00,19.508,57.906,,,,,
6,07/07/22 14:30:00,19.056,62.495,,,,,
7,07/07/22 15:00:00,19.175,66.536,,,,,
8,07/07/22 15:30:00,19.555,68.257,,,,,
9,07/07/22 16:00:00,19.056,70.740,,,,,
10,07/07/22 16:30:00,19.793,74.241,,,,,
11,07/07/22 17:00:00,22.393,58.442,,,,,
12,07/07/22 17:30:00,22.944,56.705,,,,,
13,07/07/22 18:00:00,22.872,55.484,,,,,
14,07/07/22 18:30:00,22.705,54.806,,,,,
15,07/07/22 19:00:00,22.274,53.809,,,,,
16,07/07/22 19:30:00,21.557,53.052,,,,,
17,07/07/22 20:00:00,20.746,53.156,,,,,
18,07/07/22 20:30:00,20.007,53.518,,,,,
19,07/07/22 21:00:00,19.103,53.668,,,,,
20,07/07/22 21:30:00,18.081,57.687,,,,,
21,07/07/22 22:00:00,18.842,57.956,,,,,
22,07/07/22 22:30:00,19.984,57.643,,,,,
23,07/07/22 23:00:00,19.698,57.202,,,,,
24,07/07/22 23:30:00,18.866,56.984,,,,,
25,07/08/22 00:00:00,17.986,56.789,,,,,
26,07/08/22 00:30:00,17.177,56.636,,,,,
27,07/08/22 01:00:00,16.368,56.605,,,,,
28,07/08/22 01:30:00,15.605,56.822,,,,,
29,07/08/22 02:00:00,14.960,57.267,,,,,
30,07/08/22 02:30:00,14.433,57.818,,,,,
31,07/08/22 03:00:00,13.930,58.219,,,,,
32,07/08/22 03:30:00,13.425,58.469,,,,,
33,07/08/22 04:00:00,12.968,58.874,,,,,
34,07/08/22 04:30:00,12.534,59.192,,,,,
35,07/08/22 05:00:00,12.098,59.359,,,,,
36,07/08/22 05:30:00,11.662,59.437,,,,,
37,07/08/22 06:00:00,11.248,59.666,,,,,
38,07/08/22 06:30:00,10.932,60.116,,,,,
39,07/08/22 07:00:00,10.858,60.928,,,,,
40,07/08/22 07:30:00,10.980,63.171,,,,,
41,07/08/22 08:00:00,11.224,64.840,,,,,
42,07/08/22 08:30:00,11.467,66.905,,,,,
43,07/08/22 09:00:00,12.751,74.929,,,,,
44,07/08/22 09:30:00,15.175,78.783,,,,,
45,07/08/22 10:00:00,17.320,68.611,,,,,
46,07/08/22 10:30:00,18.699,67.308,,,,,
47,07/08/22 11:00:00,22.274,59.957,,,,,
48,07/08/22 11:30:00,23.641,61.276,,,,,
49,07/08/22 12:00:00,28.766,40.493,,,,,
50,07/08/22 12:30:00,31.001,43.750,,,,,
51,07/08/22 13:00:00,32.794,39.280,,,,,
52,07/08/22 13:30:00,30.950,40.593,,,,,
53,07/08/22 14:00:00,31.026,35.160,,,,,
54,07/08/22 14:30:00,29.215,38.211,,,,,
55,07/08/22 15:00:00,27.850,37.773,,,,,
56,07/08/22 15:30:00,23.857,50.028,,,,,
57,07/08/22 16:00:00,25.234,56.922,,,,,
58,07/08/22 16:30:00,26.720,58.050,,,,,
59,07/08/22 17:00:00,25.987,65.534,,,,,
60,07/08/22 17:30:00,27.235,45.082,,,,,
61,07/08/22 18:00:00,22.872,52.075,,,,,
62,07/08/22 18:30:00,17.843,62.532,,,,,
63,07/08/22 19:00:00,16.606,65.199,,,,,
64,07/08/22 19:30:00,15.700,69.096,,,,,
65,07/08/22 20:00:00,14.816,73.087,,,,,
66,07/08/22 20:30:00,13.882,78.923,,,,,
67,07/08/22 21:00:00,12.968,81.524,,,,,
68,07/08/22 21:30:00,12.098,84.677,,,,,
69,07/08/22 22:00:00,11.637,86.116,,,,,
70,07/08/22 22:30:00,11.175,88.985,,,,,
71,07/08/22 23:00:00,10.663,89.276,,,,,
72,07/08/22 23:30:00,10.271,89.882,,,,,
73,07/09/22 00:00:00,9.608,89.923,,,,,
74,07/09/22 00:30:00,9.287,93.432,,,,,
75,07/09/22 01:00:00,9.163,92.687,,,,,
76,07/09/22 01:30:00,9.657,95.302,,,,,
77,07/09/22 02:00:00,10.051,96.314,,,,,
78,07/09/22 02:30:00,9.509,95.111,,,,,
79,07/09/22 03:00:00,9.460,95.879,,,,,
80,07/09/22 03:30:00,9.657,96.233,,,,,
81,07/09/22 04:00:00,9.583,96.339,,,,,
82,07/09/22 04:30:00,9.336,96.071,,,,,
83,07/09/22 05:00:00,8.965,95.545,,,,,
84,07/09/22 05:30:00,8.717,95.102,,,,,
85,07/09/22 06:00:00,8.519,95.851,,,,,
86,07/09/22 06:30:00,8.469,95.637,,,,,
87,07/09/22 07:00:00,8.941,96.815,,,,,
88,07/09/22 07:30:00,9.903,97.527,,,,,
89,07/09/22 08:00:00,11.516,98.219,,,,,
90,07/09/22 08:30:00,12.847,89.344,,,,,
91,07/09/22 09:00:00,14.481,81.477,,,,,
92,07/09/22 09:30:00,14.864,79.576,,,,,
93,07/09/22 10:00:00,15.629,73.019,,,,,
94,07/09/22 10:30:00,15.366,74.614,,,,,
95,07/09/22 11:00:00,15.915,76.138,,,,,
96,07/09/22 11:30:00,17.177,68.701,,,,,
97,07/09/22 12:00:00,17.724,66.986,,,,,
98,07/09/22 12:30:00,17.653,66.562,,,,,
99,07/09/22 13:00:00,18.129,64.457,,,,,
100,07/09/22 13:30:00,19.080,62.888,,,,,
101,07/09/22 14:00:00,19.151,62.360,,,,,
102,07/09/22 14:30:00,18.461,64.722,,,,,
103,07/09/22 15:00:00,18.414,62.867,,,,,
104,07/09/22 15:30:00,18.889,62.797,,,,,
105,07/09/22 16:00:00,18.842,59.778,,,,,
106,07/09/22 16:30:00,18.129,59.785,,,,,
107,07/09/22 17:00:00,17.843,63.159,,,,,
108,07/09/22 17:30:00,17.439,65.256,,,,,
109,07/09/22 18:00:00,16.915,66.107,,,,,
110,07/09/22 18:30:00,16.153,67.173,,,,,
