"Plot Title: WILSPR_C2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685709, SEN S/N: 20685709, LBL: Temp)","Coupler Attached (LGR S/N: 20685709)","Host Connected (LGR S/N: 20685709)","Stopped (LGR S/N: 20685709)","End Of File (LGR S/N: 20685709)"
1,07/07/22 12:00:00,19.377,,,,
2,07/07/22 12:30:00,20.996,,,,
3,07/07/22 13:00:00,21.473,,,,
4,07/07/22 13:30:00,20.234,,,,
5,07/07/22 14:00:00,20.424,,,,
6,07/07/22 14:30:00,18.426,,,,
7,07/07/22 15:00:00,19.472,,,,
8,07/07/22 15:30:00,19.567,,,,
9,07/07/22 16:00:00,31.574,,,,
10,07/07/22 16:30:00,25.610,,,,
11,07/07/22 17:00:00,23.004,,,,
12,07/07/22 17:30:00,20.615,,,,
13,07/07/22 18:00:00,24.738,,,,
14,07/07/22 18:30:00,26.195,,,,
15,07/07/22 19:00:00,23.292,,,,
16,07/07/22 19:30:00,21.378,,,,
17,07/07/22 20:00:00,20.043,,,,
18,07/07/22 20:30:00,19.377,,,,
19,07/07/22 21:00:00,18.045,,,,
20,07/07/22 21:30:00,17.189,,,,
21,07/07/22 22:00:00,16.523,,,,
22,07/07/22 22:30:00,15.760,,,,
23,07/07/22 23:00:00,14.996,,,,
24,07/07/22 23:30:00,14.517,,,,
25,07/08/22 00:00:00,14.709,,,,
26,07/08/22 00:30:00,14.900,,,,
27,07/08/22 01:00:00,14.996,,,,
28,07/08/22 01:30:00,14.996,,,,
29,07/08/22 02:00:00,14.804,,,,
30,07/08/22 02:30:00,14.613,,,,
31,07/08/22 03:00:00,14.421,,,,
32,07/08/22 03:30:00,14.134,,,,
33,07/08/22 04:00:00,13.846,,,,
34,07/08/22 04:30:00,13.461,,,,
35,07/08/22 05:00:00,13.173,,,,
36,07/08/22 05:30:00,12.883,,,,
37,07/08/22 06:00:00,12.497,,,,
38,07/08/22 06:30:00,12.110,,,,
39,07/08/22 07:00:00,11.916,,,,
40,07/08/22 07:30:00,11.819,,,,
41,07/08/22 08:00:00,11.819,,,,
42,07/08/22 08:30:00,11.916,,,,
43,07/08/22 09:00:00,12.304,,,,
44,07/08/22 09:30:00,13.846,,,,
45,07/08/22 10:00:00,19.567,,,,
46,07/08/22 10:30:00,18.236,,,,
47,07/08/22 11:00:00,18.806,,,,
48,07/08/22 11:30:00,19.853,,,,
49,07/08/22 12:00:00,23.581,,,,
50,07/08/22 12:30:00,28.953,,,,
51,07/08/22 13:00:00,33.953,,,,
52,07/08/22 13:30:00,8.481,,,,
53,07/08/22 14:00:00,7.983,,,,
54,07/08/22 14:30:00,8.182,,,,
55,07/08/22 15:00:00,8.082,,,,
56,07/08/22 15:30:00,8.082,,,,
57,07/08/22 16:00:00,8.282,,,,
58,07/08/22 16:30:00,7.882,,,,
59,07/08/22 17:00:00,7.582,,,,
60,07/08/22 17:30:00,7.381,,,,
61,07/08/22 18:00:00,7.481,,,,
62,07/08/22 18:30:00,7.280,,,,
63,07/08/22 19:00:00,6.877,,,,
64,07/08/22 19:30:00,6.471,,,,
65,07/08/22 20:00:00,6.166,,,,
66,07/08/22 20:30:00,5.860,,,,
67,07/08/22 21:00:00,5.655,,,,
68,07/08/22 21:30:00,5.450,,,,
69,07/08/22 22:00:00,5.347,,,,
70,07/08/22 22:30:00,5.244,,,,
71,07/08/22 23:00:00,5.141,,,,
72,07/08/22 23:30:00,5.037,,,,
73,07/09/22 00:00:00,4.934,,,,
74,07/09/22 00:30:00,4.831,,,,
75,07/09/22 01:00:00,4.831,,,,
76,07/09/22 01:30:00,5.037,,,,
77,07/09/22 02:00:00,4.934,,,,
78,07/09/22 02:30:00,4.831,,,,
79,07/09/22 03:00:00,4.831,,,,
80,07/09/22 03:30:00,4.831,,,,
81,07/09/22 04:00:00,4.727,,,,
82,07/09/22 04:30:00,4.623,,,,
83,07/09/22 05:00:00,4.519,,,,
84,07/09/22 05:30:00,4.519,,,,
85,07/09/22 06:00:00,4.519,,,,
86,07/09/22 06:30:00,4.623,,,,
87,07/09/22 07:00:00,4.727,,,,
88,07/09/22 07:30:00,5.037,,,,
89,07/09/22 08:00:00,5.347,,,,
90,07/09/22 08:30:00,5.860,,,,
91,07/09/22 09:00:00,6.268,,,,
92,07/09/22 09:30:00,6.471,,,,
93,07/09/22 10:00:00,6.978,,,,
94,07/09/22 10:30:00,6.877,,,,
95,07/09/22 11:00:00,7.079,,,,
96,07/09/22 11:30:00,8.082,,,,
97,07/09/22 12:00:00,8.282,,,,
98,07/09/22 12:30:00,8.282,,,,
99,07/09/22 13:00:00,8.382,,,,
100,07/09/22 13:30:00,8.978,,,,
101,07/09/22 14:00:00,8.978,,,,
102,07/09/22 14:30:00,8.182,,,,
103,07/09/22 15:00:00,8.182,,,,
104,07/09/22 15:30:00,8.082,,,,
105,07/09/22 16:00:00,8.182,,,,
106,07/09/22 16:30:00,7.882,,,,
107,07/09/22 17:00:00,7.882,,,,
108,07/09/22 17:30:00,7.782,,,,
109,07/09/22 18:00:00,7.582,,,,
110,07/09/22 18:30:00,7.280,,,,
111,07/09/22 19:00:00,6.775,,,,
112,07/09/22 19:30:00,6.573,,,,
113,07/09/22 20:00:00,6.370,,,,
114,07/09/22 20:30:00,6.064,,,,
115,07/09/22 21:00:00,5.962,,,,
116,07/09/22 21:30:00,5.860,,,,
117,07/09/22 22:00:00,5.655,,,,
118,07/09/22 22:30:00,5.655,,,,
119,07/09/22 23:00:00,5.655,,,,
120,07/09/22 23:30:00,5.655,,,,
121,07/10/22 00:00:00,5.450,,,,
122,07/10/22 00:30:00,5.450,,,,
123,07/10/22 01:00:00,5.347,,,,
124,07/10/22 01:30:00,5.244,,,,
125,07/10/22 02:00:00,5.037,,,,
126,07/10/22 02:30:00,5.037,,,,
127,07/10/22 03:00:00,5.037,,,,
128,07/10/22 03:30:00,5.037,,,,
129,07/10/22 04:00:00,5.037,,,,
130,07/10/22 04:30:00,4.934,,,,
131,07/10/22 05:00:00,4.934,,,,
132,07/10/22 05:30:00,4.831,,,,
133,07/10/22 06:00:00,4.934,,,,
134,07/10/22 06:30:00,4.934,,,,
135,07/10/22 07:00:00,4.934,,,,
136,07/10/22 07:30:00,5.037,,,,
137,07/10/22 08:00:00,5.141,,,,
138,07/10/22 08:30:00,5.450,,,,
