"Plot Title: WILSPR_U"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137153, SEN S/N: 20137153, LBL: Temp)","Bad Battery (LGR S/N: 20137153)","Coupler Attached (LGR S/N: 20137153)","Host Connected (LGR S/N: 20137153)","Stopped (LGR S/N: 20137153)","End Of File (LGR S/N: 20137153)"
1,07/07/22 12:00:00,20.043,,,,,
2,07/07/22 12:30:00,20.710,,,,,
3,07/07/22 13:00:00,18.711,,,,,
4,07/07/22 13:30:00,19.948,,,,,
5,07/07/22 14:00:00,19.377,,,,,
6,07/07/22 14:30:00,19.377,,,,,
7,07/07/22 15:00:00,19.758,,,,,
8,07/07/22 15:30:00,20.138,,,,,
9,07/07/22 16:00:00,30.760,,,,,
10,07/07/22 16:30:00,24.738,,,,,
11,07/07/22 17:00:00,22.238,,,,,
12,07/07/22 17:30:00,21.091,,,,,
13,07/07/22 18:00:00,25.513,,,,,
14,07/07/22 18:30:00,25.902,,,,,
15,07/07/22 19:00:00,24.931,,,,,
16,07/07/22 19:30:00,21.282,,,,,
17,07/07/22 20:00:00,19.948,,,,,
18,07/07/22 20:30:00,18.711,,,,,
19,07/07/22 21:00:00,17.284,,,,,
20,07/07/22 21:30:00,17.189,,,,,
21,07/07/22 22:00:00,16.713,,,,,
22,07/07/22 22:30:00,16.332,,,,,
23,07/07/22 23:00:00,15.760,,,,,
24,07/07/22 23:30:00,15.187,,,,,
25,07/08/22 00:00:00,15.091,,,,,
26,07/08/22 00:30:00,15.187,,,,,
27,07/08/22 01:00:00,15.282,,,,,
28,07/08/22 01:30:00,15.282,,,,,
29,07/08/22 02:00:00,15.187,,,,,
30,07/08/22 02:30:00,14.996,,,,,
31,07/08/22 03:00:00,14.804,,,,,
32,07/08/22 03:30:00,14.517,,,,,
33,07/08/22 04:00:00,14.230,,,,,
34,07/08/22 04:30:00,13.942,,,,,
35,07/08/22 05:00:00,13.654,,,,,
36,07/08/22 05:30:00,13.269,,,,,
37,07/08/22 06:00:00,12.980,,,,,
38,07/08/22 06:30:00,12.594,,,,,
39,07/08/22 07:00:00,12.304,,,,,
40,07/08/22 07:30:00,12.110,,,,,
41,07/08/22 08:00:00,12.013,,,,,
42,07/08/22 08:30:00,12.013,,,,,
43,07/08/22 09:00:00,12.304,,,,,
44,07/08/22 09:30:00,13.846,,,,,
45,07/08/22 10:00:00,19.662,,,,,
46,07/08/22 10:30:00,18.045,,,,,
47,07/08/22 11:00:00,18.901,,,,,
48,07/08/22 11:30:00,19.853,,,,,
49,07/08/22 12:00:00,22.908,,,,,
50,07/08/22 12:30:00,25.416,,,,,
51,07/08/22 13:00:00,9.571,,,,,
52,07/08/22 13:30:00,9.866,,,,,
53,07/08/22 14:00:00,9.077,,,,,
54,07/08/22 14:30:00,8.879,,,,,
55,07/08/22 15:00:00,9.176,,,,,
56,07/08/22 15:30:00,9.472,,,,,
57,07/08/22 16:00:00,9.669,,,,,
