"Plot Title: WILSPU(WILUPL)2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9905285, SEN S/N: 9905285)","RH, % (LGR S/N: 9905285, SEN S/N: 9905285)","Coupler Detached (LGR S/N: 9905285)","Coupler Attached (LGR S/N: 9905285)","Host Connected (LGR S/N: 9905285)","Stopped (LGR S/N: 9905285)","End Of File (LGR S/N: 9905285)"
1,07/27/21 18:00:00,24.968,62.071,Logged,,,,
2,07/27/21 19:00:00,24.605,61.676,,,,,
3,07/27/21 20:00:00,24.243,62.747,,,,,
4,07/27/21 21:00:00,24.002,63.316,,,,,
5,07/27/21 22:00:00,23.689,63.659,,,,,
6,07/27/21 23:00:00,23.424,63.675,,,,,
7,07/28/21 00:00:00,23.136,63.627,,,,,
8,07/28/21 01:00:00,22.848,63.488,,,,,
9,07/28/21 02:00:00,22.561,63.349,,,,,
10,07/28/21 03:00:00,22.274,63.180,,,,,
11,07/28/21 04:00:00,21.987,63.102,,,,,
12,07/28/21 05:00:00,21.700,62.873,,,,,
13,07/28/21 06:00:00,21.413,62.614,,,,,
14,07/28/21 07:00:00,21.127,62.386,,,,,
15,07/28/21 08:00:00,20.889,62.709,,,,,
16,07/28/21 09:00:00,20.722,67.344,,,,,
17,07/28/21 10:00:00,21.437,53.534,,,,,
18,07/28/21 11:00:00,21.008,43.991,,,,,
19,07/28/21 12:00:00,22.178,43.549,,,,,
20,07/28/21 13:00:00,25.283,38.341,,,,,
21,07/28/21 14:00:00,29.265,32.628,,,,,
22,07/28/21 15:00:00,29.365,42.641,,,,,
23,07/28/21 16:00:00,33.443,38.842,,,,,
24,07/28/21 17:00:00,33.992,35.029,,,,,
25,07/28/21 18:00:00,29.966,34.554,,,,,
26,07/28/21 19:00:00,28.692,40.617,,,,,
27,07/28/21 20:00:00,29.165,39.539,,,,,
28,07/28/21 21:00:00,27.702,34.446,,,,,
29,07/28/21 22:00:00,24.774,40.394,,,,,
30,07/28/21 23:00:00,23.857,41.731,,,,,
31,07/29/21 00:00:00,22.561,43.012,,,,,
32,07/29/21 01:00:00,21.342,43.516,,,,,
33,07/29/21 02:00:00,20.246,43.517,,,,,
34,07/29/21 03:00:00,19.294,44.523,,,,,
35,07/29/21 04:00:00,18.414,45.149,,,,,
36,07/29/21 05:00:00,17.701,45.474,,,,,
37,07/29/21 06:00:00,17.177,45.125,,,,,
38,07/29/21 07:00:00,17.653,50.674,,,,,
39,07/29/21 08:00:00,17.272,60.431,,,,,
40,07/29/21 09:00:00,22.944,48.001,,,,,
41,07/29/21 10:00:00,26.891,35.041,,,,,
42,07/29/21 11:00:00,29.439,29.097,,,,,
43,07/29/21 12:00:00,30.419,27.419,,,,,
44,07/29/21 13:00:00,31.535,26.498,,,,,
45,07/29/21 14:00:00,31.484,29.294,,,,,
46,07/29/21 15:00:00,31.663,30.855,,,,,
47,07/29/21 16:00:00,30.748,33.915,,,,,
48,07/29/21 17:00:00,29.414,33.996,,,,,
49,07/29/21 18:00:00,29.290,32.495,,,,,
50,07/29/21 19:00:00,28.990,31.449,,,,,
51,07/29/21 20:00:00,26.769,34.326,,,,,
52,07/29/21 21:00:00,20.055,48.171,,,,,
53,07/29/21 22:00:00,17.819,54.837,,,,,
54,07/29/21 23:00:00,17.034,56.615,,,,,
55,07/30/21 00:00:00,15.294,64.059,,,,,
