"Plot Title: WILSPU"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133751, SEN S/N: 20133751, LBL: Temp)","RH, % (LGR S/N: 20133751, SEN S/N: 20133751, LBL: RH)"
1,07/07/22 12:00:00,19.579,61.407
2,07/07/22 12:30:00,19.270,65.159
3,07/07/22 13:00:00,18.319,62.192
4,07/07/22 13:30:00,18.485,74.470
5,07/07/22 14:00:00,18.771,59.918
6,07/07/22 14:30:00,18.438,62.901
7,07/07/22 15:00:00,19.008,70.964
8,07/07/22 15:30:00,19.127,70.112
9,07/07/22 16:00:00,19.841,71.442
10,07/07/22 16:30:00,21.461,65.329
11,07/07/22 17:00:00,23.136,54.306
12,07/07/22 17:30:00,22.896,53.647
13,07/07/22 18:00:00,22.441,54.113
14,07/07/22 18:30:00,22.178,54.013
15,07/07/22 19:00:00,21.485,54.412
16,07/07/22 19:30:00,20.436,55.128
17,07/07/22 20:00:00,19.413,56.454
18,07/07/22 20:30:00,18.580,57.459
19,07/07/22 21:00:00,17.486,58.384
20,07/07/22 21:30:00,16.511,63.172
21,07/07/22 22:00:00,17.986,65.558
22,07/07/22 22:30:00,19.318,59.004
23,07/07/22 23:00:00,18.557,60.186
24,07/07/22 23:30:00,17.415,61.085
25,07/08/22 00:00:00,16.320,62.308
26,07/08/22 00:30:00,15.318,63.059
27,07/08/22 01:00:00,14.409,63.671
28,07/08/22 01:30:00,13.642,64.273
29,07/08/22 02:00:00,13.137,64.798
30,07/08/22 02:30:00,12.775,64.939
31,07/08/22 03:00:00,12.364,64.983
32,07/08/22 03:30:00,11.904,65.018
33,07/08/22 04:00:00,11.565,65.219
34,07/08/22 04:30:00,11.224,65.130
35,07/08/22 05:00:00,10.834,65.061
36,07/08/22 05:30:00,10.394,65.185
37,07/08/22 06:00:00,10.051,65.384
38,07/08/22 06:30:00,9.854,65.780
39,07/08/22 07:00:00,10.001,66.266
40,07/08/22 07:30:00,10.443,68.092
41,07/08/22 08:00:00,10.932,68.354
42,07/08/22 08:30:00,11.297,68.908
43,07/08/22 09:00:00,12.968,74.497
44,07/08/22 09:30:00,15.629,73.787
45,07/08/22 10:00:00,17.130,68.197
46,07/08/22 10:30:00,17.344,74.128
47,07/08/22 11:00:00,20.484,56.245
48,07/08/22 11:30:00,21.915,50.529
49,07/08/22 12:00:00,20.770,53.812
50,07/08/22 12:30:00,21.676,55.959
51,07/08/22 13:00:00,22.011,50.541
52,07/08/22 13:30:00,21.843,49.193
53,07/08/22 14:00:00,19.651,54.086
54,07/08/22 14:30:00,19.603,54.141
55,07/08/22 15:00:00,19.318,55.918
56,07/08/22 15:30:00,19.793,52.897
57,07/08/22 16:00:00,19.865,51.443
58,07/08/22 16:30:00,19.484,55.666
59,07/08/22 17:00:00,18.081,58.598
60,07/08/22 17:30:00,18.461,57.319
61,07/08/22 18:00:00,19.460,53.161
62,07/08/22 18:30:00,19.365,52.185
63,07/08/22 19:00:00,19.222,51.324
64,07/08/22 19:30:00,18.913,53.671
65,07/08/22 20:00:00,18.509,53.490
66,07/08/22 20:30:00,17.249,58.891
67,07/08/22 21:00:00,13.690,73.232
68,07/08/22 21:30:00,12.340,78.757
69,07/08/22 22:00:00,11.832,83.810
70,07/08/22 22:30:00,11.273,87.669
71,07/08/22 23:00:00,10.638,90.700
72,07/08/22 23:30:00,9.952,93.045
73,07/09/22 00:00:00,9.064,95.396
74,07/09/22 00:30:00,8.965,96.472
75,07/09/22 01:00:00,9.731,97.629
76,07/09/22 01:30:00,9.312,95.160
77,07/09/22 02:00:00,8.170,97.845
78,07/09/22 02:30:00,7.720,97.622
79,07/09/22 03:00:00,7.945,98.301
80,07/09/22 03:30:00,8.369,98.345
81,07/09/22 04:00:00,6.839,96.836
82,07/09/22 04:30:00,6.204,97.939
83,07/09/22 05:00:00,6.458,98.304
84,07/09/22 05:30:00,6.611,98.371
85,07/09/22 06:00:00,6.712,98.399
86,07/09/22 06:30:00,10.124,97.287
87,07/09/22 07:00:00,12.437,78.943
88,07/09/22 07:30:00,13.642,78.040
89,07/09/22 08:00:00,16.034,65.482
90,07/09/22 08:30:00,17.320,60.649
91,07/09/22 09:00:00,18.033,58.833
92,07/09/22 09:30:00,17.558,60.327
93,07/09/22 10:00:00,17.344,61.193
94,07/09/22 10:30:00,16.701,63.738
95,07/09/22 11:00:00,18.081,62.422
96,07/09/22 11:30:00,20.031,54.141
97,07/09/22 12:00:00,19.246,55.292
98,07/09/22 12:30:00,19.770,53.639
99,07/09/22 13:00:00,20.126,51.947
100,07/09/22 13:30:00,21.891,52.348
101,07/09/22 14:00:00,19.865,57.900
102,07/09/22 14:30:00,18.366,59.551
103,07/09/22 15:00:00,19.484,57.383
104,07/09/22 15:30:00,19.746,57.423
105,07/09/22 16:00:00,19.912,52.354
106,07/09/22 16:30:00,18.271,55.762
107,07/09/22 17:00:00,18.771,55.990
108,07/09/22 17:30:00,18.176,58.916
109,07/09/22 18:00:00,18.176,60.155
110,07/09/22 18:30:00,17.915,59.419
111,07/09/22 19:00:00,15.509,67.290
112,07/09/22 19:30:00,15.366,70.505
113,07/09/22 20:00:00,14.266,73.375
114,07/09/22 20:30:00,13.161,80.938
115,07/09/22 21:00:00,12.485,86.903
116,07/09/22 21:30:00,12.074,89.337
117,07/09/22 22:00:00,11.565,91.452
118,07/09/22 22:30:00,11.467,92.950
119,07/09/22 23:00:00,11.029,94.041
120,07/09/22 23:30:00,10.345,94.726
121,07/10/22 00:00:00,10.051,93.810
122,07/10/22 00:30:00,9.756,93.504
123,07/10/22 01:00:00,9.657,93.427
124,07/10/22 01:30:00,9.114,93.844
125,07/10/22 02:00:00,7.745,94.992
126,07/10/22 02:30:00,8.319,97.564
127,07/10/22 03:00:00,8.344,97.050
128,07/10/22 03:30:00,8.220,97.215
129,07/10/22 04:00:00,8.020,96.787
130,07/10/22 04:30:00,8.045,97.315
131,07/10/22 05:00:00,7.920,97.528
132,07/10/22 05:30:00,7.820,97.600
133,07/10/22 06:00:00,7.820,97.896
134,07/10/22 06:30:00,7.845,97.928
135,07/10/22 07:00:00,8.145,98.134
136,07/10/22 07:30:00,8.717,97.748
137,07/10/22 08:00:00,9.213,96.739
138,07/10/22 08:30:00,10.810,94.034
139,07/10/22 09:00:00,13.594,79.523
140,07/10/22 09:30:00,16.010,63.975
141,07/10/22 10:00:00,16.201,56.731
142,07/10/22 10:30:00,18.319,48.137
143,07/10/22 11:00:00,19.103,48.458
144,07/10/22 11:30:00,20.031,50.433
145,07/10/22 12:00:00,19.841,51.065
146,07/10/22 12:30:00,20.650,51.863
147,07/10/22 13:00:00,21.413,49.421
148,07/10/22 13:30:00,21.413,50.461
149,07/10/22 14:00:00,21.557,51.957
150,07/10/22 14:30:00,21.509,50.506
151,07/10/22 15:00:00,21.509,50.285
152,07/10/22 15:30:00,20.984,53.781
153,07/10/22 16:00:00,21.461,51.724
154,07/10/22 16:30:00,20.627,54.320
155,07/10/22 17:00:00,20.531,53.903
156,07/10/22 17:30:00,20.436,55.128
157,07/10/22 18:00:00,19.960,58.098
158,07/10/22 18:30:00,20.269,58.543
159,07/10/22 19:00:00,19.722,60.312
160,07/10/22 19:30:00,19.222,62.702
161,07/10/22 20:00:00,18.937,63.253
162,07/10/22 20:30:00,17.034,68.471
163,07/10/22 21:00:00,13.930,79.982
164,07/10/22 21:30:00,12.389,85.548
165,07/10/22 22:00:00,11.175,90.159
166,07/10/22 22:30:00,10.590,92.724
167,07/10/22 23:00:00,10.051,92.200
168,07/10/22 23:30:00,9.657,93.783
169,07/11/22 00:00:00,9.336,95.317
170,07/11/22 00:30:00,9.410,96.793
171,07/11/22 01:00:00,9.064,92.049
172,07/11/22 01:30:00,8.469,93.168
173,07/11/22 02:00:00,10.222,77.013
174,07/11/22 02:30:00,9.114,90.393
175,07/11/22 03:00:00,12.968,65.118
176,07/11/22 03:30:00,13.546,62.612
177,07/11/22 04:00:00,12.630,65.669
178,07/11/22 04:30:00,13.642,62.245
179,07/11/22 05:00:00,14.218,59.192
180,07/11/22 05:30:00,14.050,58.388
181,07/11/22 06:00:00,15.318,54.441
182,07/11/22 06:30:00,16.511,50.829
183,07/11/22 07:00:00,19.413,45.524
184,07/11/22 07:30:00,21.270,41.411
185,07/11/22 08:00:00,23.809,44.579
186,07/11/22 08:30:00,24.508,34.350
187,07/11/22 09:00:00,24.895,35.385
188,07/11/22 09:30:00,26.353,32.304
189,07/11/22 10:00:00,27.358,33.135
190,07/11/22 10:30:00,28.543,31.954
191,07/11/22 11:00:00,29.265,31.269
192,07/11/22 11:30:00,30.976,27.633
193,07/11/22 12:00:00,31.433,27.184
194,07/11/22 12:30:00,32.536,26.919
195,07/11/22 13:00:00,33.001,26.815
196,07/11/22 13:30:00,33.105,25.148
197,07/11/22 14:00:00,33.730,24.140
198,07/11/22 14:30:00,32.949,27.298
199,07/11/22 15:00:00,31.740,30.072
200,07/11/22 15:30:00,31.153,32.385
201,07/11/22 16:00:00,31.586,34.263
202,07/11/22 16:30:00,29.840,36.934
203,07/11/22 17:00:00,28.692,40.717
204,07/11/22 17:30:00,28.568,41.893
205,07/11/22 18:00:00,27.974,43.339
206,07/11/22 18:30:00,27.333,43.527
207,07/11/22 19:00:00,27.038,44.147
208,07/11/22 19:30:00,27.481,44.329
209,07/11/22 20:00:00,26.818,45.487
210,07/11/22 20:30:00,25.623,48.021
211,07/11/22 21:00:00,21.318,60.537
212,07/11/22 21:30:00,18.675,70.290
213,07/11/22 22:00:00,17.891,71.852
214,07/11/22 22:30:00,17.891,69.328
215,07/11/22 23:00:00,18.057,68.483
216,07/11/22 23:30:00,17.986,66.827
217,07/12/22 00:00:00,16.987,69.858
218,07/12/22 00:30:00,16.463,64.585
219,07/12/22 01:00:00,17.249,59.615
220,07/12/22 01:30:00,17.225,56.491
221,07/12/22 02:00:00,17.082,58.351
222,07/12/22 02:30:00,16.392,59.809
223,07/12/22 03:00:00,15.891,60.896
