Serial Number:     399741     --     Series: Temperature (*C) c:1
Serial Number:     399741     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     399741     --     Series: Dew Point (*C) c:1 3
Serial Number:     399741     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     399741     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	24.79	24.83	9.94	8.9	39.1
07/02/09 18:30:00.0	24.01	23.96	8.67	8.2	37.6
07/02/09 19:00:00.0	22.86	22.91	8.41	8.1	39.6
07/02/09 19:30:00.0	21.71	21.85	8.11	7.9	41.6
07/02/09 20:00:00.0	20.57	20.66	9.28	8.6	48.3
07/02/09 20:30:00.0	19.04	19.21	8.03	8	48.8
07/02/09 21:00:00.0	17.14	17.16	9.74	9	61.7
07/02/09 21:30:00.0	15.23	15.28	8.66	8.4	64.8
07/02/09 22:00:00.0	14.09	14.13	8.66	8.5	69.8
07/02/09 22:30:00.0	13.32	13.29	8.94	8.6	74.8
07/02/09 23:00:00.0	12.55	12.45	8.67	8.5	77.2
07/02/09 23:30:00.0	11.77	11.67	7.91	8.1	77.2
07/03/09 00:00:00.0	10.99	11.11	7.25	7.8	77.7
07/03/09 00:30:00.0	10.6	10.67	6.13	7.2	73.8
07/03/09 01:00:00.0	10.21	10.18	6.12	7.2	75.7
07/03/09 01:30:00.0	9.82	9.96	4.37	6.4	68.8
07/03/09 02:00:00.0	9.82	9.74	4.78	6.6	70.8
07/03/09 02:30:00.0	9.42	9.59	5.45	6.9	76.2
07/03/09 03:00:00.0	9.42	9.52	5.81	7.1	78.1
07/03/09 03:30:00.0	9.82	9.64	5.66	7	75.3
07/03/09 04:00:00.0	9.42	9.52	5.64	7	77.2
07/03/09 04:30:00.0	9.42	9.32	5.9	7.1	78.6
07/03/09 05:00:00.0	9.42	9.32	5.99	7.2	79.1
07/03/09 05:30:00.0	9.42	9.4	5.36	6.9	75.7
07/03/09 06:00:00.0	9.03	9.17	5.6	7	79.1
07/03/09 06:30:00.0	9.42	9.32	5.99	7.2	79.1
07/03/09 07:00:00.0	9.82	9.91	6.63	7.5	80.5
07/03/09 07:30:00.0	10.99	11.02	10.22	9.5	95
07/03/09 08:00:00.0	12.55	12.4	12.55	11	101
07/03/09 08:30:00.0	14.09	13.92	12.01	10.6	87.3
07/03/09 09:00:00.0	15.62	15.71	11.91	10.5	78.6
07/03/09 09:30:00.0	17.14	17.28	10.92	9.7	66.8
07/03/09 10:00:00.0	18.28	18.33	8.38	8.2	52.4
07/03/09 10:30:00.0	19.42	19.49	8.53	8.2	49.3
07/03/09 11:00:00.0	20.57	20.66	7.97	7.9	44.2
07/03/09 11:30:00.0	21.71	21.78	3.77	5.9	30.8
07/03/09 12:00:00.0	22.86	22.83	5.18	6.5	31.7
07/03/09 12:30:00.0	23.63	23.8	7.32	7.5	35.1
07/03/09 13:00:00.0	24.79	24.71	7.08	7.3	32.2
07/03/09 13:30:00.0	25.56	25.39	9.23	8.5	35.6
07/03/09 14:00:00.0	25.95	25.85	9.15	8.4	34.6
07/03/09 14:30:00.0	25.95	26.1	9.57	8.6	35.6
07/03/09 15:00:00.0	26.34	26.32	9.49	8.6	34.6
07/03/09 15:30:00.0	26.34	26.41	9.49	8.6	34.6
07/03/09 16:00:00.0	26.34	26.24	9.7	8.7	35.1
07/03/09 16:30:00.0	26.34	26.41	9.06	8.3	33.6
07/03/09 17:00:00.0	25.95	26.1	9.36	8.5	35.1
07/03/09 17:30:00.0	25.17	25.32	7.86	7.7	33.2
07/03/09 18:00:00.0	24.4	24.4	8	7.8	35.1
07/03/09 18:30:00.0	23.63	23.53	7.73	7.7	36.1
07/03/09 19:00:00.0	22.48	22.55	7.11	7.4	37.1
07/03/09 19:30:00.0	21.71	21.59	7.93	7.8	41.1
07/03/09 20:00:00.0	20.57	20.59	5.23	6.5	36.6
07/03/09 20:30:00.0	18.66	18.57	8.59	8.3	51.9
07/03/09 21:00:00.0	16.38	16.21	7.19	7.6	54.5
07/03/09 21:30:00.0	14.47	14.59	5.94	7	56.5
07/03/09 22:00:00.0	13.32	13.48	8.24	8.2	71.3
07/03/09 22:30:00.0	12.93	12.76	9.31	8.9	78.6
07/03/09 23:00:00.0	12.55	12.42	8	8.1	73.8
07/03/09 23:30:00.0	11.77	11.7	8.95	8.7	82.8
07/04/09 00:00:00.0	10.99	10.97	9.1	8.8	88.1
07/04/09 00:30:00.0	10.6	10.5	9.21	8.9	91.1
07/04/09 01:00:00.0	9.82	9.94	8.93	8.7	94.2
07/04/09 01:30:00.0	9.42	9.32	9.17	8.9	98.3
07/04/09 02:00:00.0	9.03	8.98	9.03	8.8	103.7
07/04/09 02:30:00.0	8.63	8.73	7.12	7.8	90.2
07/04/09 03:00:00.0	8.23	8.41	7.6	8	95.8
07/04/09 03:30:00.0	8.23	8.36	7.48	8	95
07/04/09 04:00:00.0	8.23	8.13	7.48	8	95
07/04/09 04:30:00.0	7.83	7.91	7.73	8.1	99.3
07/04/09 05:00:00.0	7.83	7.83	5.56	7	85.5
07/04/09 05:30:00.0	7.83	7.66	5.86	7.1	87.3
07/04/09 06:00:00.0	7.83	7.71	6.05	7.2	88.5
07/04/09 06:30:00.0	8.23	8.13	6.93	7.7	91.5
07/04/09 07:00:00.0	9.03	9.05	8.82	8.7	98.6
07/04/09 07:30:00.0	10.6	10.55	10.6	9.8	103.7
07/04/09 08:00:00.0	12.16	12.16	12.16	10.8	103.7
07/04/09 08:30:00.0	14.09	13.94	12.3	10.8	89
07/04/09 09:00:00.0	15.23	15.26	7.43	7.7	59.6
07/04/09 09:30:00.0	16.38	16.4	11.18	9.9	71.3
07/04/09 10:00:00.0	17.52	17.64	10.09	9.2	61.7
07/04/09 10:30:00.0	18.66	18.78	9.85	9	56.5
07/04/09 11:00:00.0	20.19	20.11	7.08	7.4	42.6
07/04/09 11:30:00.0	21.33	21.21	7.05	7.4	39.6
