Serial Number:     491583     --     Series: Temperature (*C) c:1

Date Time	Temperature (*C) c:1
07/02/09 18:00:00.0	13.7
07/02/09 18:30:00.0	13.7
07/02/09 19:00:00.0	13.7
07/02/09 19:30:00.0	13.7
07/02/09 20:00:00.0	13.32
07/02/09 20:30:00.0	12.93
07/02/09 21:00:00.0	13.32
07/02/09 21:30:00.0	13.32
07/02/09 22:00:00.0	13.32
07/02/09 22:30:00.0	13.32
07/02/09 23:00:00.0	13.7
07/02/09 23:30:00.0	13.7
07/03/09 00:00:00.0	13.7
07/03/09 00:30:00.0	13.7
07/03/09 01:00:00.0	13.7
07/03/09 01:30:00.0	13.7
07/03/09 02:00:00.0	13.7
07/03/09 02:30:00.0	14.09
07/03/09 03:00:00.0	14.09
07/03/09 03:30:00.0	13.7
07/03/09 04:00:00.0	12.93
07/03/09 04:30:00.0	12.93
07/03/09 05:00:00.0	13.32
07/03/09 05:30:00.0	13.32
07/03/09 06:00:00.0	13.32
07/03/09 06:30:00.0	13.32
07/03/09 07:00:00.0	13.32
07/03/09 07:30:00.0	12.93
07/03/09 08:00:00.0	12.55
07/03/09 08:30:00.0	12.55
07/03/09 09:00:00.0	12.55
07/03/09 09:30:00.0	12.93
07/03/09 10:00:00.0	12.55
07/03/09 10:30:00.0	12.93
07/03/09 11:00:00.0	12.93
07/03/09 11:30:00.0	12.93
07/03/09 12:00:00.0	13.32
07/03/09 12:30:00.0	13.32
07/03/09 13:00:00.0	13.32
07/03/09 13:30:00.0	12.93
07/03/09 14:00:00.0	13.32
07/03/09 14:30:00.0	13.7
07/03/09 15:00:00.0	13.7
07/03/09 15:30:00.0	13.7
07/03/09 16:00:00.0	13.7
07/03/09 16:30:00.0	13.7
07/03/09 17:00:00.0	13.7
07/03/09 17:30:00.0	13.7
07/03/09 18:00:00.0	13.7
07/03/09 18:30:00.0	14.09
07/03/09 19:00:00.0	14.09
07/03/09 19:30:00.0	14.09
07/03/09 20:00:00.0	14.09
07/03/09 20:30:00.0	13.7
07/03/09 21:00:00.0	13.7
07/03/09 21:30:00.0	13.32
07/03/09 22:00:00.0	13.32
07/03/09 22:30:00.0	13.32
07/03/09 23:00:00.0	12.93
07/03/09 23:30:00.0	13.32
07/04/09 00:00:00.0	13.7
07/04/09 00:30:00.0	13.7
07/04/09 01:00:00.0	14.09
07/04/09 01:30:00.0	13.7
07/04/09 02:00:00.0	12.93
07/04/09 02:30:00.0	13.32
07/04/09 03:00:00.0	13.32
07/04/09 03:30:00.0	13.32
07/04/09 04:00:00.0	13.7
07/04/09 04:30:00.0	12.93
07/04/09 05:00:00.0	12.93
07/04/09 05:30:00.0	12.55
07/04/09 06:00:00.0	12.93
07/04/09 06:30:00.0	12.93
07/04/09 07:00:00.0	12.93
07/04/09 07:30:00.0	12.93
07/04/09 08:00:00.0	12.93
07/04/09 08:30:00.0	12.93
07/04/09 09:00:00.0	13.32
07/04/09 09:30:00.0	12.93
07/04/09 10:00:00.0	13.32
07/04/09 10:30:00.0	13.32
07/04/09 11:00:00.0	13.32
07/04/09 11:30:00.0	13.32
07/04/09 12:00:00.0	13.32
07/04/09 12:30:00.0	13.32
07/04/09 13:00:00.0	13.7
07/04/09 13:30:00.0	13.7
07/04/09 14:00:00.0	13.7
07/04/09 14:30:00.0	13.32
07/04/09 15:00:00.0	13.32
07/04/09 15:30:00.0	13.32
07/04/09 16:00:00.0	13.32
07/04/09 16:30:00.0	13.32
07/04/09 17:00:00.0	13.7
07/04/09 17:30:00.0	13.7
07/04/09 18:00:00.0	13.7
07/04/09 18:30:00.0	14.09
07/04/09 19:00:00.0	14.09
07/04/09 19:30:00.0	14.09
07/04/09 20:00:00.0	13.7
07/04/09 20:30:00.0	13.7
07/04/09 21:00:00.0	13.7
07/04/09 21:30:00.0	13.32
07/04/09 22:00:00.0	13.32
07/04/09 22:30:00.0	13.32
07/04/09 23:00:00.0	12.93
07/04/09 23:30:00.0	12.93
07/05/09 00:00:00.0	13.32
07/05/09 00:30:00.0	13.7
07/05/09 01:00:00.0	13.32
07/05/09 01:30:00.0	13.32
07/05/09 02:00:00.0	12.93
07/05/09 02:30:00.0	12.93
07/05/09 03:00:00.0	12.93
07/05/09 03:30:00.0	13.32
07/05/09 04:00:00.0	13.32
07/05/09 04:30:00.0	13.32
07/05/09 05:00:00.0	13.32
07/05/09 05:30:00.0	13.32
07/05/09 06:00:00.0	13.32
07/05/09 06:30:00.0	13.7
07/05/09 07:00:00.0	13.32
07/05/09 07:30:00.0	13.32
07/05/09 08:00:00.0	13.32
07/05/09 08:30:00.0	13.7
07/05/09 09:00:00.0	13.7
07/05/09 09:30:00.0	13.7
07/05/09 10:00:00.0	13.7
07/05/09 10:30:00.0	13.7
07/05/09 11:00:00.0	13.7
07/05/09 11:30:00.0	14.09
07/05/09 12:00:00.0	14.09
07/05/09 12:30:00.0	14.09
07/05/09 13:00:00.0	13.7
07/05/09 13:30:00.0	13.7
07/05/09 14:00:00.0	14.09
07/05/09 14:30:00.0	14.09
07/05/09 15:00:00.0	13.7
07/05/09 15:30:00.0	14.09
07/05/09 16:00:00.0	14.09
07/05/09 16:30:00.0	14.09
07/05/09 17:00:00.0	14.09
07/05/09 17:30:00.0	14.09
07/05/09 18:00:00.0	14.09
07/05/09 18:30:00.0	14.09
07/05/09 19:00:00.0	13.7
07/05/09 19:30:00.0	13.32
07/05/09 20:00:00.0	14.09
07/05/09 20:30:00.0	14.09
07/05/09 21:00:00.0	13.7
07/05/09 21:30:00.0	13.7
07/05/09 22:00:00.0	14.09
07/05/09 22:30:00.0	14.09
07/05/09 23:00:00.0	14.47
07/05/09 23:30:00.0	14.09
07/06/09 00:00:00.0	14.47
07/06/09 00:30:00.0	14.47
07/06/09 01:00:00.0	13.7
07/06/09 01:30:00.0	12.55
07/06/09 02:00:00.0	10.21
07/06/09 02:30:00.0	8.63
07/06/09 03:00:00.0	8.23
