Serial Number:     492644     --     Series: Temperature (*C) c:1
Serial Number:     492644     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     492644     --     Series: Dew Point (*C) c:1 3
Serial Number:     492644     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     492644     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/01/10 18:00:00.0	6.62	6.62	5.26	6.9	91
07/01/10 18:30:00.0	6.62	6.44	5.32	6.9	91.4
07/01/10 19:00:00.0	6.62	6.52	5.39	6.9	91.8
07/01/10 19:30:00.0	6.22	6.29	5.11	6.8	92.6
07/01/10 20:00:00.0	6.22	6.04	5.17	6.8	93
07/01/10 20:30:00.0	5.81	5.83	4.83	6.7	93.4
07/01/10 21:00:00.0	5.81	5.83	5.01	6.8	94.6
07/01/10 21:30:00.0	5.81	5.88	5.07	6.8	95
07/01/10 22:00:00.0	5.81	5.86	5.07	6.8	95
07/01/10 22:30:00.0	5.81	5.81	5.07	6.8	95
07/01/10 23:00:00.0	5.81	5.78	5.13	6.8	95.4
07/01/10 23:30:00.0	5.81	5.86	5.13	6.8	95.4
07/02/10 00:00:00.0	5.81	5.78	5.3	6.9	96.5
07/02/10 00:30:00.0	5.81	5.76	5.3	6.9	96.5
07/02/10 01:00:00.0	5.81	5.78	5.3	6.9	96.5
07/02/10 01:30:00.0	5.81	5.78	5.3	6.9	96.5
07/02/10 02:00:00.0	5.81	5.63	5.3	6.9	96.5
07/02/10 02:30:00.0	5.81	5.63	5.34	6.9	96.8
07/02/10 03:00:00.0	5.4	5.24	4.99	6.8	97.2
07/02/10 03:30:00.0	4.99	5.06	4.58	6.6	97.2
07/02/10 04:00:00.0	4.99	5.06	4.58	6.6	97.2
07/02/10 04:30:00.0	4.99	4.96	4.58	6.6	97.2
07/02/10 05:00:00.0	4.99	4.85	4.58	6.6	97.2
07/02/10 05:30:00.0	4.57	4.73	4.22	6.4	97.6
07/02/10 06:00:00.0	4.99	5.04	4.58	6.6	97.2
07/02/10 06:30:00.0	4.99	4.85	4.58	6.6	97.2
07/02/10 07:00:00.0	4.99	4.8	4.52	6.6	96.8
07/02/10 07:30:00.0	5.4	5.52	4.89	6.7	96.5
07/02/10 08:00:00.0	5.81	5.73	5.34	6.9	96.8
07/02/10 08:30:00.0	5.81	5.86	5.18	6.9	95.7
07/02/10 09:00:00.0	5.81	6.01	4.95	6.7	94.2
07/02/10 09:30:00.0	6.22	6.39	5.23	6.9	93.4
07/02/10 10:00:00.0	7.83	7.78	6.52	7.5	91.4
07/02/10 10:30:00.0	7.03	7.23	5.53	7	90.2
07/02/10 11:00:00.0	8.63	8.83	6.99	7.7	89.4
07/02/10 11:30:00.0	10.21	10.18	7.74	8.1	84.6
07/02/10 12:00:00.0	13.32	13.39	8.34	8.3	71.8
07/02/10 12:30:00.0	12.55	12.66	7.9	8.1	73.3
07/02/10 13:00:00.0	13.32	13.46	7.17	7.7	66.3
07/02/10 13:30:00.0	11.77	11.89	6.96	7.6	72.3
07/02/10 14:00:00.0	10.6	10.55	6.59	7.4	76.2
07/02/10 14:30:00.0	11.77	11.65	6.44	7.3	69.8
07/02/10 15:00:00.0	10.21	10.31	7.65	8	84.1
07/02/10 15:30:00.0	8.63	8.63	7.12	7.8	90.2
07/02/10 16:00:00.0	8.23	8.23	7.04	7.7	92.2
07/02/10 16:30:00.0	10.21	10.16	8.26	8.3	87.7
07/02/10 17:00:00.0	9.82	9.64	7.79	8.1	87.2
07/02/10 17:30:00.0	9.03	9	6.95	7.7	86.8
07/02/10 18:00:00.0	9.03	8.9	7.02	7.7	87.2
07/02/10 18:30:00.0	8.63	8.73	6.91	7.7	88.9
07/02/10 19:00:00.0	8.63	8.45	7.18	7.8	90.6
07/02/10 19:30:00.0	7.83	7.68	6.84	7.6	93.4
07/02/10 20:00:00.0	7.03	7.2	6.45	7.5	96.1
07/02/10 20:30:00.0	7.03	7.05	6.56	7.5	96.8
07/02/10 21:00:00.0	7.03	7.03	6.56	7.5	96.8
07/02/10 21:30:00.0	6.62	6.67	6.21	7.3	97.2
07/02/10 22:00:00.0	6.22	6.34	5.87	7.2	97.6
07/02/10 22:30:00.0	6.22	6.16	5.91	7.2	97.9
07/02/10 23:00:00.0	5.81	6.01	5.5	7	97.9
07/02/10 23:30:00.0	5.81	5.68	5.5	7	97.9
07/03/10 00:00:00.0	5.4	5.55	5.09	6.8	97.9
07/03/10 00:30:00.0	4.99	5.19	4.74	6.7	98.3
07/03/10 01:00:00.0	4.57	4.57	4.27	6.5	97.9
07/03/10 01:30:00.0	4.15	4.07	3.91	6.3	98.3
07/03/10 02:00:00.0	4.15	4.15	3.85	6.3	97.9
07/03/10 02:30:00.0	4.15	4.23	3.85	6.3	97.9
