Date Time	Temperature (*C) c:1	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
06/18/07 12:00:00.0	20.95	6.15	7	38.1
06/18/07 12:15:00.0	25.95	6.96	7.2	29.8
06/18/07 12:30:00.0	26.73	5.92	6.7	26.5
06/18/07 12:45:00.0	25.17	6.04	6.8	29.3
06/18/07 13:00:00.0	25.56	5.92	6.7	28.4
06/18/07 13:15:00.0	29.5	5.03	6.3	21.2
06/18/07 13:30:00.0	24.4	6.74	7.2	32.2
06/18/07 13:45:00.0	22.09	6.58	7.1	36.6
06/18/07 14:00:00.0	20.95	6.52	7.1	39.1
06/18/07 14:15:00.0	20.57	6.9	7.3	41.1
06/18/07 14:30:00.0	20.19	6.91	7.4	42.1
06/18/07 14:45:00.0	20.57	7.8	7.8	43.7
06/18/07 15:00:00.0	20.95	8.48	8.2	44.7
06/18/07 15:15:00.0	21.33	8.66	8.2	44.2
06/18/07 15:30:00.0	21.33	7.59	7.7	41.1
06/18/07 15:45:00.0	20.57	7.63	7.7	43.2
06/18/07 16:00:00.0	20.19	7.29	7.5	43.2
06/18/07 16:15:00.0	19.42	6.6	7.2	43.2
06/18/07 16:30:00.0	18.28	4.85	6.4	41.1
06/18/07 16:45:00.0	17.9	4.86	6.4	42.1
06/18/07 17:00:00.0	17.52	6.49	7.2	48.3
06/18/07 17:15:00.0	17.9	7.28	7.6	49.8
06/18/07 17:30:00.0	17.9	7.28	7.6	49.8
06/18/07 17:45:00.0	17.52	7.08	7.5	50.3
06/18/07 18:00:00.0	17.14	6.9	7.4	50.9
06/18/07 18:15:00.0	17.14	7.33	7.6	52.4
06/18/07 18:30:00.0	16.76	7.11	7.5	52.9
06/18/07 18:45:00.0	16	6.71	7.4	54
06/18/07 19:00:00.0	15.62	6.62	7.3	55
06/18/07 19:15:00.0	14.85	6.45	7.3	57.1
06/18/07 19:30:00.0	14.09	6.74	7.4	61.2
06/18/07 19:45:00.0	13.32	6.5	7.3	63.3
06/18/07 20:00:00.0	12.93	6.47	7.3	64.8
06/18/07 20:15:00.0	11.77	6.02	7.1	67.8
06/18/07 20:30:00.0	10.99	6.01	7.1	71.3
06/18/07 20:45:00.0	10.21	5.85	7.1	74.3
06/18/07 21:00:00.0	9.82	5.37	6.9	73.8
06/18/07 21:15:00.0	9.03	4.8	6.6	74.8
06/18/07 21:30:00.0	8.63	4.61	6.5	75.8
06/18/07 21:45:00.0	8.23	4.48	6.5	77.2
06/18/07 22:00:00.0	7.83	3.91	6.2	76.2
06/18/07 22:15:00.0	7.43	3.52	6.1	76.2
06/18/07 22:30:00.0	7.43	3.52	6.1	76.2
