Serial Number:    1277066     --     Series: Temperature (*C) c:1
Serial Number:    1277066     --     Series: High-Res Temp (*C) c:1 2
Serial Number:    1277066     --     Series: Dew Point (*C) c:1 3
Serial Number:    1277066     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:    1277066     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	25.17	25.27	7	7.3	31.3
07/02/09 18:30:00.0	24.4	24.45	6.33	7	31.3
07/02/09 19:00:00.0	23.63	23.7	5.66	6.7	31.3
07/02/09 19:30:00.0	22.86	22.98	5.22	6.5	31.8
07/02/09 20:00:00.0	22.09	22.12	5.6	6.7	34.2
07/02/09 20:30:00.0	20.95	21.07	6.18	7	38.2
07/02/09 21:00:00.0	19.42	19.35	5.91	6.9	41.2
07/02/09 21:30:00.0	17.14	17.12	6.64	7.3	50
07/02/09 22:00:00.0	15.23	15.42	6.7	7.4	56.7
07/02/09 22:30:00.0	14.47	14.4	7.26	7.7	61.9
07/02/09 23:00:00.0	12.55	12.64	7.23	7.7	70
07/02/09 23:30:00.0	12.16	12.18	6.86	7.5	70
07/03/09 00:00:00.0	11.77	11.91	5.64	6.9	66
07/03/09 00:30:00.0	11.77	11.89	4.95	6.6	62.9
07/03/09 01:00:00.0	11.77	11.79	4.1	6.2	59.3
07/03/09 01:30:00.0	11.38	11.31	4.46	6.4	62.4
07/03/09 02:00:00.0	11.38	11.21	4.91	6.6	64.4
07/03/09 02:30:00.0	11.77	11.6	3.98	6.2	58.8
07/03/09 03:00:00.0	12.16	12.23	4.47	6.4	59.3
07/03/09 03:30:00.0	10.6	10.62	5.06	6.7	68.5
07/03/09 04:00:00.0	10.21	10.06	5.09	6.7	70.5
07/03/09 04:30:00.0	10.21	10.16	4.78	6.6	69
07/03/09 05:00:00.0	10.6	10.53	4.52	6.4	66
07/03/09 05:30:00.0	10.21	10.21	4.47	6.4	67.5
07/03/09 06:00:00.0	10.99	10.89	4.54	6.4	64.4
07/03/09 06:30:00.0	12.55	12.69	5.07	6.6	60.3
07/03/09 07:00:00.0	15.23	15.28	6.57	7.3	56.2
07/03/09 07:30:00.0	17.9	17.81	7.34	7.6	50
07/03/09 08:00:00.0	19.04	19.21	5.4	6.6	40.7
07/03/09 08:30:00.0	21.33	21.47	5.94	6.8	36.7
07/03/09 09:00:00.0	23.63	23.56	4.76	6.3	29.4
07/03/09 09:30:00.0	24.4	24.54	5.43	6.5	29.4
07/03/09 10:00:00.0	25.95	26.05	-2.64	3.6	15
07/03/09 10:30:00.0	27.12	27.15	0.31	4.5	17.4
07/03/09 11:00:00.0	27.12	27.07	-1.01	4.1	15.8
07/03/09 11:30:00.0	28.31	28.48	-1.91	3.8	13.8
07/03/09 12:00:00.0	29.5	29.63	-0.58	4.2	14.2
07/03/09 12:30:00.0	28.31	28.45	2.57	5.3	19.1
07/03/09 13:00:00.0	28.31	28.26	4.38	6	21.7
07/03/09 13:30:00.0	28.31	28.4	5.21	6.4	23
07/03/09 14:00:00.0	27.52	27.47	6.91	7.2	27.1
07/03/09 14:30:00.0	27.52	27.52	7.13	7.3	27.5
07/03/09 15:00:00.0	27.12	26.95	7.31	7.4	28.5
07/03/09 15:30:00.0	27.12	27.1	7.57	7.5	29
07/03/09 16:00:00.0	26.73	26.9	7.43	7.5	29.4
07/03/09 16:30:00.0	26.73	26.68	6.98	7.2	28.5
07/03/09 17:00:00.0	26.34	26.39	6.89	7.2	29
07/03/09 17:30:00.0	25.56	25.44	6.23	6.9	29
07/03/09 18:00:00.0	25.17	25.03	5.39	6.5	28
07/03/09 18:30:00.0	24.4	24.37	5.23	6.5	29
07/03/09 19:00:00.0	23.63	23.72	4.57	6.2	29
07/03/09 19:30:00.0	22.86	22.93	3.91	5.9	29
07/03/09 20:00:00.0	22.09	22.09	2.75	5.5	28
07/03/09 20:30:00.0	20.95	21.07	2.69	5.5	29.9
07/03/09 21:00:00.0	19.04	19.09	2.76	5.5	33.8
07/03/09 21:30:00.0	17.9	17.83	2.52	5.4	35.7
07/03/09 22:00:00.0	16	15.88	6.87	7.4	54.6
07/03/09 22:30:00.0	15.23	15.38	7.87	8	61.4
07/03/09 23:00:00.0	13.7	13.72	7.11	7.6	64.4
07/03/09 23:30:00.0	12.16	12.04	8.52	8.4	78.4
07/04/09 00:00:00.0	11.77	11.62	8.73	8.6	81.6
07/04/09 00:30:00.0	10.99	10.89	8.62	8.5	85.3
07/04/09 01:00:00.0	10.6	10.45	8.39	8.4	86.2
07/04/09 01:30:00.0	9.42	9.59	7.59	8	88.3
07/04/09 02:00:00.0	9.82	9.64	8.06	8.2	88.8
07/04/09 02:30:00.0	10.99	11.16	8.15	8.3	82.6
07/04/09 03:00:00.0	10.21	10.16	6.34	7.3	76.9
07/04/09 03:30:00.0	9.42	9.47	6.28	7.3	80.7
07/04/09 04:00:00.0	9.03	8.93	6.61	7.5	84.8
07/04/09 04:30:00.0	9.42	9.57	6.53	7.4	82.1
07/04/09 05:00:00.0	9.42	9.54	4.03	6.2	69
07/04/09 05:30:00.0	9.42	9.35	4.93	6.7	73.5
07/04/09 06:00:00.0	9.42	9.5	4.13	6.3	69.5
07/04/09 06:30:00.0	12.55	12.4	5.79	7	63.4
07/04/09 07:00:00.0	15.23	15.19	6.83	7.4	57.2
07/04/09 07:30:00.0	17.14	17.07	6.17	7.1	48.4
07/04/09 08:00:00.0	19.04	19.04	7.91	7.9	48.4
07/04/09 08:30:00.0	21.33	21.47	4.11	6	32.3
07/04/09 09:00:00.0	22.48	22.45	1.6	5	25.2
07/04/09 09:30:00.0	23.63	23.72	1.54	5	23.4
07/04/09 10:00:00.0	25.17	25.22	1.19	4.8	20.8
07/04/09 10:30:00.0	26.73	26.56	1.29	4.8	19.1
07/04/09 11:00:00.0	27.52	27.44	2.22	5.2	19.5
07/04/09 11:30:00.0	27.91	28.03	2.54	5.3	19.5
07/04/09 12:00:00.0	28.7	28.55	0.94	4.7	16.6
07/04/09 12:30:00.0	29.5	29.55	0.54	4.5	15.4
07/04/09 13:00:00.0	29.1	29.03	-0.89	4.1	14.2
07/04/09 13:30:00.0	29.1	29.18	2.92	5.4	18.7
07/04/09 14:00:00.0	28.31	28.33	2.27	5.2	18.7
07/04/09 14:30:00.0	28.7	28.85	3.47	5.6	19.9
07/04/09 15:00:00.0	27.91	27.79	7.25	7.3	27.1
