Serial Number:     492639     --     Series: Temperature (*C) c:1
Serial Number:     492639     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     492639     --     Series: Dew Point (*C) c:1 3
Serial Number:     492639     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     492639     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	25.17	25	7.86	7.7	33.2
07/02/09 18:30:00.0	24.01	24.18	6.85	7.2	33.2
07/02/09 19:00:00.0	23.63	23.77	6.29	7	32.7
07/02/09 19:30:00.0	22.86	22.76	5.84	6.8	33.2
07/02/09 20:00:00.0	22.09	22.21	5.81	6.8	34.7
07/02/09 20:30:00.0	21.33	21.19	6.67	7.2	38.6
07/02/09 21:00:00.0	19.04	19.21	6.91	7.4	45.2
07/02/09 21:30:00.0	17.52	17.59	6.64	7.3	48.8
07/02/09 22:00:00.0	15.62	15.64	6.91	7.5	56.1
07/02/09 22:30:00.0	14.47	14.4	7.24	7.7	61.8
07/02/09 23:00:00.0	13.7	13.82	7.56	7.9	66.4
07/02/09 23:30:00.0	13.32	13.22	6.38	7.3	62.8
07/03/09 00:00:00.0	12.93	12.95	6.02	7.1	62.8
07/03/09 00:30:00.0	12.93	13.05	4.12	6.2	55
07/03/09 01:00:00.0	12.93	13	3.86	6.1	54
07/03/09 01:30:00.0	12.55	12.57	3.24	5.8	53
07/03/09 02:00:00.0	12.93	12.76	3.46	5.9	52.5
07/03/09 02:30:00.0	12.55	12.71	3.1	5.8	52.5
07/03/09 03:00:00.0	11.77	11.77	4.58	6.4	61.3
07/03/09 03:30:00.0	11.77	11.87	4.32	6.3	60.2
07/03/09 04:00:00.0	12.16	12.25	4.44	6.4	59.2
07/03/09 04:30:00.0	12.16	12.3	4.68	6.5	60.2
07/03/09 05:00:00.0	11.77	11.94	4.58	6.4	61.3
07/03/09 05:30:00.0	12.16	12.01	4.44	6.4	59.2
07/03/09 06:00:00.0	11.38	11.45	4.21	6.3	61.3
07/03/09 06:30:00.0	11.77	11.79	4.81	6.5	62.3
07/03/09 07:00:00.0	11.77	11.84	4.08	6.2	59.2
07/03/09 07:30:00.0	12.55	12.69	3.37	5.9	53.5
07/03/09 08:00:00.0	13.7	13.65	3.73	6	50.9
07/03/09 08:30:00.0	19.42	19.52	6.43	7.1	42.7
07/03/09 09:00:00.0	22.09	22.02	5.39	6.6	33.7
07/03/09 09:30:00.0	23.63	23.53	4.96	6.3	29.8
07/03/09 10:00:00.0	25.56	25.44	-0.95	4.1	17.4
07/03/09 10:30:00.0	25.95	26	-0.32	4.3	17.8
07/03/09 11:00:00.0	26.73	26.56	-1.32	4	15.8
07/03/09 11:30:00.0	27.12	27.15	-0.33	4.3	16.6
07/03/09 12:00:00.0	28.31	28.13	1.27	4.8	17.4
07/03/09 12:30:00.0	28.7	28.7	2.82	5.4	19
07/03/09 13:00:00.0	28.31	28.33	4.64	6.1	22.1
07/03/09 13:30:00.0	27.91	28.08	5.67	6.6	24.3
07/03/09 14:00:00.0	27.91	27.96	7.46	7.4	27.5
07/03/09 14:30:00.0	27.91	28.08	7.46	7.4	27.5
07/03/09 15:00:00.0	27.52	27.52	7.85	7.6	28.9
07/03/09 15:30:00.0	27.52	27.39	7.6	7.5	28.4
07/03/09 16:00:00.0	27.12	27.17	7.97	7.7	29.8
07/03/09 16:30:00.0	26.73	26.73	7.63	7.6	29.8
07/03/09 17:00:00.0	26.34	26.39	7.29	7.4	29.8
07/03/09 17:30:00.0	25.56	25.56	6.18	6.9	28.9
07/03/09 18:00:00.0	24.79	24.74	5.76	6.7	29.4
