Serial Number:     492639     --     Series: Temperature (*C) c:1
Serial Number:     492639     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     492639     --     Series: Dew Point (*C) c:1 3
Serial Number:     492639     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     492639     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/01/10 18:00:00.0	7.83	7.86	7.49	8	97.7
07/01/10 18:30:00.0	7.83	7.86	7.49	8	97.7
07/01/10 19:00:00.0	7.83	7.73	7.33	7.9	96.6
07/01/10 19:30:00.0	7.43	7.4	6.97	7.7	96.9
07/01/10 20:00:00.0	7.03	7.2	6.63	7.5	97.3
07/01/10 20:30:00.0	7.03	6.95	6.57	7.5	96.9
07/01/10 21:00:00.0	6.62	6.72	6.23	7.4	97.3
07/01/10 21:30:00.0	6.62	6.65	6.33	7.4	98
07/01/10 22:00:00.0	6.62	6.62	6.33	7.4	98
07/01/10 22:30:00.0	6.62	6.57	6.39	7.4	98.4
07/01/10 23:00:00.0	6.62	6.55	6.39	7.4	98.4
07/01/10 23:30:00.0	6.62	6.55	6.39	7.4	98.4
07/02/10 00:00:00.0	6.62	6.55	6.39	7.4	98.4
07/02/10 00:30:00.0	6.62	6.49	6.39	7.4	98.4
07/02/10 01:00:00.0	6.22	6.37	6.03	7.3	98.7
07/02/10 01:30:00.0	6.22	6.34	6.03	7.3	98.7
07/02/10 02:00:00.0	6.22	6.34	6.03	7.3	98.7
07/02/10 02:30:00.0	6.22	6.29	6.03	7.3	98.7
07/02/10 03:00:00.0	6.22	6.27	6.03	7.3	98.7
07/02/10 03:30:00.0	5.81	5.76	5.62	7.1	98.7
07/02/10 04:00:00.0	5.81	5.78	5.62	7.1	98.7
07/02/10 04:30:00.0	5.81	5.73	5.68	7.1	99.1
07/02/10 05:00:00.0	5.81	5.78	5.68	7.1	99.1
07/02/10 05:30:00.0	5.81	5.73	5.68	7.1	99.1
