Serial Number:    1032864     --     Series: Temperature (*C) c:1
Serial Number:    1032864     --     Series: High-Res Temp (*C) c:1 2
Serial Number:    1032864     --     Series: Dew Point (*C) c:1 3
Serial Number:    1032864     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:    1032864     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	22.09	22.26	8.45	8.1	41.6
07/02/09 18:30:00.0	21.71	21.69	8.28	8	42.1
07/02/09 19:00:00.0	20.95	20.95	7.77	7.8	42.6
07/02/09 19:30:00.0	19.81	19.85	7.44	7.6	44.7
07/02/09 20:00:00.0	18.66	18.52	8.28	8.1	50.8
07/02/09 20:30:00.0	16.76	16.93	8.21	8.1	57
07/02/09 21:00:00.0	15.23	15.35	8.17	8.2	62.7
07/02/09 21:30:00.0	13.7	13.56	8.81	8.6	72.3
07/02/09 22:00:00.0	12.55	12.52	8.57	8.5	76.7
07/02/09 22:30:00.0	12.16	12.08	8.56	8.5	78.6
07/02/09 23:00:00.0	11.38	11.53	8.22	8.3	80.9
07/02/09 23:30:00.0	11.38	11.21	8.48	8.4	82.3
07/03/09 00:00:00.0	10.6	10.72	7.55	7.9	81.4
07/03/09 00:30:00.0	10.21	10.4	7.17	7.7	81.4
07/03/09 01:00:00.0	9.82	9.91	6.7	7.5	80.9
07/03/09 01:30:00.0	9.42	9.59	5.9	7.1	78.6
07/03/09 02:00:00.0	9.03	9.17	5.25	6.8	77.2
07/03/09 02:30:00.0	9.42	9.27	5.81	7.1	78.1
07/03/09 03:00:00.0	9.42	9.4	6.06	7.2	79.5
07/03/09 03:30:00.0	9.03	9.03	6.33	7.3	83.2
07/03/09 04:00:00.0	8.63	8.8	5.79	7.1	82.3
07/03/09 04:30:00.0	9.03	8.9	6.49	7.4	84.1
07/03/09 05:00:00.0	8.63	8.8	6.19	7.3	84.6
07/03/09 05:30:00.0	8.23	8.33	5.8	7.1	84.6
07/03/09 06:00:00.0	8.63	8.65	6.26	7.3	85
07/03/09 06:30:00.0	9.82	9.94	8.56	8.5	91.9
07/03/09 07:00:00.0	11.38	11.21	10.61	9.7	95
07/03/09 07:30:00.0	12.16	12.01	11.25	10.1	94.2
07/03/09 08:00:00.0	13.32	13.41	10.69	9.7	84.1
07/03/09 08:30:00.0	14.85	14.92	11.61	10.3	80.9
07/03/09 09:00:00.0	16.76	16.93	9.97	9.2	64.2
07/03/09 09:30:00.0	19.04	18.95	6.56	7.2	44.1
07/03/09 10:00:00.0	20.19	20.14	5.28	6.6	37.6
07/03/09 10:30:00.0	21.33	21.16	5.3	6.6	35.1
07/03/09 11:00:00.0	22.09	22.24	1.22	4.9	25.1
07/03/09 11:30:00.0	22.86	22.93	0.84	4.7	23.3
07/03/09 12:00:00.0	23.24	23.43	2.96	5.5	26.5
07/03/09 12:30:00.0	23.63	23.75	5.61	6.6	31.2
07/03/09 13:00:00.0	24.01	23.94	6.18	6.9	31.7
07/03/09 13:30:00.0	24.4	24.25	8.41	8	36.1
07/03/09 14:00:00.0	24.4	24.4	8.21	7.9	35.6
07/03/09 14:30:00.0	24.4	24.47	8.41	8	36.1
07/03/09 15:00:00.0	24.4	24.4	9.4	8.6	38.6
07/03/09 15:30:00.0	24.01	24.18	8.67	8.2	37.6
07/03/09 16:00:00.0	24.01	23.96	9.06	8.4	38.6
07/03/09 16:30:00.0	23.63	23.75	8.72	8.2	38.6
07/03/09 17:00:00.0	23.24	23.19	8.75	8.2	39.6
07/03/09 17:30:00.0	22.86	22.69	8.03	7.9	38.6
07/03/09 18:00:00.0	22.09	21.93	7.35	7.5	38.6
07/03/09 18:30:00.0	21.33	21.4	7.05	7.4	39.6
07/03/09 19:00:00.0	20.57	20.49	7.25	7.5	42.1
07/03/09 19:30:00.0	19.42	19.49	6.9	7.4	44.1
07/03/09 20:00:00.0	18.28	18.45	5.37	6.7	42.6
07/03/09 20:30:00.0	16.76	16.66	6.83	7.4	51.9
07/03/09 21:00:00.0	14.47	14.54	6.34	7.2	58.1
07/03/09 21:30:00.0	12.93	13.03	6	7.1	62.7
07/03/09 22:00:00.0	12.16	12.13	8.46	8.4	78.1
07/03/09 22:30:00.0	11.77	11.6	9.42	9	85.5
07/03/09 23:00:00.0	10.99	11.09	8.88	8.7	86.8
07/03/09 23:30:00.0	10.6	10.62	8.43	8.4	86.4
07/04/09 00:00:00.0	10.21	10.4	8.87	8.7	91.4
07/04/09 00:30:00.0	10.21	10.13	9.02	8.8	92.3
07/04/09 01:00:00.0	9.42	9.59	8.6	8.6	94.6
07/04/09 01:30:00.0	9.03	9.12	8.27	8.4	95
07/04/09 02:00:00.0	9.03	9.22	8.55	8.5	96.8
07/04/09 02:30:00.0	9.03	8.85	7.44	7.9	89.8
07/04/09 03:00:00.0	8.23	8.43	7.18	7.8	93.1
07/04/09 03:30:00.0	8.23	8.08	7.29	7.9	93.8
07/04/09 04:00:00.0	7.83	7.81	7.08	7.8	95
07/04/09 04:30:00.0	8.23	8.11	7.65	8.1	96.1
07/04/09 05:00:00.0	8.23	8.06	6.66	7.5	89.8
07/04/09 05:30:00.0	7.83	7.66	6.2	7.3	89.4
07/04/09 06:00:00.0	7.43	7.61	6.2	7.3	91.9
07/04/09 06:30:00.0	9.03	9.1	8.55	8.5	96.8
07/04/09 07:00:00.0	10.6	10.55	10.34	9.6	98.3
07/04/09 07:30:00.0	11.77	11.62	11.51	10.3	98.3
07/04/09 08:00:00.0	12.93	12.93	11.65	10.4	91.9
07/04/09 08:30:00.0	14.85	14.95	10.02	9.2	72.8
07/04/09 09:00:00.0	17.14	17.16	5.96	7	47.7
07/04/09 09:30:00.0	18.66	18.54	8.13	8	50.3
07/04/09 10:00:00.0	19.42	19.3	5.52	6.7	40.1
07/04/09 10:30:00.0	20.57	20.57	5.99	6.9	38.6
07/04/09 11:00:00.0	21.33	21.47	4.29	6.1	32.7
07/04/09 11:30:00.0	22.09	22.12	4.51	6.2	31.7
07/04/09 12:00:00.0	22.48	22.6	6.51	7.1	35.6
07/04/09 12:30:00.0	23.24	23.12	4.62	6.2	29.8
07/04/09 13:00:00.0	23.63	23.53	4.96	6.3	29.8
07/04/09 13:30:00.0	23.63	23.72	5.84	6.7	31.7
07/04/09 14:00:00.0	23.63	23.8	5.19	6.5	30.3
07/04/09 14:30:00.0	24.01	24.11	7.66	7.6	35.1
07/04/09 15:00:00.0	24.01	24.06	9.06	8.4	38.6
07/04/09 15:30:00.0	24.01	24.04	10.17	9.1	41.6
07/04/09 16:00:00.0	24.01	23.89	10.35	9.2	42.1
07/04/09 16:30:00.0	23.63	23.48	11.4	9.8	46.2
07/04/09 17:00:00.0	23.24	23.12	10.56	9.3	44.7
07/04/09 17:30:00.0	22.86	22.72	10.86	9.5	46.7
07/04/09 18:00:00.0	22.09	22	10.48	9.3	47.7
07/04/09 18:30:00.0	21.33	21.3	10.28	9.2	49.3
07/04/09 19:00:00.0	20.19	20.35	9.68	8.9	50.8
07/04/09 19:30:00.0	19.42	19.3	9.99	9.1	54.4
07/04/09 20:00:00.0	17.9	18	9.81	9	59.1
07/04/09 20:30:00.0	16.76	16.78	8.21	8.1	57
07/04/09 21:00:00.0	14.85	14.9	9.07	8.7	68.3
07/04/09 21:30:00.0	13.32	13.46	8.44	8.4	72.3
07/04/09 22:00:00.0	12.55	12.42	8.38	8.3	75.7
07/04/09 22:30:00.0	12.16	12.08	8.56	8.5	78.6
07/04/09 23:00:00.0	11.77	11.7	8.78	8.6	81.9
07/04/09 23:30:00.0	11.38	11.45	9.04	8.8	85.5
07/05/09 00:00:00.0	10.99	11.04	8.73	8.6	85.9
07/05/09 00:30:00.0	10.6	10.67	8.78	8.6	88.5
07/05/09 01:00:00.0	10.6	10.48	8.87	8.7	89
07/05/09 01:30:00.0	10.21	10.33	8.48	8.5	89
07/05/09 02:00:00.0	10.6	10.7	6.23	7.2	74.3
07/05/09 02:30:00.0	10.21	10.18	7.17	7.7	81.4
07/05/09 03:00:00.0	10.21	10.09	6.92	7.6	80
07/05/09 03:30:00.0	10.21	10.11	6.57	7.4	78.1
07/05/09 04:00:00.0	9.82	9.67	6.54	7.4	80
07/05/09 04:30:00.0	9.82	9.96	6.79	7.6	81.4
07/05/09 05:00:00.0	9.82	9.82	7.35	7.9	84.6
07/05/09 05:30:00.0	10.99	10.84	7.51	7.9	79.1
07/05/09 06:00:00.0	11.38	11.26	7.35	7.8	76.2
07/05/09 06:30:00.0	11.77	11.79	7.16	7.7	73.3
07/05/09 07:00:00.0	12.16	12.13	9.87	9.2	85.9
07/05/09 07:30:00.0	13.32	13.15	10.85	9.8	85
07/05/09 08:00:00.0	14.09	13.92	12.64	11	91
07/05/09 08:30:00.0	15.62	15.76	10.13	9.3	69.8
07/05/09 09:00:00.0	16.76	16.93	11.22	10	69.8
07/05/09 09:30:00.0	17.9	18	11.42	10	65.8
07/05/09 10:00:00.0	19.04	19.14	9.5	8.8	53.9
07/05/09 10:30:00.0	18.66	18.61	11.53	10.1	63.2
07/05/09 11:00:00.0	19.42	19.42	12.13	10.5	62.7
07/05/09 11:30:00.0	20.57	20.54	11.22	9.8	55
07/05/09 12:00:00.0	21.33	21.45	6.1	6.9	37.1
07/05/09 12:30:00.0	21.71	21.88	5.22	6.5	34.1
07/05/09 13:00:00.0	23.24	23.24	1.46	5	23.8
07/05/09 13:30:00.0	24.01	23.89	0.17	4.5	20.7
07/05/09 14:00:00.0	23.63	23.7	-2.51	3.7	17.4
07/05/09 14:30:00.0	23.63	23.63	-3.89	3.3	15.7
07/05/09 15:00:00.0	22.86	23.05	-2.24	3.8	18.6
07/05/09 15:30:00.0	22.48	22.48	0.04	4.5	22.5
07/05/09 16:00:00.0	21.71	21.59	-3.47	3.5	18.2
07/05/09 16:30:00.0	21.33	21.26	-0.68	4.3	22.9
07/05/09 17:00:00.0	20.95	20.99	-1.55	4	22
07/05/09 17:30:00.0	20.57	20.66	-4.11	3.3	18.6
07/05/09 18:00:00.0	19.04	18.99	-1.57	4	24.7
07/05/09 18:30:00.0	18.66	18.59	0.01	4.5	28.4
07/05/09 19:00:00.0	17.52	17.5	-0.98	4.2	28.4
07/05/09 19:30:00.0	17.9	17.83	-0.89	4.3	27.9
07/05/09 20:00:00.0	17.14	17.09	0.84	4.8	33.2
07/05/09 20:30:00.0	16	16.19	1.37	5.1	37.1
07/05/09 21:00:00.0	15.23	15.35	3.61	5.9	45.7
07/05/09 21:30:00.0	13.7	13.82	8.61	8.4	71.3
07/05/09 22:00:00.0	12.16	12.28	9.16	8.8	81.9
07/05/09 22:30:00.0	10.99	11.11	9.45	9	90.2
07/05/09 23:00:00.0	10.21	10.38	9.55	9.1	95.7
07/05/09 23:30:00.0	9.82	9.84	9.39	9	97.2
07/06/09 00:00:00.0	9.42	9.59	9.21	8.9	98.6
07/06/09 00:30:00.0	9.03	8.9	7.91	8.2	92.7
07/06/09 01:00:00.0	8.23	8.11	6.66	7.5	89.8
07/06/09 01:30:00.0	7.83	7.76	5.92	7.2	87.7
07/06/09 02:00:00.0	7.03	7.13	5.73	7.1	91.4
07/06/09 02:30:00.0	7.03	6.93	6.34	7.4	95.4
07/06/09 03:00:00.0	7.03	7.13	5.73	7.1	91.4
07/06/09 03:30:00.0	7.03	7	5.73	7.1	91.4
07/06/09 04:00:00.0	6.62	6.75	5.01	6.8	89.4
07/06/09 04:30:00.0	6.62	6.49	5.01	6.8	89.4
07/06/09 05:00:00.0	6.62	6.55	4.44	6.5	85.9
07/06/09 05:30:00.0	6.62	6.65	4.8	6.7	88.1
07/06/09 06:00:00.0	6.62	6.49	5.32	6.9	91.4
07/06/09 06:30:00.0	6.62	6.52	5.53	7	92.7
07/06/09 07:00:00.0	6.62	6.62	5.53	7	92.7
07/06/09 07:30:00.0	7.03	7.05	5.66	7.1	91
07/06/09 08:00:00.0	7.43	7.35	6	7.2	90.6
07/06/09 08:30:00.0	8.23	8.23	6.23	7.3	87.2
07/06/09 09:00:00.0	8.63	8.75	6.1	7.2	84.1
07/06/09 09:30:00.0	9.42	9.45	6.06	7.2	79.5
07/06/09 10:00:00.0	10.21	10.11	5.93	7.1	74.7
